title,url,text_for_llm,occ_relevant,occ_relevant_reasoning,gwa,gwa_reasoning,iwa,iwa_reasoning,dwa,dwa_reasoning,task,task_reasoning,deployability,deployability_reasoning,workflow_auto,workflow_auto_reasoning
Amadeus MCP Server,https://mcp.so/server/amadeus-mcp/ben4mn,Description: MCP server integrating Amadeus flight search capabilities with Claude Desktop Use cases: Searching for flights between two IATA airport codes. Integrating flight search capabilities into applications using Claude Desktop. Automating flight search queries for travel planning.,Yes,"The MCP server enables searching for flights between IATA airport codes and automates flight search queries, which are concrete tasks performed by travel agents, travel planners, and related occupations as part of their paid work according to O*NET.",Getting Information; Processing Information; Analyzing Data or Information,"The MCP server enables searching for flights between airport codes, integrating flight search into applications, and automating travel planning queries. These activities primarily involve obtaining, processing, and analyzing information about flights, which aligns with ""Getting Information,"" ""Processing Information,"" and ""Analyzing Data or Information."" Excluding any of these could omit relevant ONET tasks related to information retrieval, data handling, or analysis in travel planning and booking contexts.",Obtain information about goods or services; Gather information from physical or electronic sources.,"The MCP server enables searching for flights between two IATA airport codes, which directly supports obtaining information about goods or services (flights), and integrating or automating this into applications involves gathering information from electronic sources. These IWAs cover the core human work activities of searching, retrieving, and using flight information via the MCP; excluding either would risk omitting relevant ONET tasks such as booking, comparing, or retrieving flight options.",,,,,,,,
Hubble AI for Solana,https://mcp.so/server/hubble-ai-mcp/HubbleVision,Description: Hubble-ai mcp server Use cases: Analyzing recent Pumpfun transactions. Visualizing transaction trends over time. Generating charts for presentations or reports.,Yes,"The MCP server analyzes financial transactions, visualizes trends, and generates charts for presentations or reports—tasks that align with occupational activities in data analysis, finance, and business reporting as represented in O*NET.",Analyzing Data or Information; Getting Information; Processing Information; Interpreting the Meaning of Information for Others,"The MCP server enables the analysis of transaction data, visualization of trends, and generation of charts, all of which are core activities in analyzing and processing information. These tasks also involve interpreting data for others (e.g., generating charts for presentations), and require obtaining relevant information from external sources. Therefore, the smallest permissive set should include GWAs related to data analysis, information processing, and interpretation.",,,,,,,,,,
CyberChef API MCP Server,https://mcp.so/server/cyberchef-api-mcp-server/slouchd,Description: CyberChef API MCP Server Use cases: Automating data processing tasks using CyberChef operations. Integrating CyberChef functionalities into custom applications. Batch processing of data with predefined recipes.,Yes,"The MCP server enables automation and integration of CyberChef operations, which are widely used for data processing tasks such as encoding, decoding, and data transformation—activities that are common in IT, cybersecurity, and data analysis occupations as represented in O*NET.",Processing Information; Analyzing Data or Information; Getting Information; Updating and Using Relevant Knowledge,"The CyberChef API MCP server automates and integrates data processing tasks, which directly involves ""Processing Information"" and ""Analyzing Data or Information."" It also enables batch operations and integration into applications, which requires ""Getting Information"" from sources and ""Updating and Using Relevant Knowledge"" to apply recipes or operations. Excluding any of these would risk omitting core tasks automated by CyberChef in real-world workflows.",,,,,,,,,,
Self-hosted AI starter kit (by the n8n team),https://mcp.so/server/pydantic_lod_test/cedricdcc,Description: pydantic agent workflow using mcp servers to test out advanced retrieval of linked data Use cases: Building custom AI workflows for data processing. Creating chatbots that interact with local models. Developing applications that require integration with various APIs.,Yes,"The MCP server is described as enabling workflows for data processing, chatbot development, and API integration, all of which are concrete tasks commonly performed in occupational settings such as software development, data analysis, and IT support, as represented in O*NET.",Getting Information; Processing Information; Analyzing Data or Information; Developing Objectives and Strategies; Updating and Using Relevant Knowledge,"The MCP server enables AI assistants to access and process external data, interact with APIs, and build custom workflows, which directly involves ""Getting Information,"" ""Processing Information,"" and ""Analyzing Data or Information."" Additionally, ""Developing Objectives and Strategies"" is relevant for building custom workflows, and ""Updating and Using Relevant Knowledge"" applies to integrating and utilizing new data sources or APIs. Excluding any of these would risk omitting core activities automated or supported by the MCP in real-world deployments.",,,,,,,,,,
Gitee MCP Server,https://mcp.so/server/mcp-gitee/oschina,"Description: mcp-gitee is a Model Context Protocol (MCP) server implementation for Gitee. It provides a set of tools that interact with Gitee's API, allowing AI assistants to manage repository, issues, pull requests, etc. Use cases: Managing repository issues and pull requests. Automating repository management tasks for AI assistants. Integrating Gitee functionalities into other applications.",Yes,"The MCP server provides tools for managing repository issues and pull requests and automating repository management tasks, which are concrete work activities commonly performed by software developers and project managers as part of their occupational roles, as represented in O*NET.",Getting Information; Processing Information; Documenting/Recording Information; Making Decisions and Solving Problems,"The mcp-gitee server enables AI assistants to interact with Gitee's API for managing repositories, issues, and pull requests, which directly involves obtaining and processing information, documenting actions, and making decisions or solving problems related to repository management. These activities map to ""Getting Information,"" ""Processing Information,"" ""Documenting/Recording Information,"" and ""Making Decisions and Solving Problems."" Excluding any of these would risk omitting core tasks such as issue triage, pull request review, or repository updates that are central to the MCP's function.","Compile records, documentation, or other data; Document technical designs, procedures, or activities; Gather information from physical or electronic sources; Implement procedures or processes; Maintain operational records; Prepare reports of operational or procedural activities.","The mcp-gitee server enables AI assistants to interact with Gitee's API for managing repositories, issues, and pull requests, which involves gathering information from electronic sources, compiling and maintaining records, documenting technical activities, preparing reports, and implementing procedures. These actions map directly to several IWAs related to information gathering, documentation, and operational record-keeping, all of which are core to repository and issue management workflows.",Prepare operational progress or status reports; Prepare operational reports or records; Prepare operational reports; Write operational reports,"The mcp-gitee server enables AI assistants to interact with Gitee repositories, including managing issues and pull requests, which directly involves preparing and maintaining operational records and reports about repository activities. All DWAs that refer to preparing or writing operational reports or records are relevant, as excluding any could omit standardized ONET tasks related to documenting repository operations, issue tracking, or pull request management.","Prepare and review operational reports or project progress reports; Prepare or present technical or project status reports; Prepare progress or technical reports; Prepare reports and document project activities and data; Review project activities and prepare and review research, testing, or operational reports; Write reports; Write technical reports or documentation, such as deviation reports, testing protocols, and trend analyses.","The mcp-gitee server enables AI assistants to interact with Gitee's API for managing repositories, issues, and pull requests, which involves generating, maintaining, and reporting on operational data related to software development activities. Tasks involving the preparation, maintenance, and review of operational or project progress reports, as well as documentation and reporting of activities, align closely with the capabilities of this MCP server.",,,,
iRacing,https://mcp.so/server/iracing-data-mcp-server/emilioSp,Description: Node.js mcp server for iRacing data api Use cases: Developing applications that require real-time racing data. Analyzing racing performance metrics. Creating visualizations for racing statistics.,Yes,"The MCP server provides access to real-time racing data, performance metrics analysis, and racing statistics visualizations, all of which are concrete tasks performed by data analysts, sports statisticians, and software developers in the motorsports industry, as represented in O*NET.",Getting Information; Analyzing Data or Information; Processing Information,"The MCP server provides access to real-time racing data, supports analysis of performance metrics, and enables creation of visualizations, all of which involve obtaining, processing, and analyzing information. These activities map directly to ""Getting Information,"" ""Analyzing Data or Information,"" and ""Processing Information."" Excluding any of these would risk omitting core tasks such as data retrieval, analysis, or transformation that are central to the MCP's use cases.","Analyze performance of systems or equipment; Gather information from physical or electronic sources; Compile records, documentation, or other data.","The MCP server provides real-time racing data, which enables users to analyze performance metrics and create visualizations, directly supporting activities related to analyzing system performance and processing data. It also inherently involves gathering and compiling data from the iRacing API. Therefore, the smallest set should include IWAs covering system/equipment performance analysis, data gathering, and data compilation, as excluding any of these would omit core MCP-supported tasks.",Compile data or documentation; Compile operational data; Compile technical information or documentation.,"The MCP server provides access to real-time racing data, which directly supports compiling operational data (from racing events), compiling data or documentation (general data aggregation), and compiling technical information or documentation (technical racing metrics). Excluding any of these would risk omitting core standardized tasks related to data gathering and documentation that this MCP enables.",Compile scores and other athletic records; Compile operational data,"The MCP server provides real-time racing data and performance metrics, which directly supports compiling scores and athletic records, as well as compiling operational data. It could also be used to organize and maintain technical information related to racing statistics. However, tasks related to translation, legal/medical terminology, or IT forensics are not directly supported by the described MCP server.",,,,
mentor-mcp-server,https://mcp.so/server/cyanheads_mentor-mcp-server/MCP-Mirror,Description: Mirror of Use cases: Conducting thorough code reviews to improve software quality. Evaluating design documents for user interface improvements. Providing feedback on technical writing and documentation. Brainstorming new features and assessing their feasibility.,Yes,"The MCP server is described as enabling activities such as code reviews, evaluating design documents, providing feedback on technical writing, and brainstorming features—all of which are concrete, occupationally relevant tasks commonly performed by software engineers, technical writers, and product designers as represented in O*NET.","Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Judging the Qualities of Objects, Services, or People; Interpreting the Meaning of Information for Others; Providing Consultation and Advice to Others; Thinking Creatively","The MCP server enables activities such as code review, design evaluation, technical writing feedback, and feature brainstorming, all of which involve analyzing information, evaluating quality, interpreting meaning, providing advice, and creative thinking. These activities map directly to GWAs related to information analysis, evaluation, consultation, and creativity, and omitting any of these would risk excluding relevant ONET tasks automated by the MCP.",,,,,,,,,,
Sonar MVP Server,https://mcp.so/server/sonar-mcp-server/lreimer,Description: A MCP server implementation for the SonarQube Cloud API in Golang. Use cases: Integrating SonarQube analysis into CI/CD pipelines. Automating code quality checks in development workflows. Building custom tools that leverage SonarQube data.,Yes,"The MCP server integrates with the SonarQube Cloud API to automate code quality checks and analysis, which are standard tasks performed by software developers and DevOps engineers in professional settings, such as integrating code analysis into CI/CD pipelines.",Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Getting Information; Processing Information,"The MCP server enables integration with SonarQube for code analysis, automating code quality checks, and providing access to code quality data. This directly supports activities such as analyzing data or information, evaluating information to determine compliance with standards, getting information, and processing information, as these are core to code analysis and quality assurance workflows.",,,,,,,,,,
mcp_py_exam,https://mcp.so/server/mcp_py_exam/istanadodan,Description: MCP servers and client with gemini Use cases: Building applications that require efficient server-client communication. Developing tools that leverage the Gemini protocol for data transfer. Educational purposes for understanding server-client architecture in Python.,Yes,"The description indicates that the MCP server is used for building applications requiring server-client communication and leveraging the Gemini protocol, which are tasks commonly performed by software developers and align with standardized job tasks in O*NET related to software development and systems integration.",Getting Information; Processing Information; Analyzing Data or Information; Updating and Using Relevant Knowledge,"The MCP server enables efficient server-client communication, data transfer via the Gemini protocol, and supports application development and educational use in server-client architecture. This directly involves activities such as obtaining and processing information, analyzing data, and updating technical knowledge, all of which are core to developing, deploying, and maintaining such systems.",,,,,,,,,,
mcp-server-rubygems,https://mcp.so/server/mcp-server-rubygems/6,Description: A Model Context Protocol (MCP) server for fetching rubygems metadata via rubygems.org API Use cases: Developers can retrieve metadata for RubyGems to integrate into their applications. Users can search for specific RubyGems based on queries. Gem maintainers can check dependencies and ownership information.,Yes,"The MCP server enables retrieval of RubyGems metadata, searching for gems, and checking dependencies and ownership, which are tasks commonly performed by software developers and maintainers as part of their occupational duties, aligning with standardized job tasks in O*NET related to software development and maintenance.",Getting Information; Analyzing Data or Information; Processing Information; Documenting/Recording Information,"The MCP server enables users to retrieve, search, and access metadata about RubyGems, which directly supports the work activities of obtaining information (Getting Information), analyzing or processing that information (Analyzing Data or Information; Processing Information), and recording or updating relevant data (Documenting/Recording Information). These GWAs cover the core human activities automated or supported by this MCP in real-world developer and maintainer workflows.","Gather information from physical or electronic sources; Obtain information about goods or services; Document technical designs, procedures, or activities.","The MCP server enables users to fetch, search, and retrieve metadata about RubyGems, including dependencies and ownership, which directly supports gathering information from electronic sources, obtaining information about goods or services, and documenting technical data. Excluding any of these would risk omitting standardized tasks related to technical documentation, information retrieval, and product/service information gathering that are core to the MCP's use cases.",Document design or development procedures; Document technical design details; Document technical specifications or requirements,"The MCP server enables retrieval of RubyGems metadata, which directly supports documenting technical design details, specifications, and development procedures, as these activities often require up-to-date information about dependencies, versions, and ownership. Excluding any of these DWAs could omit standardized ONET tasks related to integrating, specifying, or documenting software components using such metadata.","Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program; Document design specifications, installation instructions, and other system-related information; Document technical functions and specifications for new or proposed content management systems; Document technical specifications and operating standards for telecommunications equipment; Document and communicate database schemas, using accepted notations.","The MCP server provides access to RubyGems metadata, which is directly relevant for documenting technical specifications, requirements, and dependencies of software components. This supports tasks involving the documentation of program development, technical specifications, and database schemas, as these often require accurate metadata about software libraries and dependencies.",,,,
MCP-testing: OpenWebUI + mcpo Integration,https://mcp.so/server/MCP-testing/cycloarcane,Description: A repository to test MCP servers and interations. Use cases: Validating the performance of MCP servers under different loads. Ensuring compatibility between different versions of MCP servers. Automating the testing process for continuous integration workflows.,Yes,"The MCP server is described as a tool for testing, validating, and automating the performance and compatibility of MCP servers, which aligns with standardized job tasks in software quality assurance, DevOps, and continuous integration—roles that are common and paid in the formal economy.",Getting Information; Analyzing Data or Information; Processing Information; Evaluating Information to Determine Compliance with Standards; Documenting/Recording Information,"The MCP server is primarily used for testing, validating, and automating the evaluation of AI model context protocol servers, which involves gathering information about server performance, analyzing and processing test data, evaluating compliance with standards, and documenting results for continuous integration. These activities map directly to ""Getting Information,"" ""Analyzing Data or Information,"" ""Processing Information,"" ""Evaluating Information to Determine Compliance with Standards,"" and ""Documenting/Recording Information."" Excluding any of these would risk omitting core technical and operational tasks automated or supported by the MCP in real-world deployments.",,,,,,,,,,
Stability AI MCP Server,https://mcp.so/server/mcp-server-stability-ai/tadasant,"Description: MCP Server integrating MCP Clients with Stability AI-powered image manipulation functionalities: generate, edit, upscale, and more. Use cases: Creating unique digital art from text prompts. Preparing product images for e-commerce by removing backgrounds. Enhancing image quality for print-ready materials.",Yes,"The MCP server provides image generation, editing, background removal, and upscaling functionalities, which are concrete tasks performed in occupations such as graphic design, product photography, and digital marketing, as represented in O*NET.","Thinking Creatively; Processing Information; Getting Information; Identifying Objects, Actions, and Events","The MCP server enables AI assistants to generate, edit, and enhance images using Stability AI-powered tools, which directly supports activities such as creating digital art from prompts, preparing product images, and improving image quality. These tasks involve ""Thinking Creatively"" (for generating and editing images), ""Processing Information"" (for manipulating and transforming image data), ""Getting Information"" (for retrieving or receiving image inputs and prompts), and ""Identifying Objects, Actions, and Events"" (for tasks like background removal or object recognition in images).","Create artistic designs or performances; Create visual designs or displays; Develop news, entertainment, or artistic content","The MCP server enables AI-powered image generation, editing, and enhancement, which directly supports the creation of artistic and visual designs, as well as the development of artistic content. These activities are core to the described use cases (digital art, product images, print materials). Excluding any of these would risk omitting standardized tasks such as creating digital art, preparing marketing visuals, or enhancing images for publication, all of which are commonly automated or supported by such an MCP.",,No DWAs available under selected IWAs.,,,,,,
