title,iwa_llm_raw,iwa_human_raw,iwa_shared,iwa_llm_only,iwa_human_only,count_llm,count_human,count_shared,count_llm_only,count_human_only
Gitee MCP Server,"Compile records, documentation, or other data; Document technical designs, procedures, or activities; Gather information from physical or electronic sources; Implement procedures or processes; Maintain operational records; Prepare reports of operational or procedural activities.",Gather information from physical or electronic sources.,Gather information from physical or electronic sources,Compile records documentation or other data; Document technical designs procedures or activities; Implement procedures or processes; Maintain operational records; Prepare reports of operational or procedural activities,,6,1,1,5,0
iRacing,"Analyze performance of systems or equipment; Gather information from physical or electronic sources; Compile records, documentation, or other data.",Gather information from physical or electronic sources.,Gather information from physical or electronic sources,Analyze performance of systems or equipment; Compile records documentation or other data,,3,1,1,2,0
mentor-mcp-server,"Advise others on the design or use of technologies; Evaluate designs, specifications, or other technical data; Evaluate project feasibility; Examine materials or documentation for accuracy or compliance.","Evaluate designs, specifications, or other technical data.; Determine resource needs of projects or operations.; Advise others on the design or use of technologies.",Advise others on the design or use of technologies; Evaluate designs specifications or other technical data,Evaluate project feasibility; Examine materials or documentation for accuracy or compliance,Determine resource needs of projects or operations,4,3,2,2,1
Sonar MVP Server,"Analyze performance of systems or equipment; Evaluate designs, specifications, or other technical data; Assess compliance with environmental standards or regulations; Gather data about operational or development activities; Compile records, documentation, or other data.",Analyze performance of systems or equipment.; Advise others on the design or use of technologies.,Analyze performance of systems or equipment,Assess compliance with environmental standards or regulations; Compile records documentation or other data; Evaluate designs specifications or other technical data; Gather data about operational or development activities,Advise others on the design or use of technologies,5,2,1,4,1
mcp_py_exam,"Analyze data to improve operations; Compile records, documentation, or other data; Evaluate the quality or accuracy of data; Gather information from physical or electronic sources; Maintain current knowledge in area of expertise.","Process digital or online data.; Set up computer systems, networks, or other information systems.",,Analyze data to improve operations; Compile records documentation or other data; Evaluate the quality or accuracy of data; Gather information from physical or electronic sources; Maintain current knowledge in area of expertise,Process digital or online data; Set up computer systems networks or other information systems,5,2,0,5,2
mcp-server-rubygems,"Gather information from physical or electronic sources; Obtain information about goods or services; Compile records, documentation, or other data.",Gather information from physical or electronic sources.,Gather information from physical or electronic sources,Compile records documentation or other data; Obtain information about goods or services,,3,1,1,2,0
MCP-testing: OpenWebUI + mcpo Integration,"Analyze performance of systems or equipment; Assess compliance with environmental standards or regulations; Gather data about operational or development activities; Document technical designs, procedures, or activities.",Advise others on the design or use of technologies.,,Analyze performance of systems or equipment; Assess compliance with environmental standards or regulations; Document technical designs procedures or activities; Gather data about operational or development activities,Advise others on the design or use of technologies,4,1,0,4,1
Stability AI MCP Server,"Create artistic designs or performances; Create visual designs or displays; Develop news, entertainment, or artistic content",Create visual designs or displays.,Create visual designs or displays,Create artistic designs or performances; Develop news entertainment or artistic content,,3,1,1,2,0
MCP Lab,"Gather information from physical or electronic sources; Analyze data to improve operations; Process information; Document technical designs, procedures, or activities; Update and use relevant knowledge.","Advise others on the design or use of technologies.; Set up computer systems, networks, or other information systems.",,Analyze data to improve operations; Document technical designs procedures or activities; Gather information from physical or electronic sources; Process information; Update and use relevant knowledge,Advise others on the design or use of technologies; Set up computer systems networks or other information systems,5,2,0,5,2
Python Shopify MCP Server for Claude,"Obtain information about goods or services; Analyze business or financial data; Analyze market or industry conditions; Compile records, documentation, or other data; Advise others on products or services.",Analyze business or financial data.; Analyze data to improve operations.; Gather information from physical or electronic sources.; Determine values or prices of goods or services.; Advise others on business or operational matters.; Advise others on products or services.,Advise others on products or services; Analyze business or financial data,Analyze market or industry conditions; Compile records documentation or other data; Obtain information about goods or services,Advise others on business or operational matters; Analyze data to improve operations; Determine values or prices of goods or services; Gather information from physical or electronic sources,5,6,2,3,4
Web Content MCP,"Collect data about consumer needs or opinions; Compile records, documentation, or other data; Document technical designs, procedures, or activities; Evaluate the quality or accuracy of data; Gather data about operational or development activities; Gather information for news stories; Gather information from physical or electronic sources; Prepare informational or instructional materials; Prepare reports of operational or procedural activities; Present research or technical information; Read documents or materials to inform work processes; Research organizational behavior, processes, or performance; Research technology designs or applications.","Collect data about consumer needs or opinions.; Gather information for news stories.; Gather information from physical or electronic sources.; Research agricultural processes or practices.; Research biological or ecological phenomena.; Research healthcare issues.; Research historical or social issues.; Research issues related to earth sciences.; Research organizational behavior, processes, or performance.; Research technology designs or applications.",Collect data about consumer needs or opinions; Gather information for news stories; Gather information from physical or electronic sources; Research organizational behavior processes or performance; Research technology designs or applications,Compile records documentation or other data; Document technical designs procedures or activities; Evaluate the quality or accuracy of data; Gather data about operational or development activities; Prepare informational or instructional materials; Prepare reports of operational or procedural activities; Present research or technical information; Read documents or materials to inform work processes,Research agricultural processes or practices; Research biological or ecological phenomena; Research healthcare issues; Research historical or social issues; Research issues related to earth sciences,13,10,5,8,5
MCP Chat Adapter,"Compile records, documentation, or other data; Gather information from physical or electronic sources; Provide information to guests, clients, or customers.",,,Compile records documentation or other data; Gather information from physical or electronic sources; Provide information to guests clients or customers,,3,0,0,3,0
DiceDB MCP,"Compile records, documentation, or other data; Document technical designs, procedures, or activities; Maintain operational records; Gather data about operational or development activities; Prepare reports of operational or procedural activities; Evaluate the quality or accuracy of data; Analyze performance of systems or equipment.",Gather information from physical or electronic sources.,,Analyze performance of systems or equipment; Compile records documentation or other data; Document technical designs procedures or activities; Evaluate the quality or accuracy of data; Gather data about operational or development activities; Maintain operational records; Prepare reports of operational or procedural activities,Gather information from physical or electronic sources,7,1,0,7,1
Claude MCP: Enhance Your Experience with Claude.ai,"Gather information from physical or electronic sources; Compile records, documentation, or other data; Maintain current knowledge in area of expertise; Plan work activities.","Set up computer systems, networks, or other information systems.",,Compile records documentation or other data; Gather information from physical or electronic sources; Maintain current knowledge in area of expertise; Plan work activities,Set up computer systems networks or other information systems,4,1,0,4,1
comfy-ui-mcp-server MCP server,"Compile records, documentation, or other data; Document technical designs, procedures, or activities; Maintain operational records; Prepare informational or instructional materials; Prepare reports of operational or procedural activities; Interpreting the Meaning of Information for Others.",Gather information from physical or electronic sources.,,Compile records documentation or other data; Document technical designs procedures or activities; Interpreting the Meaning of Information for Others; Maintain operational records; Prepare informational or instructional materials; Prepare reports of operational or procedural activities,Gather information from physical or electronic sources,6,1,0,6,1
