O*NET-SOC Code_x,Title,1-5 Years,10 Years or More,6-9 Years,<1 Year,Missing,Domain Source_x,O*NET-SOC Code_y,Job Zone,Date,Domain Source_y,Avg_Experience_Years
29-1081.00,Podiatrists,15.3,70.8,9.7,4.2,0.0,Incumbent,29-1081.00,5,08/2022,Analyst,12.057
13-1074.00,Farm Labor Contractors,15.8,70.2,10.5,3.5,0.0,Incumbent,13-1074.00,2,06/2008,Analyst,11.951500000000001
51-5111.00,Prepress Technicians and Workers,13.4,70.1,11.3,4.1,1.0,Incumbent,51-5111.00,3,07/2016,Analyst,11.937499999999998
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",14.0,70.0,10.0,4.0,2.0,Incumbent,27-1013.00,3,07/2017,Analyst,11.92
27-2042.00,Musicians and Singers,12.8,69.8,9.4,6.7,1.3,,27-2042.00,4,08/2022,Analyst,11.8995
47-2072.00,Pile Driver Operators,13.0,69.6,15.9,1.4,0.0,,47-2072.00,2,08/2018,Analyst,11.838999999999999
51-4111.00,Tool and Die Makers,18.2,69.1,5.5,7.3,0.0,Incumbent,51-4111.00,3,08/2021,Analyst,11.783499999999998
29-1216.00,General Internal Medicine Physicians,13.8,69.0,10.3,6.9,0.0,,29-1216.00,5,08/2021,Analyst,11.7645
45-4022.00,Logging Equipment Operators,15.5,69.0,8.6,5.2,1.7,Incumbent,45-4022.00,1,07/2017,Analyst,11.756
29-1023.00,Orthodontists,15.6,68.8,7.8,4.7,3.1,Incumbent,29-1023.00,5,08/2023,Analyst,11.7195
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",14.3,68.3,13.9,2.8,0.8,,53-5021.00,3,08/2022,Analyst,11.624999999999998
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",15.2,68.2,15.2,1.5,0.0,Incumbent,51-9195.04,2,07/2015,Analyst,11.601500000000001
25-1063.00,"Economics Teachers, Postsecondary",12.5,68.1,11.1,8.3,0.0,Incumbent,25-1063.00,5,08/2019,Analyst,11.618499999999997
47-2121.00,Glaziers,20.5,67.9,5.1,6.4,0.0,Incumbent,47-2121.00,2,08/2023,Analyst,11.575000000000001
51-9194.00,Etchers and Engravers,13.8,67.7,13.8,4.6,0.0,Incumbent,51-9194.00,2,07/2017,Analyst,11.532
47-2081.00,Drywall and Ceiling Tile Installers,12.7,67.6,14.1,2.8,2.8,Incumbent,47-2081.00,2,07/2016,Analyst,11.505999999999997
29-1213.00,Dermatologists,14.3,67.5,10.4,3.9,3.9,Incumbent,29-1213.00,5,08/2021,Analyst,11.4945
27-2041.00,Music Directors and Composers,16.3,67.4,12.8,2.8,0.7,,27-2041.00,4,08/2022,Analyst,11.472000000000001
25-2012.00,"Kindergarten Teachers, Except Special Education",15.8,67.3,9.9,6.9,0.0,Incumbent,25-2012.00,4,08/2018,Analyst,11.475499999999998
29-1021.00,"Dentists, General",13.7,67.1,9.6,6.8,2.7,Incumbent,29-1021.00,5,07/2014,Analyst,11.440999999999999
43-5052.00,Postal Service Mail Carriers,12.8,67.0,11.9,8.3,0.0,Incumbent,43-5052.00,2,07/2016,Analyst,11.4315
47-2053.00,Terrazzo Workers and Finishers,15.9,66.7,14.3,1.6,1.6,Incumbent,47-2053.00,2,07/2015,Analyst,11.347
13-1032.00,"Insurance Appraisers, Auto Damage",21.1,66.7,8.8,3.5,0.0,Incumbent,13-1032.00,3,07/2016,Analyst,11.3565
17-1021.00,Cartographers and Photogrammetrists,10.0,66.7,20.0,3.3,0.0,Incumbent,17-1021.00,4,08/2018,Analyst,11.355500000000001
29-1221.00,"Pediatricians, General",18.5,66.2,13.8,0.0,1.5,Incumbent,29-1221.00,5,08/2020,Analyst,11.254000000000001
25-1122.00,"Communications Teachers, Postsecondary",16.9,66.2,10.8,4.6,1.5,Incumbent,25-1122.00,5,08/2019,Analyst,11.277000000000001
45-2021.00,Animal Breeders,15.1,66.0,17.0,1.9,0.0,Incumbent,45-2021.00,2,08/2018,Analyst,11.2295
27-1023.00,Floral Designers,14.0,66.0,16.0,4.0,0.0,Incumbent,27-1023.00,2,07/2015,Analyst,11.24
51-9071.06,Gem and Diamond Workers,16.0,65.3,12.0,5.3,1.3,Incumbent,51-9071.06,3,06/2008,Analyst,11.1275
25-1031.00,"Architecture Teachers, Postsecondary",13.0,65.2,11.6,8.7,1.4,Incumbent,25-1031.00,5,08/2019,Analyst,11.127500000000001
51-7031.00,"Model Makers, Wood",21.7,65.2,2.2,4.3,6.5,Incumbent,51-7031.00,3,08/2024,Analyst,11.105500000000001
47-2051.00,Cement Masons and Concrete Finishers,19.0,65.1,7.9,7.9,0.0,Incumbent,47-2051.00,1,08/2018,Analyst,11.106499999999999
47-2044.00,Tile and Stone Setters,19.3,64.9,14.0,1.8,0.0,,47-2044.00,2,08/2023,Analyst,11.042000000000002
33-2022.00,Forest Fire Inspectors and Prevention Specialists,17.5,64.9,12.3,5.3,0.0,Incumbent,33-2022.00,3,08/2019,Analyst,11.059500000000002
29-2011.00,Medical and Clinical Laboratory Technologists,19.4,64.8,14.8,0.9,0.0,Incumbent,29-2011.00,4,07/2013,Analyst,11.020499999999998
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",16.9,64.8,12.7,5.6,0.0,Incumbent,25-1124.00,5,08/2019,Analyst,11.043999999999999
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",17.3,64.5,9.1,8.2,0.9,Incumbent,25-1051.00,5,08/2019,Analyst,11.006
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",19.5,64.0,11.4,3.7,1.3,,45-1011.00,3,08/2022,Analyst,10.8985
29-1229.01,Allergists and Immunologists,16.7,63.9,13.9,2.8,2.8,Incumbent,29-1229.01,5,08/2022,Analyst,10.876999999999999
43-5051.00,Postal Service Clerks,22.7,63.9,8.2,4.1,1.0,Incumbent,43-5051.00,2,07/2016,Analyst,10.8835
41-3041.00,Travel Agents,23.2,63.8,7.2,5.8,0.0,Incumbent,41-3041.00,3,07/2016,Analyst,10.874999999999998
47-2132.00,"Insulation Workers, Mechanical",26.1,63.6,8.0,1.1,1.1,Incumbent,47-2132.00,2,08/2023,Analyst,10.8175
51-4194.00,"Tool Grinders, Filers, and Sharpeners",25.4,63.4,5.6,4.2,1.4,Incumbent,51-4194.00,2,07/2016,Analyst,10.799
29-1291.00,Acupuncturists,20.4,63.3,10.2,4.1,2.0,Incumbent,29-1291.00,5,08/2020,Analyst,10.7815
29-1022.00,Oral and Maxillofacial Surgeons,21.7,63.3,15.0,0.0,0.0,Incumbent,29-1022.00,5,07/2012,Analyst,10.761
51-6092.00,Fabric and Apparel Patternmakers,20.0,63.3,5.0,8.3,3.3,Incumbent,51-6092.00,3,07/2016,Analyst,10.802499999999998
25-1054.00,"Physics Teachers, Postsecondary",27.0,63.1,6.6,2.5,0.8,Incumbent,25-1054.00,5,08/2019,Analyst,10.7395
51-9151.00,Photographic Process Workers and Processing Machine Operators,19.4,62.7,11.9,6.0,0.0,,51-9151.00,2,07/2017,Analyst,10.689
19-2012.00,Physicists,20.3,62.7,13.6,3.4,0.0,Incumbent,19-2012.00,5,08/2020,Analyst,10.676
47-2211.00,Sheet Metal Workers,9.8,62.7,19.6,5.9,2.0,Incumbent,47-2211.00,2,08/2023,Analyst,10.688500000000001
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",18.4,62.5,15.8,2.6,0.7,Incumbent,49-3042.00,3,07/2017,Analyst,10.638
47-2041.00,Carpet Installers,18.8,62.4,14.1,2.4,2.4,Incumbent,47-2041.00,2,07/2011,Analyst,10.62
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",15.9,62.3,14.5,5.8,1.4,Incumbent,51-4034.00,2,08/2024,Analyst,10.62
11-1021.00,General and Operations Managers,22.0,62.2,14.6,1.2,0.0,Incumbent,11-1021.00,4,08/2023,Analyst,10.580000000000002
47-2022.00,Stonemasons,23.5,62.2,12.2,1.0,1.0,Incumbent,47-2022.00,3,12/2005,Analyst,10.579000000000002
49-2091.00,Avionics Technicians,21.8,62.1,11.5,3.4,1.1,Incumbent,49-2091.00,3,07/2015,Analyst,10.574
25-2032.00,"Career/Technical Education Teachers, Secondary School",21.6,62.1,12.9,2.6,0.9,Incumbent,25-2032.00,4,08/2018,Analyst,10.57
47-2142.00,Paperhangers,19.0,61.9,10.5,8.6,0.0,Incumbent,47-2142.00,2,06/2008,Analyst,10.565999999999999
51-4192.00,"Layout Workers, Metal and Plastic",19.0,61.9,14.3,4.8,0.0,Incumbent,51-4192.00,2,08/2018,Analyst,10.546999999999999
39-2011.00,Animal Trainers,11.9,61.9,22.9,3.4,0.0,Incumbent,39-2011.00,2,07/2014,Analyst,10.54
51-2061.00,Timing Device Assemblers and Adjusters,18.2,61.8,12.7,5.4,1.8,Incumbent,51-2061.00,2,06/2008,Analyst,10.532999999999998
49-3021.00,Automotive Body and Related Repairers,25.5,61.7,2.1,8.5,2.1,Incumbent,49-3021.00,2,08/2019,Analyst,10.531500000000001
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",18.6,61.6,14.0,5.8,0.0,Incumbent,51-4032.00,2,08/2022,Analyst,10.501000000000001
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,18.5,61.5,10.8,7.7,1.5,Incumbent,43-4181.00,2,07/2013,Analyst,10.493500000000001
29-1211.00,Anesthesiologists,22.8,61.4,11.9,2.0,2.0,Incumbent,29-1211.00,5,07/2012,Analyst,10.447999999999999
53-7021.00,Crane and Tower Operators,14.8,61.1,19.4,3.7,0.9,Incumbent,53-7021.00,3,07/2015,Analyst,10.4055
53-2021.00,Air Traffic Controllers,26.4,61.0,9.4,3.1,0.0,Incumbent,53-2021.00,3,07/2014,Analyst,10.385499999999999
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",25.3,60.8,10.1,3.8,0.0,Incumbent,53-4013.00,2,08/2021,Analyst,10.354999999999999
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,20.2,60.6,14.1,4.0,1.0,Incumbent,47-1011.00,3,08/2020,Analyst,10.322
51-8031.00,Water and Wastewater Treatment Plant and System Operators,21.0,60.5,16.0,2.5,0.0,Incumbent,51-8031.00,3,08/2018,Analyst,10.2975
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",21.0,60.5,14.8,3.7,0.0,Incumbent,47-2042.00,2,12/2005,Analyst,10.3035
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",19.8,60.5,12.8,5.8,1.2,Incumbent,43-9051.00,2,07/2016,Analyst,10.314
51-3021.00,Butchers and Meat Cutters,23.5,60.5,7.4,2.5,6.2,Incumbent,51-3021.00,2,07/2016,Analyst,10.2975
29-2033.00,Nuclear Medicine Technologists,16.5,60.2,20.3,3.0,0.0,Incumbent,29-2033.00,3,07/2013,Analyst,10.249000000000002
53-4011.00,Locomotive Engineers,15.4,60.0,15.4,7.7,1.5,Incumbent,53-4011.00,2,07/2015,Analyst,10.2385
27-2012.04,Talent Directors,20.0,60.0,10.8,9.2,0.0,Incumbent,27-2012.04,4,08/2019,Analyst,10.245999999999999
49-3023.00,Automotive Service Technicians and Mechanics,26.7,60.0,10.0,3.3,0.0,,49-3023.00,3,08/2022,Analyst,10.2165
51-2022.00,Electrical and Electronic Equipment Assemblers,27.8,59.7,12.5,0.0,0.0,Incumbent,51-2022.00,2,07/2013,Analyst,10.149000000000001
23-1011.00,Lawyers,18.1,59.7,5.6,15.3,1.4,Incumbent,23-1011.00,5,08/2024,Analyst,10.2255
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,26.9,59.6,11.5,1.9,0.0,,53-1043.00,3,08/2023,Analyst,10.141499999999999
49-3052.00,Motorcycle Mechanics,15.4,59.6,11.5,13.5,0.0,Incumbent,49-3052.00,3,08/2021,Analyst,10.1995
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",18.0,59.5,14.4,6.3,1.8,,49-9021.00,3,08/2022,Analyst,10.1465
49-3011.00,Aircraft Mechanics and Service Technicians,25.3,59.3,11.0,2.2,2.2,Incumbent,49-3011.00,3,07/2013,Analyst,10.091999999999999
49-9051.00,Electrical Power-Line Installers and Repairers,16.9,59.2,16.9,5.6,1.4,Incumbent,49-9051.00,2,08/2021,Analyst,10.092
45-4023.00,Log Graders and Scalers,23.7,59.2,9.2,7.9,0.0,Incumbent,45-4023.00,2,07/2017,Analyst,10.1035
27-2012.05,Media Technical Directors/Managers,22.4,59.2,14.3,4.1,0.0,,27-2012.05,4,08/2019,Analyst,10.0845
51-7021.00,Furniture Finishers,25.4,59.2,8.5,5.6,1.4,Incumbent,51-7021.00,2,07/2017,Analyst,10.092
13-1031.00,"Claims Adjusters, Examiners, and Investigators",26.4,59.2,8.8,4.0,1.6,,13-1031.00,4,08/2022,Analyst,10.084
29-2055.00,Surgical Technologists,16.1,59.1,18.3,6.5,0.0,Incumbent,29-2055.00,3,07/2013,Analyst,10.079500000000001
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,23.1,59.0,13.7,4.3,0.0,,17-3024.00,3,08/2022,Analyst,10.051499999999999
39-4011.00,Embalmers,26.8,58.9,12.5,1.8,0.0,Incumbent,39-4011.00,3,08/2021,Analyst,10.022
49-9011.00,Mechanical Door Repairers,22.3,58.9,17.9,0.9,0.0,Incumbent,49-9011.00,2,07/2015,Analyst,10.0175
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",31.0,58.6,5.7,4.6,0.0,Incumbent,45-2093.00,2,08/2019,Analyst,9.985
39-1013.00,First-Line Supervisors of Gambling Services Workers,25.5,58.5,10.6,4.3,1.1,,39-1013.00,2,08/2022,Analyst,9.9665
21-2011.00,Clergy,29.2,58.5,10.8,1.5,0.0,Incumbent,21-2011.00,5,08/2023,Analyst,9.9525
25-1022.00,"Mathematical Science Teachers, Postsecondary",24.6,58.5,11.9,4.2,0.8,Incumbent,25-1022.00,5,08/2019,Analyst,9.966000000000001
47-2043.00,Floor Sanders and Finishers,30.9,58.2,7.3,3.6,0.0,Incumbent,47-2043.00,1,08/2021,Analyst,9.912
25-2021.00,"Elementary School Teachers, Except Special Education",19.4,58.1,14.5,8.1,0.0,Incumbent,25-2021.00,4,08/2024,Analyst,9.9175
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",19.4,58.1,16.1,6.5,0.0,Incumbent,49-2021.00,3,08/2022,Analyst,9.909500000000001
47-2011.00,Boilermakers,24.6,58.0,14.5,2.9,0.0,Incumbent,47-2011.00,3,07/2015,Analyst,9.8745
25-2023.00,"Career/Technical Education Teachers, Middle School",24.6,58.0,13.0,4.3,0.0,Incumbent,25-2023.00,4,08/2018,Analyst,9.881499999999999
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",18.8,58.0,15.9,5.8,1.4,Incumbent,49-2092.00,3,07/2017,Analyst,9.889
51-8011.00,Nuclear Power Reactor Operators,23.3,57.8,14.7,4.3,0.0,Incumbent,51-8011.00,3,07/2014,Analyst,9.847499999999998
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,22.1,57.8,14.8,4.1,1.2,,33-1021.00,3,08/2022,Analyst,9.846499999999999
51-6031.00,Sewing Machine Operators,17.1,57.7,15.3,9.0,0.9,Incumbent,51-6031.00,1,07/2017,Analyst,9.854000000000001
51-9011.00,Chemical Equipment Operators and Tenders,25.8,57.6,13.6,1.5,1.5,Incumbent,51-9011.00,2,07/2015,Analyst,9.7995
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",24.2,57.6,13.1,4.0,1.0,Incumbent,25-1126.00,5,08/2019,Analyst,9.812
27-4012.00,Broadcast Technicians,19.7,57.6,10.6,12.1,0.0,Incumbent,27-4012.00,3,08/2019,Analyst,9.8525
43-9021.00,Data Entry Keyers,11.1,57.4,24.1,7.4,0.0,Incumbent,43-9021.00,2,08/2018,Analyst,9.795
51-4041.00,Machinists,18.3,57.3,13.4,11.0,0.0,Incumbent,51-4041.00,3,08/2020,Analyst,9.796
25-1064.00,"Geography Teachers, Postsecondary",20.9,57.3,20.0,1.8,0.0,Incumbent,25-1064.00,5,08/2019,Analyst,9.75
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",23.8,57.1,9.5,7.6,1.9,Incumbent,43-5053.00,2,07/2016,Analyst,9.745000000000001
19-1029.04,Biologists,25.0,57.1,12.5,3.6,1.8,Incumbent,19-1029.04,5,08/2018,Analyst,9.725000000000001
25-1021.00,"Computer Science Teachers, Postsecondary",31.9,57.1,8.8,2.2,0.0,Incumbent,25-1021.00,5,08/2019,Analyst,9.718
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,22.8,57.0,13.9,5.1,1.3,,27-3011.00,4,07/2016,Analyst,9.715499999999999
29-2034.00,Radiologic Technologists and Technicians,25.9,57.0,15.6,0.7,0.7,,29-2034.00,3,08/2022,Analyst,9.6935
49-9031.00,Home Appliance Repairers,23.1,56.9,15.4,4.6,0.0,Incumbent,49-9031.00,2,08/2018,Analyst,9.696
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",24.6,56.9,3.1,10.8,4.6,Incumbent,41-4012.00,4,08/2020,Analyst,9.727
25-1125.00,"History Teachers, Postsecondary",18.5,56.9,21.5,3.1,0.0,Incumbent,25-1125.00,5,08/2019,Analyst,9.6885
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",19.4,56.5,13.9,8.3,1.9,Incumbent,51-9124.00,2,08/2022,Analyst,9.6465
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",23.4,56.5,13.7,4.8,1.6,,47-2152.00,3,08/2022,Analyst,9.629
29-2012.00,Medical and Clinical Laboratory Technicians,24.2,56.5,11.3,6.5,1.6,Incumbent,29-2012.00,3,07/2014,Analyst,9.637500000000001
51-9082.00,Medical Appliance Technicians,20.2,56.4,18.1,4.3,1.1,Incumbent,51-9082.00,3,07/2015,Analyst,9.609499999999999
47-4021.00,Elevator and Escalator Installers and Repairers,16.4,56.4,20.0,7.3,0.0,,47-4021.00,3,08/2023,Analyst,9.6245
25-4012.00,Curators,27.7,56.4,10.9,5.0,0.0,Incumbent,25-4012.00,5,08/2018,Analyst,9.613
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",34.4,56.3,4.7,4.7,0.0,Incumbent,25-1043.00,5,08/2020,Analyst,9.5945
25-1065.00,"Political Science Teachers, Postsecondary",25.2,56.3,14.6,3.9,0.0,Incumbent,25-1065.00,5,08/2019,Analyst,9.5905
29-1217.00,Neurologists,23.4,56.3,12.5,1.6,6.3,Incumbent,29-1217.00,5,07/2012,Analyst,9.578999999999999
51-8021.00,Stationary Engineers and Boiler Operators,27.3,56.1,10.6,4.5,1.5,Incumbent,51-8021.00,3,08/2023,Analyst,9.559500000000002
49-3051.00,Motorboat Mechanics and Service Technicians,29.9,56.1,11.2,2.8,0.0,Incumbent,49-3051.00,3,07/2015,Analyst,9.551
29-2032.00,Diagnostic Medical Sonographers,22.4,56.0,17.2,4.3,0.0,Incumbent,29-2032.00,3,07/2013,Analyst,9.5415
25-2057.00,"Special Education Teachers, Middle School",21.5,55.9,10.8,10.8,1.1,Incumbent,25-2057.00,4,08/2018,Analyst,9.557
29-1126.00,Respiratory Therapists,28.3,55.8,11.5,4.4,0.0,Incumbent,29-1126.00,3,07/2013,Analyst,9.508
29-1131.00,Veterinarians,26.0,55.8,10.4,3.9,3.9,Incumbent,29-1131.00,5,08/2020,Analyst,9.5055
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",20.0,55.7,18.6,4.3,1.4,Incumbent,49-9091.00,2,07/2017,Analyst,9.4905
53-4031.00,Railroad Conductors and Yardmasters,22.8,55.7,20.3,1.3,0.0,Incumbent,53-4031.00,2,07/2013,Analyst,9.475500000000002
29-1292.00,Dental Hygienists,18.5,55.6,16.7,9.3,0.0,Incumbent,29-1292.00,3,08/2021,Analyst,9.4985
19-1032.00,Foresters,25.7,55.4,13.5,5.4,0.0,Incumbent,19-1032.00,4,08/2023,Analyst,9.444999999999999
25-1123.00,"English Language and Literature Teachers, Postsecondary",21.8,55.4,17.8,5.0,0.0,Incumbent,25-1123.00,5,08/2019,Analyst,9.443
51-8091.00,Chemical Plant and System Operators,23.3,55.3,15.5,3.9,1.9,Incumbent,51-8091.00,2,07/2015,Analyst,9.4205
25-1112.00,"Law Teachers, Postsecondary",28.2,55.3,14.6,1.9,0.0,Incumbent,25-1112.00,5,08/2019,Analyst,9.410499999999999
19-1031.02,Range Managers,24.1,55.2,10.3,10.3,0.0,Incumbent,19-1031.02,4,08/2020,Analyst,9.435500000000001
29-1229.06,Sports Medicine Physicians,23.9,55.2,16.4,3.0,1.5,Incumbent,29-1229.06,5,07/2012,Analyst,9.399000000000001
47-2221.00,Structural Iron and Steel Workers,24.8,55.2,13.3,5.7,1.0,Incumbent,47-2221.00,2,07/2015,Analyst,9.4125
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",31.4,54.9,9.8,3.9,0.0,Incumbent,51-4081.00,2,08/2021,Analyst,9.352500000000001
29-1127.00,Speech-Language Pathologists,22.5,54.9,15.5,7.0,0.0,Incumbent,29-1127.00,5,08/2022,Analyst,9.368
25-1053.00,"Environmental Science Teachers, Postsecondary",28.7,54.9,10.4,5.5,0.6,Incumbent,25-1053.00,5,08/2019,Analyst,9.3605
45-2091.00,Agricultural Equipment Operators,22.5,54.9,18.3,4.2,0.0,Incumbent,45-2091.00,1,08/2019,Analyst,9.354000000000001
11-3051.04,Biomass Power Plant Managers,24.2,54.8,16.1,4.8,0.0,Incumbent,11-3051.04,4,08/2020,Analyst,9.339999999999998
25-2058.00,"Special Education Teachers, Secondary School",19.7,54.7,17.1,7.7,0.9,Incumbent,25-2058.00,4,08/2018,Analyst,9.337500000000002
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",14.1,54.7,20.3,9.4,1.6,Incumbent,13-1011.00,4,08/2020,Analyst,9.346000000000002
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",18.5,54.6,16.0,10.9,0.0,Incumbent,25-2031.00,4,08/2018,Analyst,9.336500000000001
25-1011.00,"Business Teachers, Postsecondary",23.8,54.3,20.0,1.9,0.0,Incumbent,25-1011.00,5,08/2019,Analyst,9.240499999999999
49-9043.00,"Maintenance Workers, Machinery",31.1,54.1,8.2,6.6,0.0,Incumbent,49-9043.00,3,08/2024,Analyst,9.23
53-6051.01,Aviation Inspectors,34.0,54.0,12.0,0.0,0.0,Incumbent,53-6051.01,3,08/2021,Analyst,9.18
13-2072.00,Loan Officers,31.7,54.0,11.1,3.2,0.0,Incumbent,13-2072.00,4,08/2020,Analyst,9.196
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",20.0,53.8,15.4,10.8,0.0,,25-3011.00,4,08/2018,Analyst,9.2
51-6093.00,Upholsterers,16.1,53.6,16.1,12.5,1.8,Incumbent,51-6093.00,2,07/2016,Analyst,9.1745
25-1042.00,"Biological Science Teachers, Postsecondary",23.7,53.5,19.3,3.5,0.0,Incumbent,25-1042.00,5,08/2019,Analyst,9.1125
29-2031.00,Cardiovascular Technologists and Technicians,25.2,53.4,14.6,5.8,1.0,Incumbent,29-2031.00,3,07/2014,Analyst,9.107
11-9041.00,Architectural and Engineering Managers,21.7,53.3,20.0,5.0,0.0,Incumbent,11-9041.00,5,08/2020,Analyst,9.086
53-1041.00,Aircraft Cargo Handling Supervisors,31.7,53.3,15.0,0.0,0.0,Incumbent,53-1041.00,2,07/2016,Analyst,9.061
53-5031.00,Ship Engineers,19.1,53.2,21.3,6.4,0.0,Incumbent,53-5031.00,3,08/2024,Analyst,9.076
31-9093.00,Medical Equipment Preparers,25.3,53.2,15.2,6.3,0.0,Incumbent,31-9093.00,2,07/2014,Analyst,9.0755
19-3034.00,School Psychologists,29.0,53.2,16.1,1.6,0.0,Incumbent,19-3034.00,5,08/2019,Analyst,9.052
