task,task_normalized,pct,occ_group_code,title,task_id,task_type,n_responding,date,domain_source,soc_group_code,soc_title,n_occurrences,n_occurrences_soc,pct_occ_weighted,pct_occ_norm,area_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly,freq_mean,freq_lower,freq_upper,importance,importance_lower,importance_upper,relevance,relevance_lower,relevance_upper
Formulate or implement sustainability campaign or marketing strategies.,formulate or implement sustainability campaign or marketing strategy,0.0037784523980143,11-1011,Chief Sustainability Officers,15375.0,Core,26.0,07/2013,Occupational Expert,11,Management Occupations,1.0,1.0,0.0031074569322541816,0.0037967358545404513,U.S.,211850.0,1.2,126.41,262930,0.9,35.44,60.61,99.24,,,73710,126080,206420,,,,,0.3375715384615385,0.0,0.0,3.74,,,100.0,,
"Research environmental sustainability issues, concerns, or stakeholder interests.",research environmental sustainability issue concern or stakeholder interest,0.0027361207020103,11-1011,Chief Sustainability Officers,15376.0,Core,26.0,07/2013,Occupational Expert,11,Management Occupations,1.0,1.0,0.0022502274337012585,0.002749360446391306,U.S.,211850.0,1.2,126.41,262930,0.9,35.44,60.61,99.24,,,73710,126080,206420,,,,,0.4857965384615385,0.0,0.0,3.74,,,100.0,,
"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",review financial statement sale or activity report or other performance datum to measure productivity or goal achievement or to identify area need cost reduction or program improvement,0.1078813305364099,11-1021,General and Operations Managers,20699.0,Core,157.0,07/2015,Incumbent,11,Management Occupations,1.0,1.0,0.08872325310022416,0.10840335474343243,U.S.,3584420.0,0.4,64,133120,0.4,22.8,32.29,49.5,78.91,,47420,67160,102950,164130,,,,0.7717453846153847,0.38545992307692306,1.62867985,4.18,3.8551,4.5023,97.14,83.7197,99.5562
Plan store layouts or design displays.,plan store layout or design display,0.0045602011700173,11-1021,General and Operations Managers,949.0,Supplemental,158.0,07/2015,Incumbent,11,Management Occupations,1.0,1.0,0.003750379056168874,0.004582267410652311,U.S.,3584420.0,0.4,64,133120,0.4,22.8,32.29,49.5,78.91,,47420,67160,102950,164130,,,,0.32977153846153845,0.08496739615384616,1.1137809038461537,2.92,2.5382,3.3112,51.62,32.6373,70.1441
Set prices or credit terms for goods or services based on forecasts of customer demand.,set price or credit term for good or service base on forecast of customer demand,0.0087295279540331,11-1021,General and Operations Managers,20707.0,Supplemental,158.0,07/2015,Incumbent,11,Management Occupations,1.0,1.0,0.007179297050380401,0.00877176904324869,U.S.,3584420.0,0.4,64,133120,0.4,22.8,32.29,49.5,78.91,,47420,67160,102950,164130,,,,1.4877734615384615,0.4116182269230769,4.600134115384615,4.01,3.6743,4.3515,49.24,30.8784,67.8104
"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",develop or implement product marketing strategy include advertising campaign or sale promotion,0.0031269950880118,11-1021,General and Operations Managers,945.0,Supplemental,158.0,07/2015,Incumbent,11,Management Occupations,1.0,1.0,0.002571688495658605,0.0031421262244472354,U.S.,3584420.0,0.4,64,133120,0.4,22.8,32.29,49.5,78.91,,47420,67160,102950,164130,,,,0.3697842307692308,0.08566625769230769,1.5002456615384616,3.57,3.0941,4.0377,51.98,32.4315,70.9436
"Determine campaign strategies for media advertising, positions on issues, and public appearances.",determine campaign strategy for medium advertising position on issue and public appearance,0.0065145731000247,11-1031,Legislators,15288.0,,,06/2006,Analyst,11,Management Occupations,1.0,1.0,0.0053576843659555225,0.006546096300931858,U.S.,26510.0,3.9,,67390,1.6,,,,,,20380,29120,44810,80350,137820,True,,,,,,,,,,
"Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.",prepare draft of amendment government policy law rule regulation budget program and procedure,0.0062539901760237,11-1031,Legislators,15277.0,,,06/2006,Analyst,11,Management Occupations,1.0,1.0,0.005143376991317292,0.006284252448894571,U.S.,26510.0,3.9,,67390,1.6,,,,,,20380,29120,44810,80350,137820,True,,,,,,,,,,
"Evaluate the structure, efficiency, activities, and performance of government agencies.",evaluate the structure efficiency activity and performance of government agency,0.0035178694740133,11-1031,Legislators,15291.0,,,06/2006,Analyst,11,Management Occupations,1.0,1.0,0.0028931495576159506,0.0035348920025031648,U.S.,26510.0,3.9,,67390,1.6,,,,,,20380,29120,44810,80350,137820,True,,,,,,,,,,
"Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.",represent their party in negotiation with political executive or member of other party and when speak with the medium,0.0045602011700173,11-1031,Legislators,15279.0,,,06/2006,Analyst,11,Management Occupations,1.0,1.0,0.003750379056168874,0.004582267410652311,U.S.,26510.0,3.9,,67390,1.6,,,,,,20380,29120,44810,80350,137820,True,,,,,,,,,,
Confer with colleagues to formulate positions and strategies pertaining to pending issues.,confer with colleague to formulate position and strategy pertain to pende issue,0.0054722414040207,11-1031,Legislators,15269.0,,,06/2006,Analyst,11,Management Occupations,1.0,1.0,0.0045004548674025995,0.005498720892782712,U.S.,26510.0,3.9,,67390,1.6,,,,,,20380,29120,44810,80350,137820,True,,,,,,,,,,
"Represent their government at local, national, and international meetings and conferences.",represent their government at local national and international meeting and conference,0.0050813670180193,11-1031,Legislators,15295.0,,,06/2006,Analyst,11,Management Occupations,1.0,1.0,0.004178993805445335,0.005105955114726883,U.S.,26510.0,3.9,,67390,1.6,,,,,,20380,29120,44810,80350,137820,True,,,,,,,,,,
"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",confer with department head or staff to discuss topic such as contract selection of advertising medium or product to be advertise,0.0020846633920079,11-2011,Advertising and Promotions Managers,3231.0,Core,62.0,06/2010,Incumbent,11,Management Occupations,1.0,1.0,0.001714458997105764,0.0020947508162981908,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,1.5732346153846155,0.7717242384615386,3.317429942307692,3.9,3.67,4.1203,97.19,90.6903,99.1901
Confer with clients to provide marketing or technical advice.,confer with client to provide marketing or technical advice,0.0039087438600148,11-2011,Advertising and Promotions Managers,3232.0,Core,61.0,06/2010,Incumbent,11,Management Occupations,1.0,1.0,0.003214610619573297,0.003927657780559094,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,,,,,,,,,
"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",read trade journal and professional literature to stay informed on trend innovation and change that affect medium planning,0.0024755377780094,11-2011,Advertising and Promotions Managers,3234.0,Core,62.0,06/2010,Incumbent,11,Management Occupations,1.0,1.0,0.00203592005906311,0.0024875165943541197,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,0.4956346153846154,0.2750963615384615,0.9499705923076924,3.25,2.985,3.5126,86.55,74.883,93.2835
"Inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.",inspect layout and advertising copy and edit script audio and video tape and other promotional material for adherence to specification,0.0101627340360386,11-2011,Advertising and Promotions Managers,3226.0,Core,62.0,06/2010,Incumbent,11,Management Occupations,1.0,1.0,0.00835798761089067,0.010211910229453766,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,,,,,,,,,
Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,monitor and analyze sale promotion result to determine cost effectiveness of promotion campaign,0.0577191176662193,11-2011,Advertising and Promotions Managers,3233.0,Supplemental,61.0,06/2010,Incumbent,11,Management Occupations,1.0,1.0,0.04746908348236631,0.05799841322625672,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,0.5486730769230769,0.21838921538461536,1.9443156423076924,3.59,3.3745,3.8035,77.04,61.9954,87.3464
Contact organizations to explain services and facilities offered.,contact organization to explain service and facility offer,0.0050813670180193,11-2011,Advertising and Promotions Managers,3243.0,Supplemental,61.0,06/2010,Incumbent,11,Management Occupations,1.0,1.0,0.004178993805445335,0.005105955114726883,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,0.8547223076923076,0.37088124999999994,2.485129688461538,3.61,3.3279,3.8902,79.02,68.6646,86.6159
"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support and action, to further campaign goals.",assemble and communicate with a strong diverse coalition of organization or public figure secure their cooperation support and action to further campaign goal,0.0020846633920079,11-2011,Advertising and Promotions Managers,3240.0,Supplemental,62.0,06/2010,Incumbent,11,Management Occupations,1.0,1.0,0.001714458997105764,0.0020947508162981908,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,0.4887926923076923,0.22126049615384616,1.1190137576923078,3.61,3.3381,3.8861,62.26,50.3859,72.8229
Gather and organize information to plan advertising campaigns.,gather and organize information to plan advertising campaign,0.0114656486560435,11-2011,Advertising and Promotions Managers,3230.0,Core,62.0,06/2010,Incumbent,11,Management Occupations,1.0,1.0,0.009429524484081742,0.011521129489640096,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,,,,,,,,,
Plan and execute advertising policies and strategies for organizations.,plan and execute advertising policy and strategy for organization,0.0093809852640356,11-2011,Advertising and Promotions Managers,3238.0,Core,62.0,06/2010,Incumbent,11,Management Occupations,1.0,1.0,0.007715065486975979,0.009426378673341907,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,1.2111876923076923,0.4686492769230769,3.36552165,3.81,3.5557,4.0701,78.17,66.8661,86.4025
"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",plan and prepare advertising and promotional material to increase sale of product or service work with customer company official sale department and advertising agency,0.0829956612943153,11-2011,Advertising and Promotions Managers,3224.0,Core,61.0,06/2010,Incumbent,11,Management Occupations,1.0,1.0,0.06825689882227387,0.0833972668738725,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,1.5242488461538461,0.7103224076923077,3.2414827500000003,4.13,3.89,4.3616,96.37,87.7929,98.9874
Track program budgets and expenses and campaign response rates to evaluate each campaign based on program objectives and industry norms.,track program budget and expense and campaign response rate to evaluate each campaign base on program objective and industry norm,0.0062539901760237,11-2011,Advertising and Promotions Managers,3239.0,Supplemental,61.0,06/2010,Incumbent,11,Management Occupations,1.0,1.0,0.005143376991317292,0.006284252448894571,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,,,,,,,,,
"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of green products and technologies.",develop communication material advertisement presentation or public relation initiative to promote awareness of green product and technology,0.0314002423421193,11-2011,Green Marketers,19938.0,,,07/2011,Analyst,11,Management Occupations,1.0,1.0,0.02582403864390582,0.031552184170491805,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,,,,,,,,,
"Analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.",analyze regional energy market include energy pricing market structure energy generation competition and energy transmission constraint,0.0088598194160336,11-2011,Green Marketers,15401.0,,,07/2011,Analyst,11,Management Occupations,1.0,1.0,0.007286450737699516,0.008902690969267334,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,,,,,,,,,
"Revise existing marketing plans or campaigns for green products, technologies, or services.",Revise exist marketing plan or campaign for green product technology or service,0.0069054474860262,11-2011,Green Marketers,19936.0,,,07/2011,Analyst,11,Management Occupations,1.0,1.0,0.0056791454279128675,0.006938862078987786,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,,,,,,,,,
Generate or identify sales leads for green products and technologies.,generate or identify sale lead for green product and technology,0.0022149548540084,11-2011,Green Marketers,19934.0,,,07/2011,Analyst,11,Management Occupations,1.0,1.0,0.001821612684424879,0.0022256727423168336,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,,,,,,,,,
"Write marketing content for green product web sites, brochures, or other communication media.",write marketing content for green product web site brochure or other communication medium,0.0027361207020103,11-2011,Green Marketers,19935.0,,,07/2011,Analyst,11,Management Occupations,1.0,1.0,0.0022502274337012585,0.002749360446391306,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,,,,,,,,,
"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",devise or evaluate method and procedure for collect datum such as survey opinion poll and questionnaire,0.0205860509960782,11-2011,Green Marketers,15389.0,,,07/2011,Analyst,11,Management Occupations,1.0,1.0,0.016930282596419575,0.02068566431094482,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,,,,,,,,,
Analyze green product marketing or sales trends to forecast future conditions.,analyze green product marketing or sale trend to forecast future condition,0.0024755377780094,11-2011,Green Marketers,19941.0,,,07/2011,Analyst,11,Management Occupations,1.0,1.0,0.00203592005906311,0.0024875165943541197,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,,,,,,,,,
Analyze the effectiveness of marketing tactics or channels.,analyze the effectiveness of marketing tactic or channel,0.0285338301781084,11-2011,Green Marketers,15400.0,,,07/2011,Analyst,11,Management Occupations,1.0,1.0,0.023466657522885362,0.02867190179808175,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,,,,,,,,,
Coordinate with other marketing team members and workers such as graphic artists to develop and implement marketing programs.,coordinate with other marketing team member and worker such as graphic artist to develop and implement marketing program,0.0033875780120128,11-2011,Green Marketers,19944.0,,,07/2011,Analyst,11,Management Occupations,1.0,1.0,0.0027859958702968353,0.003403970076484522,U.S.,21100.0,4.6,71.76,149270,2.3,30.29,41.34,61.04,85.85,,63000,85990,126960,178570,,,,,,,,,,,,
"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",identify develop or evaluate marketing strategy base on knowledge of establishment objective market characteristic and cost and markup factor,0.0083386535680316,11-2021,Marketing Managers,951.0,Core,117.0,07/2015,Incumbent,11,Management Occupations,1.0,1.0,0.006857835988423056,0.008379003265192763,U.S.,384980.0,0.8,82.46,171520,0.6,39.38,53.47,77.42,101.48,,81900,111210,161030,211080,,,,1.5720896153846153,0.7455290846153846,3.527289680769231,4.3,4.0663,4.527,98.32,93.8163,99.5604
"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",formulate direct or coordinate marketing activity or policy to promote product or service work with advertising or promotion manager,0.0728329272582767,11-2021,Marketing Managers,20709.0,Core,117.0,07/2015,Incumbent,11,Management Occupations,1.0,1.0,0.05989891121138319,0.07318535664441872,U.S.,384980.0,0.8,82.46,171520,0.6,39.38,53.47,77.42,101.48,,81900,111210,161030,211080,,,,2.2904203846153846,1.152502053846154,4.307064603846154,4.24,4.1123,4.3645,98.22,93.4598,99.5318
"Develop pricing strategies, balancing firm objectives and customer satisfaction.",develop pricing strategy balance firm objective and customer satisfaction,0.0058631157900222,11-2021,Marketing Managers,950.0,Core,117.0,07/2015,Incumbent,11,Management Occupations,1.0,1.0,0.004821915929359945,0.005891486670838641,U.S.,384980.0,0.8,82.46,171520,0.6,39.38,53.47,77.42,101.48,,81900,111210,161030,211080,,,,0.4226676923076923,0.1829032,1.1074616461538462,3.87,3.5698,4.1764,71.63,60.6988,80.4973
"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",recommend modification to product packaging production process or other characteristic to improve the environmental soundness or sustainability of product,0.0024755377780094,11-2021,Marketing Managers,19505.0,Supplemental,116.0,07/2015,Incumbent,11,Management Occupations,1.0,1.0,0.00203592005906311,0.0024875165943541197,U.S.,384980.0,0.8,82.46,171520,0.6,39.38,53.47,77.42,101.48,,81900,111210,161030,211080,,,,0.16541,0.07347331923076923,0.40013742692307697,3.12,2.7573,3.4869,48.28,36.6152,60.1263
"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",Advise business or other group on local national or international factor affect the buying or selling of product or service,0.0151138095920574,11-2021,Marketing Managers,962.0,Supplemental,113.0,07/2015,Incumbent,11,Management Occupations,1.0,1.0,0.012429827729016891,0.015186943418162006,U.S.,384980.0,0.8,82.46,171520,0.6,39.38,53.47,77.42,101.48,,81900,111210,161030,211080,,,,0.27646846153846155,0.09703226538461539,1.0270343192307692,3.06,2.6178,3.5056,66.15,56.3858,74.7158
"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",evaluate the financial aspect of product development such as budget expenditure research and development appropriation or return on investment and profit loss projection,0.0052116584800198,11-2021,Marketing Managers,952.0,Core,116.0,07/2015,Incumbent,11,Management Occupations,1.0,1.0,0.0042861474927644505,0.005236877040745526,U.S.,384980.0,0.8,82.46,171520,0.6,39.38,53.47,77.42,101.48,,81900,111210,161030,211080,,,,0.6194011538461538,0.2425809076923077,1.7346697846153845,3.99,3.7297,4.2569,81.95,72.0658,88.8785
"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",confer with legal staff to resolve problem such as copyright infringement or royalty sharing with outside producer or distributor,0.0065145731000247,11-2021,Marketing Managers,960.0,Core,115.0,07/2015,Incumbent,11,Management Occupations,1.0,1.0,0.0053576843659555225,0.006546096300931858,U.S.,384980.0,0.8,82.46,171520,0.6,39.38,53.47,77.42,101.48,,81900,111210,161030,211080,,,,0.08650961538461538,0.03010346923076923,0.22848371538461537,3.14,2.8986,3.3747,67.35,56.2636,76.7913
"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",use sale forecasting or strategic planning to ensure the sale and profitability of product line or service analyze business development and monitor market trend,0.0056025328660212,11-2021,Marketing Managers,958.0,Core,116.0,07/2015,Incumbent,11,Management Occupations,1.0,1.0,0.004607608554721715,0.0056296428188013555,U.S.,384980.0,0.8,82.46,171520,0.6,39.38,53.47,77.42,101.48,,81900,111210,161030,211080,,,,0.4814230769230769,0.18079005384615385,1.5524315076923076,3.56,3.3317,3.7846,87.23,75.4244,93.8281
"Integrate environmental information into product or company marketing strategies, policies, or activities.",integrate environmental information into product or company marketing strategy policy or activity,0.0045602011700173,11-2021,Marketing Managers,19504.0,Supplemental,116.0,07/2015,Incumbent,11,Management Occupations,1.0,1.0,0.003750379056168874,0.004582267410652311,U.S.,384980.0,0.8,82.46,171520,0.6,39.38,53.47,77.42,101.48,,81900,111210,161030,211080,,,,0.1074,0.030788350000000003,0.3921606307692308,2.59,2.0925,3.0847,46.94,33.2374,61.1204
Initiate market research studies or analyze their findings.,initiate market research study or analyze their finding,0.0035178694740133,11-2021,Marketing Managers,963.0,Core,116.0,07/2015,Incumbent,11,Management Occupations,1.0,1.0,0.0028931495576159506,0.0035348920025031648,U.S.,384980.0,0.8,82.46,171520,0.6,39.38,53.47,77.42,101.48,,81900,111210,161030,211080,,,,0.3218734615384615,0.11078775,1.0463251576923076,3.4,3.2063,3.5998,88.47,79.2492,93.9126
Determine price schedules and discount rates.,determine price schedule and discount rate,0.0076871962580292,11-2022,Sales Managers,4.0,Core,21.0,06/2008,Occupational Expert,11,Management Occupations,1.0,1.0,0.00632206755182756,0.007724393635099646,U.S.,603710.0,0.8,77.37,160930,0.5,32.17,46.11,66.38,96.87,,66910,95910,138060,201490,,,,0.4409696153846153,0.0,0.0,3.61,,,100.0,,
Resolve customer complaints regarding sales and service.,resolve customer complaint regard sale and service,0.0149835181300569,11-2022,Sales Managers,1.0,Core,21.0,06/2008,Occupational Expert,11,Management Occupations,1.0,1.0,0.012322674041697776,0.015056021492143364,U.S.,603710.0,0.8,77.37,160930,0.5,32.17,46.11,66.38,96.87,,66910,95910,138060,201490,,,,0.6126284615384615,0.0,0.0,4.09,,,100.0,,
Review operational records and reports to project sales and determine profitability.,review operational record and report to project sale and determine profitability,0.0048207840940183,11-2022,Sales Managers,5.0,Core,21.0,06/2008,Occupational Expert,11,Management Occupations,1.0,1.0,0.003964686430807105,0.0048441112626895965,U.S.,603710.0,0.8,77.37,160930,0.5,32.17,46.11,66.38,96.87,,66910,95910,138060,201490,,,,0.5340815384615385,0.0,0.0,3.95,,,95.65,,
"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate or other subjects of sale.",direct and coordinate activity involve sale of manufacture product service commodity real estate or other subject of sale,0.0019543719300074,11-2022,Sales Managers,3.0,Supplemental,21.0,06/2008,Occupational Expert,11,Management Occupations,1.0,1.0,0.0016073053097866484,0.001963828890279547,U.S.,603710.0,0.8,77.37,160930,0.5,32.17,46.11,66.38,96.87,,66910,95910,138060,201490,,,,3.4070615384615386,0.0,0.0,4.22,,,100.0,,
