task,task_normalized,pct,occ_group_code,title,task_id,task_type,n_responding,date,domain_source,soc_group_code,soc_title,n_occurrences,n_occurrences_soc,pct_occ_weighted,pct_occ_norm,area_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly,freq_mean,freq_lower,freq_upper,importance,importance_lower,importance_upper,relevance,relevance_lower,relevance_upper,imputed
"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",confer with board member organization official or staff member to discuss issue coordinate activity or resolve problem,0.0217586741540826,11-1011,Chief Executives,8824.0,Core,87.0,07/2014,Incumbent,11.0,Management Occupations,1.0,1.0,0.0178946657822915,0.0218639616451125,U.S.,211850.0,1.2,126.41,262930.0,0.9,35.44,60.61,99.24,,,73710.0,126080.0,206420.0,,,,,0.7521392307692307,0.3129324038461538,2.0115060423076923,4.32,4.1057,4.5318,81.71,61.0491,92.7151,False
Review reports submitted by staff members to recommend approval or to suggest changes.,Review report submit by staff member to recommend approval or to suggest change,0.0023452463160089,11-1011,Chief Executives,8830.0,Core,87.0,07/2014,Incumbent,11.0,Management Occupations,1.0,1.0,0.0019287663717439,0.0023565946683354,U.S.,211850.0,1.2,126.41,262930.0,0.9,35.44,60.61,99.24,,,73710.0,126080.0,206420.0,,,,,1.11087,0.4818373423076923,2.6914643230769237,4.07,3.8261,4.3049,96.42,86.6452,99.1118,False
Formulate or implement sustainability campaign or marketing strategies.,formulate or implement sustainability campaign or marketing strategy,0.0037784523980143,11-1011,Chief Sustainability Officers,15375.0,Core,26.0,07/2013,Occupational Expert,11.0,Management Occupations,1.0,1.0,0.0031074569322541,0.0037967358545404,U.S.,211850.0,1.2,126.41,262930.0,0.9,35.44,60.61,99.24,,,73710.0,126080.0,206420.0,,,,,0.3375715384615385,0.0,0.0,3.74,,,100.0,,,False
"Research environmental sustainability issues, concerns, or stakeholder interests.",research environmental sustainability issue concern or stakeholder interest,0.0027361207020103,11-1011,Chief Sustainability Officers,15376.0,Core,26.0,07/2013,Occupational Expert,11.0,Management Occupations,1.0,1.0,0.0022502274337012,0.0027493604463913,U.S.,211850.0,1.2,126.41,262930.0,0.9,35.44,60.61,99.24,,,73710.0,126080.0,206420.0,,,,,0.4857965384615385,0.0,0.0,3.74,,,100.0,,,False
"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",review financial statement sale or activity report or other performance datum to measure productivity or goal achievement or to identify area need cost reduction or program improvement,0.1078813305364099,11-1021,General and Operations Managers,20699.0,Core,157.0,07/2015,Incumbent,11.0,Management Occupations,1.0,1.0,0.0887232531002241,0.1084033547434324,U.S.,3584420.0,0.4,64.0,133120.0,0.4,22.8,32.29,49.5,78.91,,47420.0,67160.0,102950.0,164130.0,,,,0.7717453846153847,0.385459923076923,1.62867985,4.18,3.8551,4.5023,97.14,83.7197,99.5562,False
Plan store layouts or design displays.,plan store layout or design display,0.0045602011700173,11-1021,General and Operations Managers,949.0,Supplemental,158.0,07/2015,Incumbent,11.0,Management Occupations,1.0,1.0,0.0037503790561688,0.0045822674106523,U.S.,3584420.0,0.4,64.0,133120.0,0.4,22.8,32.29,49.5,78.91,,47420.0,67160.0,102950.0,164130.0,,,,0.3297715384615384,0.0849673961538461,1.1137809038461537,2.92,2.5382,3.3112,51.62,32.6373,70.1441,False
Set prices or credit terms for goods or services based on forecasts of customer demand.,set price or credit term for good or service base on forecast of customer demand,0.0087295279540331,11-1021,General and Operations Managers,20707.0,Supplemental,158.0,07/2015,Incumbent,11.0,Management Occupations,1.0,1.0,0.0071792970503804,0.0087717690432486,U.S.,3584420.0,0.4,64.0,133120.0,0.4,22.8,32.29,49.5,78.91,,47420.0,67160.0,102950.0,164130.0,,,,1.4877734615384617,0.4116182269230769,4.600134115384615,4.01,3.6743,4.3515,49.24,30.8784,67.8104,False
"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",develop or implement product marketing strategy include advertising campaign or sale promotion,0.0031269950880118,11-1021,General and Operations Managers,945.0,Supplemental,158.0,07/2015,Incumbent,11.0,Management Occupations,1.0,1.0,0.0025716884956586,0.0031421262244472,U.S.,3584420.0,0.4,64.0,133120.0,0.4,22.8,32.29,49.5,78.91,,47420.0,67160.0,102950.0,164130.0,,,,0.3697842307692308,0.0856662576923076,1.5002456615384616,3.57,3.0941,4.0377,51.98,32.4315,70.9436,False
"Determine campaign strategies for media advertising, positions on issues, and public appearances.",determine campaign strategy for medium advertising position on issue and public appearance,0.0065145731000247,11-1031,Legislators,15288.0,,,06/2006,Analyst,11.0,Management Occupations,1.0,1.0,0.0053576843659555,0.0065460963009318,U.S.,26510.0,3.9,,67390.0,1.6,,,,,,20380.0,29120.0,44810.0,80350.0,137820.0,True,,0.8803681801125703,,,3.9306097560975606,,,84.66947154471544,,,True
"Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.",prepare draft of amendment government policy law rule regulation budget program and procedure,0.0062539901760237,11-1031,Legislators,15277.0,,,06/2006,Analyst,11.0,Management Occupations,1.0,1.0,0.0051433769913172,0.0062842524488945,U.S.,26510.0,3.9,,67390.0,1.6,,,,,,20380.0,29120.0,44810.0,80350.0,137820.0,True,,0.8803681801125703,,,3.9306097560975606,,,84.66947154471544,,,True
"Evaluate the structure, efficiency, activities, and performance of government agencies.",evaluate the structure efficiency activity and performance of government agency,0.0035178694740133,11-1031,Legislators,15291.0,,,06/2006,Analyst,11.0,Management Occupations,1.0,1.0,0.0028931495576159,0.0035348920025031,U.S.,26510.0,3.9,,67390.0,1.6,,,,,,20380.0,29120.0,44810.0,80350.0,137820.0,True,,0.8803681801125703,,,3.9306097560975606,,,84.66947154471544,,,True
"Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.",represent their party in negotiation with political executive or member of other party and when speak with the medium,0.0045602011700173,11-1031,Legislators,15279.0,,,06/2006,Analyst,11.0,Management Occupations,1.0,1.0,0.0037503790561688,0.0045822674106523,U.S.,26510.0,3.9,,67390.0,1.6,,,,,,20380.0,29120.0,44810.0,80350.0,137820.0,True,,0.8803681801125703,,,3.9306097560975606,,,84.66947154471544,,,True
Confer with colleagues to formulate positions and strategies pertaining to pending issues.,confer with colleague to formulate position and strategy pertain to pende issue,0.0054722414040207,11-1031,Legislators,15269.0,,,06/2006,Analyst,11.0,Management Occupations,1.0,1.0,0.0045004548674025,0.0054987208927827,U.S.,26510.0,3.9,,67390.0,1.6,,,,,,20380.0,29120.0,44810.0,80350.0,137820.0,True,,0.8803681801125703,,,3.9306097560975606,,,84.66947154471544,,,True
"Represent their government at local, national, and international meetings and conferences.",represent their government at local national and international meeting and conference,0.0050813670180193,11-1031,Legislators,15295.0,,,06/2006,Analyst,11.0,Management Occupations,1.0,1.0,0.0041789938054453,0.0051059551147268,U.S.,26510.0,3.9,,67390.0,1.6,,,,,,20380.0,29120.0,44810.0,80350.0,137820.0,True,,0.8803681801125703,,,3.9306097560975606,,,84.66947154471544,,,True
"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",confer with department head or staff to discuss topic such as contract selection of advertising medium or product to be advertise,0.0020846633920079,11-2011,Advertising and Promotions Managers,3231.0,Core,62.0,06/2010,Incumbent,11.0,Management Occupations,1.0,1.0,0.0017144589971057,0.0020947508162981,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,1.5732346153846155,0.7717242384615386,3.317429942307692,3.9,3.67,4.1203,97.19,90.6903,99.1901,False
Confer with clients to provide marketing or technical advice.,confer with client to provide marketing or technical advice,0.0039087438600148,11-2011,Advertising and Promotions Managers,3232.0,Core,61.0,06/2010,Incumbent,11.0,Management Occupations,1.0,1.0,0.0032146106195732,0.003927657780559,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,0.956641978021978,,,3.6999999999999997,,,82.37142857142858,,,True
"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",read trade journal and professional literature to stay informed on trend innovation and change that affect medium planning,0.0024755377780094,11-2011,Advertising and Promotions Managers,3234.0,Core,62.0,06/2010,Incumbent,11.0,Management Occupations,1.0,1.0,0.0020359200590631,0.0024875165943541,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,0.4956346153846154,0.2750963615384615,0.9499705923076924,3.25,2.985,3.5126,86.55,74.883,93.2835,False
"Inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.",inspect layout and advertising copy and edit script audio and video tape and other promotional material for adherence to specification,0.0101627340360386,11-2011,Advertising and Promotions Managers,3226.0,Core,62.0,06/2010,Incumbent,11.0,Management Occupations,1.0,1.0,0.0083579876108906,0.0102119102294537,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,0.956641978021978,,,3.6999999999999997,,,82.37142857142858,,,True
Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,monitor and analyze sale promotion result to determine cost effectiveness of promotion campaign,0.0577191176662193,11-2011,Advertising and Promotions Managers,3233.0,Supplemental,61.0,06/2010,Incumbent,11.0,Management Occupations,1.0,1.0,0.0474690834823663,0.0579984132262567,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,0.5486730769230769,0.2183892153846153,1.9443156423076924,3.59,3.3745,3.8035,77.04,61.9954,87.3464,False
Contact organizations to explain services and facilities offered.,contact organization to explain service and facility offer,0.0050813670180193,11-2011,Advertising and Promotions Managers,3243.0,Supplemental,61.0,06/2010,Incumbent,11.0,Management Occupations,1.0,1.0,0.0041789938054453,0.0051059551147268,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,0.8547223076923076,0.3708812499999999,2.485129688461538,3.61,3.3279,3.8902,79.02,68.6646,86.6159,False
"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support and action, to further campaign goals.",assemble and communicate with a strong diverse coalition of organization or public figure secure their cooperation support and action to further campaign goal,0.0020846633920079,11-2011,Advertising and Promotions Managers,3240.0,Supplemental,62.0,06/2010,Incumbent,11.0,Management Occupations,1.0,1.0,0.0017144589971057,0.0020947508162981,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,0.4887926923076923,0.2212604961538461,1.1190137576923078,3.61,3.3381,3.8861,62.26,50.3859,72.8229,False
Gather and organize information to plan advertising campaigns.,gather and organize information to plan advertising campaign,0.0114656486560435,11-2011,Advertising and Promotions Managers,3230.0,Core,62.0,06/2010,Incumbent,11.0,Management Occupations,1.0,1.0,0.0094295244840817,0.01152112948964,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,0.956641978021978,,,3.6999999999999997,,,82.37142857142858,,,True
Plan and execute advertising policies and strategies for organizations.,plan and execute advertising policy and strategy for organization,0.0093809852640356,11-2011,Advertising and Promotions Managers,3238.0,Core,62.0,06/2010,Incumbent,11.0,Management Occupations,1.0,1.0,0.0077150654869759,0.0094263786733419,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,1.2111876923076923,0.4686492769230769,3.36552165,3.81,3.5557,4.0701,78.17,66.8661,86.4025,False
"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",plan and prepare advertising and promotional material to increase sale of product or service work with customer company official sale department and advertising agency,0.0829956612943153,11-2011,Advertising and Promotions Managers,3224.0,Core,61.0,06/2010,Incumbent,11.0,Management Occupations,1.0,1.0,0.0682568988222738,0.0833972668738725,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,1.524248846153846,0.7103224076923077,3.2414827500000003,4.13,3.89,4.3616,96.37,87.7929,98.9874,False
Track program budgets and expenses and campaign response rates to evaluate each campaign based on program objectives and industry norms.,track program budget and expense and campaign response rate to evaluate each campaign base on program objective and industry norm,0.0062539901760237,11-2011,Advertising and Promotions Managers,3239.0,Supplemental,61.0,06/2010,Incumbent,11.0,Management Occupations,1.0,1.0,0.0051433769913172,0.0062842524488945,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,0.956641978021978,,,3.6999999999999997,,,82.37142857142858,,,True
"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of green products and technologies.",develop communication material advertisement presentation or public relation initiative to promote awareness of green product and technology,0.0314002423421193,11-2011,Green Marketers,19938.0,,,07/2011,Analyst,11.0,Management Occupations,1.0,1.0,0.0258240386439058,0.0315521841704918,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,0.8803681801125703,,,3.9306097560975606,,,84.66947154471544,,,True
"Analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.",analyze regional energy market include energy pricing market structure energy generation competition and energy transmission constraint,0.0088598194160336,11-2011,Green Marketers,15401.0,,,07/2011,Analyst,11.0,Management Occupations,1.0,1.0,0.0072864507376995,0.0089026909692673,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,0.8803681801125703,,,3.9306097560975606,,,84.66947154471544,,,True
"Revise existing marketing plans or campaigns for green products, technologies, or services.",Revise exist marketing plan or campaign for green product technology or service,0.0069054474860262,11-2011,Green Marketers,19936.0,,,07/2011,Analyst,11.0,Management Occupations,1.0,1.0,0.0056791454279128,0.0069388620789877,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,0.8803681801125703,,,3.9306097560975606,,,84.66947154471544,,,True
Generate or identify sales leads for green products and technologies.,generate or identify sale lead for green product and technology,0.0022149548540084,11-2011,Green Marketers,19934.0,,,07/2011,Analyst,11.0,Management Occupations,1.0,1.0,0.0018216126844248,0.0022256727423168,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,0.8803681801125703,,,3.9306097560975606,,,84.66947154471544,,,True
"Write marketing content for green product web sites, brochures, or other communication media.",write marketing content for green product web site brochure or other communication medium,0.0027361207020103,11-2011,Green Marketers,19935.0,,,07/2011,Analyst,11.0,Management Occupations,1.0,1.0,0.0022502274337012,0.0027493604463913,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,0.8803681801125703,,,3.9306097560975606,,,84.66947154471544,,,True
"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",devise or evaluate method and procedure for collect datum such as survey opinion poll and questionnaire,0.0205860509960782,11-2011,Green Marketers,15389.0,,,07/2011,Analyst,11.0,Management Occupations,1.0,1.0,0.0169302825964195,0.0206856643109448,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,0.8803681801125703,,,3.9306097560975606,,,84.66947154471544,,,True
Analyze green product marketing or sales trends to forecast future conditions.,analyze green product marketing or sale trend to forecast future condition,0.0024755377780094,11-2011,Green Marketers,19941.0,,,07/2011,Analyst,11.0,Management Occupations,1.0,1.0,0.0020359200590631,0.0024875165943541,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,0.8803681801125703,,,3.9306097560975606,,,84.66947154471544,,,True
Analyze the effectiveness of marketing tactics or channels.,analyze the effectiveness of marketing tactic or channel,0.0285338301781084,11-2011,Green Marketers,15400.0,,,07/2011,Analyst,11.0,Management Occupations,1.0,1.0,0.0234666575228853,0.0286719017980817,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,0.8803681801125703,,,3.9306097560975606,,,84.66947154471544,,,True
Coordinate with other marketing team members and workers such as graphic artists to develop and implement marketing programs.,coordinate with other marketing team member and worker such as graphic artist to develop and implement marketing program,0.0033875780120128,11-2011,Green Marketers,19944.0,,,07/2011,Analyst,11.0,Management Occupations,1.0,1.0,0.0027859958702968,0.0034039700764845,U.S.,21100.0,4.6,71.76,149270.0,2.3,30.29,41.34,61.04,85.85,,63000.0,85990.0,126960.0,178570.0,,,,0.8803681801125703,,,3.9306097560975606,,,84.66947154471544,,,True
"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",identify develop or evaluate marketing strategy base on knowledge of establishment objective market characteristic and cost and markup factor,0.0083386535680316,11-2021,Marketing Managers,951.0,Core,117.0,07/2015,Incumbent,11.0,Management Occupations,1.0,1.0,0.006857835988423,0.0083790032651927,U.S.,384980.0,0.8,82.46,171520.0,0.6,39.38,53.47,77.42,101.48,,81900.0,111210.0,161030.0,211080.0,,,,1.5720896153846151,0.7455290846153846,3.527289680769231,4.3,4.0663,4.527,98.32,93.8163,99.5604,False
"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",formulate direct or coordinate marketing activity or policy to promote product or service work with advertising or promotion manager,0.0728329272582767,11-2021,Marketing Managers,20709.0,Core,117.0,07/2015,Incumbent,11.0,Management Occupations,1.0,1.0,0.0598989112113831,0.0731853566444187,U.S.,384980.0,0.8,82.46,171520.0,0.6,39.38,53.47,77.42,101.48,,81900.0,111210.0,161030.0,211080.0,,,,2.290420384615385,1.152502053846154,4.307064603846154,4.24,4.1123,4.3645,98.22,93.4598,99.5318,False
"Develop pricing strategies, balancing firm objectives and customer satisfaction.",develop pricing strategy balance firm objective and customer satisfaction,0.0058631157900222,11-2021,Marketing Managers,950.0,Core,117.0,07/2015,Incumbent,11.0,Management Occupations,1.0,1.0,0.0048219159293599,0.0058914866708386,U.S.,384980.0,0.8,82.46,171520.0,0.6,39.38,53.47,77.42,101.48,,81900.0,111210.0,161030.0,211080.0,,,,0.4226676923076923,0.1829032,1.1074616461538462,3.87,3.5698,4.1764,71.63,60.6988,80.4973,False
"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",recommend modification to product packaging production process or other characteristic to improve the environmental soundness or sustainability of product,0.0024755377780094,11-2021,Marketing Managers,19505.0,Supplemental,116.0,07/2015,Incumbent,11.0,Management Occupations,1.0,1.0,0.0020359200590631,0.0024875165943541,U.S.,384980.0,0.8,82.46,171520.0,0.6,39.38,53.47,77.42,101.48,,81900.0,111210.0,161030.0,211080.0,,,,0.16541,0.0734733192307692,0.4001374269230769,3.12,2.7573,3.4869,48.28,36.6152,60.1263,False
"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",Advise business or other group on local national or international factor affect the buying or selling of product or service,0.0151138095920574,11-2021,Marketing Managers,962.0,Supplemental,113.0,07/2015,Incumbent,11.0,Management Occupations,1.0,1.0,0.0124298277290168,0.015186943418162,U.S.,384980.0,0.8,82.46,171520.0,0.6,39.38,53.47,77.42,101.48,,81900.0,111210.0,161030.0,211080.0,,,,0.2764684615384615,0.0970322653846153,1.0270343192307692,3.06,2.6178,3.5056,66.15,56.3858,74.7158,False
"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",evaluate the financial aspect of product development such as budget expenditure research and development appropriation or return on investment and profit loss projection,0.0052116584800198,11-2021,Marketing Managers,952.0,Core,116.0,07/2015,Incumbent,11.0,Management Occupations,1.0,1.0,0.0042861474927644,0.0052368770407455,U.S.,384980.0,0.8,82.46,171520.0,0.6,39.38,53.47,77.42,101.48,,81900.0,111210.0,161030.0,211080.0,,,,0.6194011538461538,0.2425809076923077,1.7346697846153845,3.99,3.7297,4.2569,81.95,72.0658,88.8785,False
"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",confer with legal staff to resolve problem such as copyright infringement or royalty sharing with outside producer or distributor,0.0065145731000247,11-2021,Marketing Managers,960.0,Core,115.0,07/2015,Incumbent,11.0,Management Occupations,1.0,1.0,0.0053576843659555,0.0065460963009318,U.S.,384980.0,0.8,82.46,171520.0,0.6,39.38,53.47,77.42,101.48,,81900.0,111210.0,161030.0,211080.0,,,,0.0865096153846153,0.0301034692307692,0.2284837153846153,3.14,2.8986,3.3747,67.35,56.2636,76.7913,False
"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",use sale forecasting or strategic planning to ensure the sale and profitability of product line or service analyze business development and monitor market trend,0.0056025328660212,11-2021,Marketing Managers,958.0,Core,116.0,07/2015,Incumbent,11.0,Management Occupations,1.0,1.0,0.0046076085547217,0.0056296428188013,U.S.,384980.0,0.8,82.46,171520.0,0.6,39.38,53.47,77.42,101.48,,81900.0,111210.0,161030.0,211080.0,,,,0.4814230769230769,0.1807900538461538,1.5524315076923076,3.56,3.3317,3.7846,87.23,75.4244,93.8281,False
