,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
14,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,603710,0.8,,,,,77.37,160930,0.5,32.17,46.11,66.38,96.87,#,66910,95910,138060,201490,#,,
15,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2030,Public Relations and Fundraising Managers,broad,112980,1.1,,,,,74.49,154950,0.8,36.96,47.69,63.88,87.54,#,76870,99190,132870,182080,#,,
16,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,76060,1.3,,,,,78.61,163520,1.1,37.92,49.19,66.6,95.19,#,78880,102300,138520,198000,#,,
17,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,36920,1.6,,,,,66.01,137290,0.8,35.43,44.66,59.36,80.01,104.16,73700,92880,123480,166420,216660,,
18,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3000,Operations Specialties Managers,minor,2669000,0.3,,,,,77.21,160590,0.2,37.79,49.54,67.46,93.98,#,78600,103030,140330,195490,#,,
19,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3010,Administrative Services and Facilities Managers,broad,395230,0.5,,,,,58.62,121920,0.3,30.74,39.59,51.39,68.1,90.51,63940,82360,106880,141650,188260,,
20,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,254140,0.7,,,,,60.59,126030,0.4,31.13,40.22,52.11,70.74,96.16,64740,83660,108390,147150,200010,,
21,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,141090,0.7,,,,,55.06,114520,0.4,30.07,38.54,50.33,65.22,83.21,62550,80150,104690,135650,173080,,
22,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3020,Computer and Information Systems Managers,broad,645970,0.6,,,,,90.38,187990,0.3,50.22,64.59,82.31,103.95,#,104450,134350,171200,216220,#,,
23,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,645970,0.6,,,,,90.38,187990,0.3,50.22,64.59,82.31,103.95,#,104450,134350,171200,216220,#,,
24,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3030,Financial Managers,broad,818620,0.7,,,,,86.76,180470,0.3,41.58,56.91,77.74,102.98,#,86490,118360,161700,214210,#,,
25,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,818620,0.7,,,,,86.76,180470,0.3,41.58,56.91,77.74,102.98,#,86490,118360,161700,214210,#,,
26,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3050,Industrial Production Managers,broad,234380,0.6,,,,,62.11,129180,0.3,36.01,45.49,58.39,75.16,94.86,74900,94620,121440,156330,197310,,
27,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,234380,0.6,,,,,62.11,129180,0.3,36.01,45.49,58.39,75.16,94.86,74900,94620,121440,156330,197310,,
28,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3060,Purchasing Managers,broad,81240,0.8,,,,,72.42,150630,0.3,41.1,51.65,67.07,84.36,105.35,85500,107430,139510,175460,219140,,
29,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,81240,0.8,,,,,72.42,150630,0.3,41.1,51.65,67.07,84.36,105.35,85500,107430,139510,175460,219140,,
30,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3070,"Transportation, Storage, and Distribution Managers",broad,213000,0.8,,,,,55.77,116010,0.6,29.42,37.67,49.05,65.41,86.82,61200,78360,102010,136050,180590,,
31,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,213000,0.8,,,,,55.77,116010,0.6,29.42,37.67,49.05,65.41,86.82,61200,78360,102010,136050,180590,,
32,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3110,Compensation and Benefits Managers,broad,20070,2.1,,,,,75.11,156230,1.1,39.26,50.58,67.48,91.78,#,81660,105210,140360,190890,#,,
33,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,20070,2.1,,,,,75.11,156230,1.1,39.26,50.58,67.48,91.78,#,81660,105210,140360,190890,#,,
34,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3120,Human Resources Managers,broad,215520,0.6,,,,,77.15,160480,0.4,40.28,50.76,67.32,91.33,#,83790,105590,140030,189960,#,,
35,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,215520,0.6,,,,,77.15,160480,0.4,40.28,50.76,67.32,91.33,#,83790,105590,140030,189960,#,,
36,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3130,Training and Development Managers,broad,44960,1.7,,,,,67.59,140590,0.6,36.45,46.21,61.1,81.4,105.76,75810,96110,127090,169310,219990,,
37,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,44960,1.7,,,,,67.59,140590,0.6,36.45,46.21,61.1,81.4,105.76,75810,96110,127090,169310,219990,,
38,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9000,Other Management Occupations,minor,3352280,0.3,,,,,58.44,121560,0.4,26.17,36.36,50.01,74.08,98.97,54440,75640,104030,154090,205860,,
39,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,5910,4.2,,,,,46.75,97240,1.8,24.85,32.68,42.3,55.38,75.26,51700,67970,87980,115200,156530,,
40,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,5910,4.2,,,,,46.75,97240,1.8,24.85,32.68,42.3,55.38,75.26,51700,67970,87980,115200,156530,,
41,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9020,Construction Managers,broad,348330,1.0,,,,,57.53,119660,0.4,31.33,40.14,51.43,66.99,85.09,65160,83480,106980,139330,176990,,
42,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,348330,1.0,,,,,57.53,119660,0.4,31.33,40.14,51.43,66.99,85.09,65160,83480,106980,139330,176990,,
43,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9030,Education and Childcare Administrators,broad,621000,0.4,,,,,52.63,109470,0.3,26.86,37.07,48.39,63.07,80.99,55880,77100,100650,131190,168460,,
44,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,71620,1.8,,,,,30.12,62640,1.0,17.82,21.78,27.05,34.95,46.35,37060,45310,56270,72690,96400,,
45,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,319630,0.7,,,,,*,113360,0.4,*,*,*,*,*,72400,83840,104070,132550,165820,True,
46,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,176420,0.3,,,,,59.83,124450,0.3,30.68,38.41,49.98,67.76,102.12,63820,79880,103960,140940,212420,,
47,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,53330,1.9,,,,,47.82,99460,0.9,23.8,31.34,42.81,58.52,75.98,49490,65180,89040,121720,158050,,
48,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9040,Architectural and Engineering Managers,broad,210340,0.8,,,,,84.48,175710,0.5,53.58,64.87,80.64,99.62,#,111450,134930,167740,207210,#,,
49,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,210340,0.8,,,,,84.48,175710,0.5,53.58,64.87,80.64,99.62,#,111450,134930,167740,207210,#,,
50,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9050,Food Service Managers,broad,244230,1.6,,,,,34.79,72370,0.7,20.37,25.52,31.4,39.57,50.68,42380,53090,65310,82300,105420,,
51,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,244230,1.6,,,,,34.79,72370,0.7,20.37,25.52,31.4,39.57,50.68,42380,53090,65310,82300,105420,,
52,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9070,Entertainment and Recreation Managers,broad,41320,1.7,,,,,42.68,88780,0.8,22.15,28.58,37.33,49.47,66.32,46080,59450,77650,102890,137940,,
53,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9071,Gambling Managers,detailed,4620,2.2,,,,,49.27,102480,1.6,24.84,33.74,41.14,57.93,79.43,51670,70190,85580,120490,165220,,
54,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,36700,2.0,,,,,41.86,87060,0.9,21.79,28.07,37.11,48.92,64.75,45320,58380,77180,101750,134680,,
55,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9080,Lodging Managers,broad,41350,2.7,,,,,37.24,77460,1.2,18.99,24.06,32.76,43.59,61.05,39490,50040,68130,90670,126990,,
56,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9081,Lodging Managers,detailed,41350,2.7,,,,,37.24,77460,1.2,18.99,24.06,32.76,43.59,61.05,39490,50040,68130,90670,126990,,
57,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9110,Medical and Health Services Managers,broad,565840,0.5,,,,,66.22,137730,0.4,33.5,42.58,56.71,78.09,105.33,69680,88560,117960,162420,219080,,
58,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9111,Medical and Health Services Managers,detailed,565840,0.5,,,,,66.22,137730,0.4,33.5,42.58,56.71,78.09,105.33,69680,88560,117960,162420,219080,,
59,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9120,Natural Sciences Managers,broad,100870,1.6,,,,,83.41,173500,0.9,38.38,54.86,77.49,103.28,#,79830,114110,161180,214820,#,,
60,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9121,Natural Sciences Managers,detailed,100870,1.6,,,,,83.41,173500,0.9,38.38,54.86,77.49,103.28,#,79830,114110,161180,214820,#,,
61,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9130,Postmasters and Mail Superintendents,broad,13810,0.0,,,,,45.08,93760,0.0,39.15,41.9,44.58,47.88,52.47,81430,87150,92730,99590,109140,,
62,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9131,Postmasters and Mail Superintendents,detailed,13810,0.0,,,,,45.08,93760,0.0,39.15,41.9,44.58,47.88,52.47,81430,87150,92730,99590,109140,,
63,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9140,"Property, Real Estate, and Community Association Managers",broad,296640,1.8,,,,,39.77,82720,3.4,18.92,23.81,32.07,46.04,67.81,39360,49530,66700,95760,141040,,
64,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9141,"Property, Real Estate, and Community Association Managers",detailed,296640,1.8,,,,,39.77,82720,3.4,18.92,23.81,32.07,46.04,67.81,39360,49530,66700,95760,141040,,
65,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9150,Social and Community Service Managers,broad,195490,1.1,,,,,41.39,86100,1.0,24.05,30.01,37.61,48.36,62.41,50020,62420,78240,100600,129820,,
66,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,195490,1.1,,,,,41.39,86100,1.0,24.05,30.01,37.61,48.36,62.41,50020,62420,78240,100600,129820,,
67,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9160,Emergency Management Directors,broad,12570,1.3,,,,,46.97,97700,0.7,24.64,30.99,41.41,57.54,77.12,51260,64470,86130,119690,160420,,
68,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9161,Emergency Management Directors,detailed,12570,1.3,,,,,46.97,97700,0.7,24.64,30.99,41.41,57.54,77.12,51260,64470,86130,119690,160420,,
69,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9170,Personal Service Managers,broad,23610,2.8,,,,,37.97,78970,1.0,19.55,25.04,33.92,45.88,60.07,40670,52070,70560,95420,124950,,
70,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9171,Funeral Home Managers,detailed,13120,1.9,,,,,41.18,85650,1.1,22.03,28.74,36.94,47.75,63.69,45820,59780,76830,99330,132470,,
71,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9179,"Personal Service Managers, All Other",detailed,10490,5.5,,,,,33.95,70620,1.7,17.73,22.92,29.49,39.85,53.43,36880,47670,61340,82890,111130,,
72,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9190,Miscellaneous Managers,broad,630980,0.5,,,,,72.06,149890,0.4,33.11,48.08,65.65,86.15,109.42,68860,100010,136550,179190,227590,,
73,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9199,"Managers, All Other",detailed,630980,0.5,,,,,72.06,149890,0.4,33.11,48.08,65.65,86.15,109.42,68860,100010,136550,179190,227590,,
74,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,10351440,0.2,,,,,45.04,93680,0.4,22.75,29.53,38.9,52.58,72.13,47310,61430,80920,109370,150040,,
75,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1000,Business Operations Specialists,minor,7318320,0.3,,,,,43.76,91020,0.5,22.45,29.18,38.66,52.05,68.82,46690,60690,80410,108270,143140,,
76,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,14220,6.7,,,,,79.62,165600,10.2,23.33,30.34,46.3,81.18,#,48530,63100,96310,168850,#,,
77,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,14220,6.7,,,,,79.62,165600,10.2,23.33,30.34,46.3,81.18,#,48530,63100,96310,168850,#,,
78,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,broad,486900,0.6,,,,,39.29,81720,0.4,22.34,28.21,36.37,47.69,61.31,46460,58670,75650,99190,127520,,
79,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,486900,0.6,,,,,39.29,81720,0.4,22.34,28.21,36.37,47.69,61.31,46460,58670,75650,99190,127520,,
80,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,312810,1.2,,,,,37.85,78720,0.4,23.01,28.95,36.92,46.09,53.54,47860,60220,76790,95860,111360,,
81,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,305020,1.2,,,,,37.87,78770,0.4,22.99,28.89,36.92,46.15,53.92,47810,60100,76790,95990,112150,,
82,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1032,"Insurance Appraisers, Auto Damage",detailed,7790,7.5,,,,,37.04,77050,1.8,27.26,30.9,36.85,41.55,48.94,56690,64280,76650,86430,101800,,
83,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1040,Compliance Officers,broad,397770,0.7,,,,,40.86,84980,0.3,22.22,28.43,37.7,50.39,62.52,46230,59130,78420,104800,130030,,
84,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1041,Compliance Officers,detailed,397770,0.7,,,,,40.86,84980,0.3,22.22,28.43,37.7,50.39,62.52,46230,59130,78420,104800,130030,,
85,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1050,Cost Estimators,broad,219530,1.1,,,,,39.98,83160,0.6,22.27,28.77,37.05,47.9,61.85,46330,59830,77070,99630,128640,,
86,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1051,Cost Estimators,detailed,219530,1.1,,,,,39.98,83160,0.6,22.27,28.77,37.05,47.9,61.85,46330,59830,77070,99630,128640,,
87,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1070,Human Resources Workers,broad,982460,0.5,,,,,38.88,80860,0.3,21.91,27.18,35.68,47.34,61.62,45560,56540,74220,98470,128180,,
88,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,917460,0.6,,,,,38.33,79730,0.3,21.85,26.86,35.05,46.77,60.84,45440,55870,72910,97270,126540,,
89,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1074,Farm Labor Contractors,detailed,410,28.3,,,,,24.96,51910,8.7,14.33,15.8,23.41,28,41.76,29800,32860,48690,58250,86860,,
90,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1075,Labor Relations Specialists,detailed,64590,1.5,,,,,46.7,97130,1.0,23.98,32.54,44.95,59.18,73.77,49880,67670,93500,123090,153440,,
91,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1080,Logisticians and Project Management Specialists,broad,1241800,0.4,,,,,50.1,104210,0.4,27.66,35.7,47.15,62.07,78.21,57540,74260,98070,129100,162670,,
92,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,235640,1.0,,,,,42.12,87600,0.4,23.68,30.25,38.89,50.16,63.51,49260,62920,80880,104330,132110,,
93,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1082,Project Management Specialists,detailed,1006160,0.5,,,,,51.97,108100,0.4,28.77,36.99,48.44,63.3,79.71,59830,76950,100750,131660,165790,,
94,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1110,Management Analysts,broad,893900,1.2,,,,,55.15,114710,3.3,28.71,36.91,48.65,64.01,83.72,59720,76770,101190,133140,174140,,
95,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1111,Management Analysts,detailed,893900,1.2,,,,,55.15,114710,3.3,28.71,36.91,48.65,64.01,83.72,59720,76770,101190,133140,174140,,
96,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1120,"Meeting, Convention, and Event Planners",broad,134670,1.6,,,,,31.29,65090,1.1,17.3,21.93,28.58,37.09,48.71,35990,45610,59440,77150,101310,,
97,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1121,"Meeting, Convention, and Event Planners",detailed,134670,1.6,,,,,31.29,65090,1.1,17.3,21.93,28.58,37.09,48.71,35990,45610,59440,77150,101310,,
98,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1130,Fundraisers,broad,105930,2.0,,,,,35.16,73130,0.7,20.77,25.28,31.97,41,51.42,43200,52590,66490,85280,106960,,
99,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1131,Fundraisers,detailed,105930,2.0,,,,,35.16,73130,0.7,20.77,25.28,31.97,41,51.42,43200,52590,66490,85280,106960,,
100,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,102370,2.7,,,,,39.86,82920,0.7,23.22,28.7,37.03,47.7,61.94,48300,59700,77020,99210,128830,,
101,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,102370,2.7,,,,,39.86,82920,0.7,23.22,28.7,37.03,47.7,61.94,48300,59700,77020,99210,128830,,
102,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1150,Training and Development Specialists,broad,436610,0.8,,,,,35.46,73760,0.5,18.03,23.51,31.66,44.02,57.78,37510,48900,65850,91550,120190,,
103,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1151,Training and Development Specialists,detailed,436610,0.8,,,,,35.46,73760,0.5,18.03,23.51,31.66,44.02,57.78,37510,48900,65850,91550,120190,,
104,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1160,Market Research Analysts and Marketing Specialists,broad,861140,0.7,,,,,41.58,86480,0.4,20.23,27.03,37,50.42,69.52,42070,56220,76950,104870,144610,,
105,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1161,Market Research Analysts and Marketing Specialists,detailed,861140,0.7,,,,,41.58,86480,0.4,20.23,27.03,37,50.42,69.52,42070,56220,76950,104870,144610,,
106,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1190,Miscellaneous Business Operations Specialists,broad,1128200,0.6,,,,,44.41,92380,0.4,22.23,29.24,39.07,52.9,71.07,46230,60820,81270,110030,147830,,
107,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1199,"Business Operations Specialists, All Other",detailed,1128200,0.6,,,,,44.41,92380,0.4,22.23,29.24,39.07,52.9,71.07,46230,60820,81270,110030,147830,,
108,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2000,Financial Specialists,minor,3033120,0.4,,,,,48.12,100090,0.5,23.54,30.31,39.49,54.92,78.02,48960,63030,82140,114220,162290,,
109,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2010,Accountants and Auditors,broad,1448290,0.7,,,,,44.96,93520,0.3,25.38,31.09,39.27,51.18,67.99,52780,64660,81680,106450,141420,,
110,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2011,Accountants and Auditors,detailed,1448290,0.7,,,,,44.96,93520,0.3,25.38,31.09,39.27,51.18,67.99,52780,64660,81680,106450,141420,,
111,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2020,Property Appraisers and Assessors,broad,59070,2.7,,,,,37.1,77160,2.5,18.5,23.71,31.45,43.66,59.02,38480,49310,65420,90810,122760,,
112,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2020,Property Appraisers and Assessors,detailed,59070,2.7,,,,,37.1,77160,2.5,18.5,23.71,31.45,43.66,59.02,38480,49310,65420,90810,122760,,
113,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2030,Budget Analysts,broad,47170,1.1,,,,,45.15,93920,0.5,29.09,34.73,42.27,53.07,64.73,60510,72240,87930,110380,134640,,
114,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2031,Budget Analysts,detailed,47170,1.1,,,,,45.15,93920,0.5,29.09,34.73,42.27,53.07,64.73,60510,72240,87930,110380,134640,,
115,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2040,Credit Analysts,broad,67370,1.7,,,,,47.14,98040,0.8,25.45,30.7,38.93,54.74,81.17,52930,63850,80970,113850,168840,,
116,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2041,Credit Analysts,detailed,67370,1.7,,,,,47.14,98040,0.8,25.45,30.7,38.93,54.74,81.17,52930,63850,80970,113850,168840,,
117,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2050,Financial Analysts and Advisors,broad,775200,0.8,,,,,61.74,128420,1.1,27.82,35.98,48.07,66.02,102.79,57870,74840,99990,137310,213800,,
118,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2051,Financial and Investment Analysts,detailed,340580,1.1,,,,,56.01,116490,0.7,30,37.64,48.73,63.49,86.8,62410,78300,101350,132050,180550,,
119,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2052,Personal Financial Advisors,detailed,270480,1.6,,,,,77.02,160210,2.5,24.03,33.95,49.11,82.95,#,49990,70620,102140,172540,#,,
120,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2053,Insurance Underwriters,detailed,107820,2.4,,,,,43.67,90830,0.8,24.83,30.32,38.4,50.4,66.36,51640,63070,79880,104820,138020,,
121,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2054,Financial Risk Specialists,detailed,56320,1.8,,,,,57.66,119930,0.7,29.94,38.6,50.96,69.72,87.65,62270,80280,106000,145020,182310,,
122,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2060,Financial Examiners,broad,62830,1.8,,,,,49.83,103650,0.6,25.69,32.11,43.46,61.16,82.47,53420,66800,90400,127210,171540,,
