O*NET-SOC Code,Title,Task ID,Task,freq_mean,freq_lower,freq_upper,importance,importance_lower,importance_upper,relevance,relevance_lower,relevance_upper
11-1021.00,General and Operations Managers,20700,Direct administrative activities directly related to making products or providing services.,1.5675292307692308,0.6169050461538461,3.644303692307693,4.01,3.7969,4.2272,85.81,71.3131,93.6356
11-1021.00,General and Operations Managers,20701,Prepare staff work schedules and assign specific duties.,1.620793076923077,0.7332923153846154,3.315773530769231,3.98,3.7761,4.1771,86.29,72.0379,93.8903
11-1021.00,General and Operations Managers,20702,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,0.31059884615384614,0.12588570000000002,0.7896295192307692,3.44,3.1315,3.7527,75.67,59.0345,87.0372
11-1021.00,General and Operations Managers,20703,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",0.4292111538461538,0.1510042423076923,1.309390346153846,3.9,3.6579,4.1397,82.52,68.0175,91.2865
11-1021.00,General and Operations Managers,20704,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",0.46767461538461536,0.19647305384615388,1.0460507115384616,3.74,3.4922,3.9885,88.62,75.8172,95.0856
11-1021.00,General and Operations Managers,20705,"Perform personnel functions, such as selection, training, or evaluation.",0.32721038461538465,0.1258692076923077,0.9695277692307692,3.79,3.5408,4.036,95.77,85.5512,98.8567
11-1021.00,General and Operations Managers,20706,"Plan or direct activities, such as sales promotions, that require coordination with other department managers.",1.158686923076923,0.44620664615384614,2.9084789461538465,3.83,3.4875,4.1677,71.86,49.5793,86.8999
11-1021.00,General and Operations Managers,20707,"Set prices or credit terms for goods or services, based on forecasts of customer demand.",1.2039761538461538,0.3377063,3.6099578153846155,4.01,3.6743,4.3515,49.24,30.8784,67.8104
11-1021.00,General and Operations Managers,20708,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",1.316837692307692,0.4261080230769231,3.799957738461538,4.03,3.7344,4.3294,46.73,30.1443,64.0671
11-2011.00,Advertising and Promotions Managers,3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.,0.10730307692307692,0.03453971153846154,0.48099403076923075,3.67,3.424,3.9124,81.73,70.079,89.5246
11-2011.00,Advertising and Promotions Managers,3224,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",1.13382,0.5331727230769231,2.3950156500000004,4.13,3.89,4.3616,96.37,87.7929,98.9874
11-2011.00,Advertising and Promotions Managers,3226,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",1.026871153846154,0.4603632769230769,2.3410952615384613,4.07,3.8005,4.3407,87.26,78.5187,92.7741
11-2011.00,Advertising and Promotions Managers,3227,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",1.00733,0.5047708076923076,2.4132137384615384,3.84,3.5663,4.1148,78.64,68.3341,86.2623
11-2011.00,Advertising and Promotions Managers,3228,Prepare and negotiate advertising and sales contracts.,0.4730669230769231,0.1417448769230769,1.7988173846153845,3.81,3.4966,4.127,63.17,49.2582,75.1853
11-2011.00,Advertising and Promotions Managers,3229,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",0.6392565384615385,0.24784199230769233,2.1135646153846155,3.55,3.2881,3.8079,78.24,65.5963,87.1525
11-2011.00,Advertising and Promotions Managers,3231,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",1.2944138461538461,0.6633166,2.5929982076923075,3.9,3.67,4.1203,97.19,90.6903,99.1901
11-2011.00,Advertising and Promotions Managers,3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,0.39185423076923076,0.14237605384615384,1.4441385384615384,3.59,3.3745,3.8035,77.04,61.9954,87.3464
11-2011.00,Advertising and Promotions Managers,3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",0.37828,0.2006498846153846,0.7761085692307693,3.25,2.985,3.5126,86.55,74.883,93.2835
11-2011.00,Advertising and Promotions Managers,3235,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,0.6183753846153847,0.2610558576923077,1.319715376923077,3.68,3.3323,4.0243,58.64,47.0659,69.3339
11-2011.00,Advertising and Promotions Managers,3236,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,0.6447838461538462,0.2897014423076923,1.2995461807692306,3.5,3.2502,3.7473,63.96,50.7162,75.3722
11-2011.00,Advertising and Promotions Managers,3237,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",0.863156923076923,0.4182921730769231,2.2779803653846153,3.81,3.5697,4.0545,83.59,73.8116,90.2066
11-2011.00,Advertising and Promotions Managers,3238,Plan and execute advertising policies and strategies for organizations.,0.9385884615384616,0.3750433038461538,2.5203247884615383,3.81,3.5557,4.0701,78.17,66.8661,86.4025
11-2011.00,Advertising and Promotions Managers,3239,"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.",0.3086780769230769,0.13161266153846155,0.7262438961538462,3.54,3.2835,3.7917,69.28,55.6216,80.2312
11-2011.00,Advertising and Promotions Managers,3240,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.",0.3807226923076923,0.1585777423076923,0.9467822538461539,3.61,3.3381,3.8861,62.26,50.3859,72.8229
11-2011.00,Advertising and Promotions Managers,3241,Train and direct workers engaged in developing and producing advertisements.,0.9332046153846153,0.3542265153846154,2.5252445153846153,3.62,3.3006,3.9439,61.21,47.6676,73.2138
11-2011.00,Advertising and Promotions Managers,3242,Coordinate with the media to disseminate advertising.,0.35516269230769226,0.1521410076923077,0.8326794538461539,3.87,3.5962,4.1366,80.19,65.6225,89.5681
11-2011.00,Advertising and Promotions Managers,3243,Contact organizations to explain services and facilities offered.,0.6970246153846154,0.3074653769230769,1.9186436846153847,3.61,3.3279,3.8902,79.02,68.6646,86.6159
11-2011.00,Advertising and Promotions Managers,3244,Direct and coordinate product research and development.,0.37311000000000005,0.09874853076923076,1.704743796153846,3.35,2.9921,3.7077,40.08,27.721,53.8523
11-2011.00,Advertising and Promotions Managers,3245,Represent company at trade association meetings to promote products.,0.07445192307692308,0.019892842307692307,0.3712245192307692,3.43,3.1098,3.7492,65.01,51.1122,76.7544
11-2011.00,Advertising and Promotions Managers,18586,"Manage sales team, including setting goals, providing incentives, and evaluating employee performance.",1.1919176923076922,0.35693708461538465,3.5314091384615387,3.89,3.4764,4.295,41.07,29.3324,53.9247
11-2021.00,Marketing Managers,950,"Develop pricing strategies, balancing firm objectives and customer satisfaction.",0.29495,0.11681215384615384,0.80867355,3.87,3.5698,4.1764,71.63,60.6988,80.4973
11-2021.00,Marketing Managers,951,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",1.255626923076923,0.6326425115384615,2.6620856423076926,4.3,4.0663,4.527,98.32,93.8163,99.5604
11-2021.00,Marketing Managers,952,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",0.5154846153846153,0.19289497307692308,1.4731867230769229,3.99,3.7297,4.2569,81.95,72.0658,88.8785
11-2021.00,Marketing Managers,954,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",0.9803346153846153,0.29787867307692306,3.3326540923076924,3.66,3.4199,3.8971,75.29,63.5451,84.1884
11-2021.00,Marketing Managers,955,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",0.07179730769230769,0.0223812,0.25376543076923075,3.53,3.175,3.8764,72.9,63.7148,80.4749
11-2021.00,Marketing Managers,956,"Consult with product development personnel on product specifications, such as design, color, or packaging.",0.36907153846153845,0.18162841538461538,0.9079866192307692,3.65,3.3358,3.964,74.34,58.568,85.5822
11-2021.00,Marketing Managers,957,Compile lists describing product or service offerings.,0.39873769230769235,0.11567806538461538,1.405484373076923,3.7,3.3784,4.0247,84.1,68.7611,92.7013
11-2021.00,Marketing Managers,958,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",0.3818596153846153,0.1276573423076923,1.3148702346153847,3.56,3.3317,3.7846,87.23,75.4244,93.8281
11-2021.00,Marketing Managers,959,Select products or accessories to be displayed at trade or special production shows.,0.07426038461538462,0.02206621153846154,0.3553610923076923,2.7,2.4004,3.0089,74.62,64.9645,82.3355
11-2021.00,Marketing Managers,960,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",0.03171923076923078,0.010804184615384616,0.08519969230769231,3.14,2.8986,3.3747,67.35,56.2636,76.7913
11-2021.00,Marketing Managers,961,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",0.1987580769230769,0.0734215076923077,0.6179168076923077,3.41,3.1238,3.6975,97.54,87.8235,99.5418
11-2021.00,Marketing Managers,962,"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.17682884615384614,0.05073178076923077,0.7462497,3.06,2.6178,3.5056,66.15,56.3858,74.7158
11-2021.00,Marketing Managers,963,"Initiate market research studies, or analyze their findings.",0.20404884615384616,0.06309540384615385,0.7181766615384615,3.4,3.2063,3.5998,88.47,79.2492,93.9126
11-2021.00,Marketing Managers,964,Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,0.23510884615384614,0.06638036538461538,0.9850389653846154,3.41,2.6669,4.1578,63.56,52.2483,73.5541
11-2021.00,Marketing Managers,965,Conduct economic or commercial surveys to identify potential markets for products or services.,0.10389807692307693,0.02380785,0.5655572884615385,3.17,2.9341,3.4034,63.31,53.4173,72.1884
11-2021.00,Marketing Managers,19502,Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.,0.23510884615384614,0.06638036538461538,0.9850389653846154,3.41,2.6669,4.1578,63.56,52.2483,73.5541
11-2021.00,Marketing Managers,19503,Develop business cases for environmental marketing strategies.,0.05170538461538462,0.015133588461538464,0.2114860076923077,2.68,2.1244,3.2283,36.66,24.3553,50.985
11-2021.00,Marketing Managers,19504,"Integrate environmental information into product or company marketing strategies, policies, or activities.",0.057729615384615386,0.014362826923076924,0.25163705384615387,2.59,2.0925,3.0847,46.94,33.2374,61.1204
11-2021.00,Marketing Managers,19505,"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",0.09588307692307693,0.038810769230769225,0.2746846884615385,3.12,2.7573,3.4869,48.28,36.6152,60.1263
11-2021.00,Marketing Managers,20709,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",1.8431188461538461,0.9556488307692308,3.360140003846154,4.24,4.1123,4.3645,98.22,93.4598,99.5318
11-2022.00,Sales Managers,1,Resolve customer complaints regarding sales and service.,0.4505815384615385,0.0,0.0,4.09,,,100.0,,
11-2022.00,Sales Managers,2,Monitor customer preferences to determine focus of sales efforts.,0.508743076923077,0.0,0.0,3.57,,,95.65,,
11-2022.00,Sales Managers,3,"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate, or other subjects of sale.",2.6733153846153845,0.0,0.0,4.22,,,100.0,,
11-2022.00,Sales Managers,4,Determine price schedules and discount rates.,0.3304538461538461,0.0,0.0,3.61,,,100.0,,
11-2022.00,Sales Managers,5,Review operational records and reports to project sales and determine profitability.,0.41710615384615385,0.0,0.0,3.95,,,95.65,,
11-2022.00,Sales Managers,6,"Direct, coordinate, and review sales and service accounting and record-keeping, as well as receiving and shipping.",0.5248276923076922,0.0,0.0,3.48,,,91.3,,
11-2022.00,Sales Managers,7,Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,0.1125,0.0,0.0,3.25,,,69.57,,
11-2022.00,Sales Managers,8,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,0.3258619230769231,0.0,0.0,3.26,,,82.61,,
11-2022.00,Sales Managers,9,Prepare budgets and approve budget expenditures.,0.21044653846153843,0.0,0.0,3.59,,,100.0,,
11-2022.00,Sales Managers,10,Represent company at trade association meetings to promote products.,0.021797307692307692,0.0,0.0,3.14,,,95.45,,
11-2022.00,Sales Managers,11,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",0.11311153846153846,0.0,0.0,3.5,,,100.0,,
11-2022.00,Sales Managers,12,Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,0.15212153846153847,0.0,0.0,3.44,,,39.13,,
11-2022.00,Sales Managers,13,"Confer with potential customers regarding equipment needs, and advise customers on types of equipment to purchase.",0.8860346153846153,0.0,0.0,4.07,,,65.22,,
11-2022.00,Sales Managers,14,Oversee regional and local sales managers and their staffs.,0.7251923076923077,0.0,0.0,3.7,,,86.96,,
11-2022.00,Sales Managers,15,"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",0.5554776923076923,0.0,0.0,3.38,,,91.3,,
11-2022.00,Sales Managers,16,Direct foreign sales and service outlets of an organization.,0.14086538461538461,0.0,0.0,3.14,,,36.36,,
11-2022.00,Sales Managers,17,"Assess marketing potential of new and existing store locations, considering statistics and expenditures.",0.4835180769230769,0.0,0.0,3.55,,,50.0,,
11-3012.00,Administrative Services Managers,19,"Direct or coordinate the supportive services department of a business, agency, or organization.",1.659666923076923,0.7823370961538462,3.433293653846154,3.92,3.6832,4.1541,63.8,50.0047,75.6462
11-3012.00,Administrative Services Managers,20,Set goals and deadlines for the department.,0.519556923076923,0.24182507307692308,1.3191383538461539,3.7,3.5447,3.8643,92.79,86.2044,96.3604
11-3012.00,Administrative Services Managers,21,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,0.6065869230769232,0.28490420384615384,1.6385966769230769,3.71,3.367,4.0513,77.98,68.1026,85.4515
11-3012.00,Administrative Services Managers,22,"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",0.30772269230769234,0.16816451538461538,0.5707596769230769,3.33,3.1501,3.5132,96.32,92.3723,98.2615
11-3012.00,Administrative Services Managers,23,"Acquire, distribute and store supplies.",0.5420376923076923,0.2777498538461538,1.6045897692307691,3.38,3.1652,3.5878,71.93,59.9727,81.4277
11-3012.00,Administrative Services Managers,24,"Plan, administer, and control budgets for contracts, equipment, and supplies.",0.9914338461538462,0.5309245230769231,1.883108603846154,4.06,3.8534,4.2736,66.15,51.3971,78.3098
11-3012.00,Administrative Services Managers,26,Hire and terminate clerical and administrative personnel.,0.22006076923076923,0.03913610384615385,1.2989645423076923,3.95,3.6695,4.2245,56.26,42.5466,69.081
11-3012.00,Administrative Services Managers,30,Conduct classes to teach procedures to staff.,0.04287384615384615,0.017106238461538463,0.11885402692307691,3.19,2.9783,3.4064,74.75,61.8755,84.38
11-3013.00,Facilities Managers,21272,"Acquire, distribute and store supplies.",0.4544134615384615,0.1896622653846154,1.3521091923076922,3.47,3.2348,3.7005,85.68,70.5505,93.7304
11-3013.00,Facilities Managers,21273,Conduct classes to teach procedures to staff.,0.1481703846153846,0.03475085769230769,0.7985590346153846,3.92,3.5853,4.2601,83.54,64.7045,93.3523
11-3013.00,Facilities Managers,21274,"Dispose of, or oversee the disposal of, surplus or unclaimed property.",0.06823192307692308,0.02911253076923077,0.14986196923076922,3.04,2.7106,3.3644,74.13,62.0006,83.4261
11-3013.00,Facilities Managers,21275,Manage leasing of facility space.,0.3880142307692308,0.06263164615384616,2.137764723076923,3.62,2.8707,4.3715,41.44,27.7152,56.6406
11-3013.00,Facilities Managers,21276,"Monitor the facility to ensure that it remains safe, secure, and well-maintained.",2.0566384615384616,1.1463296384615385,3.5458758,4.55,4.3527,4.7398,100.0,,
11-3013.00,Facilities Managers,21277,"Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations.",0.43042576923076925,0.12329351153846153,1.8388025230769232,4.21,3.9721,4.4403,81.42,66.2698,90.7216
11-3013.00,Facilities Managers,21278,"Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems.",1.9694984615384614,1.0202290076923077,3.570909553846154,4.5,4.3054,4.703,86.32,68.0345,94.9248
11-3013.00,Facilities Managers,21279,"Participate in architectural and engineering planning and design, including space and installation management.",0.42783423076923077,0.1129213076923077,1.6643860615384616,4.04,3.7597,4.3282,75.48,60.6852,85.9906
11-3013.00,Facilities Managers,21280,"Plan, administer, and control budgets for contracts, equipment, and supplies.",0.5817007692307692,0.20509970769230768,1.8144055423076924,4.09,3.8369,4.349,90.25,81.1037,95.2256
