gwa_title,iwa_title,dwa_title,task
Documenting/Recording Information,"Prepare financial documents, reports, or budgets.","Prepare financial documents, reports, or budgets.",Write and distribute financial or environmental impact reports.
Evaluating Information to Determine Compliance with Standards,Assess compliance with environmental standards or regulations.,Evaluate green operations or programs for compliance with standards or regulations.,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws."
Thinking Creatively,Develop business or marketing plans.,Develop marketing plans or strategies for environmental initiatives.,Formulate or implement sustainability campaign or marketing strategies.
Getting Information,Investigate the environmental impact of industrial or development activities.,Identify environmental concerns.,"Research environmental sustainability issues, concerns, or stakeholder interests."
"Judging the Qualities of Objects, Services, or People",Evaluate project feasibility.,Analyze data to determine project feasibility.,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives."
Analyzing Data or Information,"Evaluate designs, specifications, or other technical data.",Evaluate environmental or sustainability projects.,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives."
Documenting/Recording Information,Prepare reports of operational or procedural activities.,Prepare operational progress or status reports.,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups."
Communicating with People Outside the Organization,Provide information or assistance to the public.,Present sustainable products or services information to the public.,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups."
Thinking Creatively,Develop sustainable organizational or business policies or practices.,Develop sustainable organizational policies or practices.,"Develop, or oversee the development of, sustainability evaluation or monitoring systems."
"Guiding, Directing, and Motivating Subordinates",Manage control systems or activities.,Manage control system activities in organizations.,"Develop, or oversee the development of, sustainability evaluation or monitoring systems."
Thinking Creatively,Develop business or marketing plans.,Develop marketing plans or strategies for environmental initiatives.,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events."
"Guiding, Directing, and Motivating Subordinates","Coordinate group, community, or public activities.",Manage outreach activities.,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events."
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop procedures to evaluate organizational activities.,Develop methodologies to assess the viability or success of sustainability initiatives.
"Judging the Qualities of Objects, Services, or People","Evaluate programs, practices, or processes.",Evaluate program effectiveness.,Monitor and evaluate effectiveness of sustainability programs.
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Direct organizational operations, projects, or services.",Direct sustainability program operations to ensure compliance with environmental or governmental regulations.
Making Decisions and Solving Problems,Implement procedures or processes.,Implement organizational process or policy changes.,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design."
Thinking Creatively,Develop sustainable organizational or business policies or practices.,Develop sustainable organizational policies or practices.,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design."
Making Decisions and Solving Problems,Implement procedures or processes.,Implement organizational process or policy changes.,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.",Manage environmental sustainability projects.,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management."
Analyzing Data or Information,Analyze data to improve operations.,Analyze data to inform operational decisions or activities.,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement."
Analyzing Data or Information,Analyze business or financial data.,Analyze financial records to improve efficiency.,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Direct organizational operations, projects, or services.",Direct administrative activities directly related to making products or providing services.
"Guiding, Directing, and Motivating Subordinates",Assign work to others.,Prepare staff schedules or work assignments.,Prepare staff work schedules and assign specific duties.
"Monitoring Processes, Materials, or Surroundings",Monitor individual behavior or performance.,Monitor performance of organizational members or partners.,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.
"Guiding, Directing, and Motivating Subordinates",Manage budgets or finances.,Direct financial operations.,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency."
Making Decisions and Solving Problems,Implement procedures or processes.,Implement organizational process or policy changes.,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members."
Thinking Creatively,Develop organizational or program goals or objectives.,Develop organizational goals or objectives.,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members."
Developing Objectives and Strategies,"Develop organizational policies, systems, or processes.",Develop organizational policies or programs.,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members."
Training and Teaching Others,Train others on operational or work procedures.,Conduct employee training programs.,"Perform personnel functions, such as selection, training, or evaluation."
Staffing Organizational Units,Perform recruiting or hiring activities.,Hire personnel.,"Perform personnel functions, such as selection, training, or evaluation."
Thinking Creatively,Develop business or marketing plans.,Develop marketing plans or strategies.,"Plan or direct activities, such as sales promotions, that require coordination with other department managers."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Direct sales, marketing, or customer service activities.","Plan or direct activities, such as sales promotions, that require coordination with other department managers."
Developing Objectives and Strategies,"Develop organizational policies, systems, or processes.",Determine pricing or monetary policies.,"Set prices or credit terms for goods or services, based on forecasts of customer demand."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Direct organizational operations, projects, or services.","Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Direct sales, marketing, or customer service activities.","Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Direct organizational operations, projects, or services.","Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products."
Communicating with People Outside the Organization,"Provide information to guests, clients, or customers.","Provide basic information to guests, visitors, or clients.","Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory."
Making Decisions and Solving Problems,Implement procedures or processes.,Implement organizational process or policy changes.,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions."
Thinking Creatively,Develop business or marketing plans.,Develop marketing plans or strategies.,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Direct sales, marketing, or customer service activities.","Direct non-merchandising departments of businesses, such as advertising or purchasing."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Direct organizational operations, projects, or services.","Direct non-merchandising departments of businesses, such as advertising or purchasing."
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,Determine resource needs.,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities."
"Guiding, Directing, and Motivating Subordinates",Direct construction or extraction activities.,Manage construction activities.,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities."
Providing Consultation and Advice to Others,Advise others on business or operational matters.,Recommend organizational process or policy changes.,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities."
Thinking Creatively,Design structures or facilities.,Plan facility layouts or designs.,Plan store layouts or design displays.
Analyzing Data or Information,Assess characteristics or impacts of regulations or policies.,Analyze impact of legal or regulatory changes.,Analyze and understand the local and national implications of proposed legislation.
Staffing Organizational Units,Perform recruiting or hiring activities.,Hire personnel.,"Appoint nominees to leadership posts, or approve such appointments."
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about operational plans or activities.,Confer with organizational members to accomplish work activities.,Confer with colleagues to formulate positions and strategies pertaining to pending issues.
Getting Information,Investigate criminal or legal matters.,Conduct hearings to investigate legal issues.,"Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure."
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Maintain knowledge of current developments in area of expertise.,Develop expertise in subject matters related to committee assignments.
Getting Information,Investigate criminal or legal matters.,Conduct hearings to investigate legal issues.,"Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration."
Getting Information,Collect data about consumer needs or opinions.,Gather customer or product information to determine customer needs.,"Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration."
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Maintain knowledge of current developments in area of expertise.,"Keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts."
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Maintain knowledge of current developments in area of expertise.,Maintain knowledge of relevant national and international current events.
Getting Information,Collect data about consumer needs or opinions.,Collect data about customer needs.,"Make decisions that balance the perspectives of private citizens, public officials, and party leaders."
Analyzing Data or Information,Analyze data to improve operations.,Analyze data to inform operational decisions or activities.,"Make decisions that balance the perspectives of private citizens, public officials, and party leaders."
Making Decisions and Solving Problems,Implement procedures or processes.,Implement organizational process or policy changes.,"Make decisions that balance the perspectives of private citizens, public officials, and party leaders."
Making Decisions and Solving Problems,Implement procedures or processes.,Implement design or process improvements.,"Make decisions that balance the perspectives of private citizens, public officials, and party leaders."
"Communicating with Supervisors, Peers, or Subordinates","Coordinate activities with clients, agencies, or organizations.",Coordinate operational activities with external stakeholders.,"Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements."
Developing Objectives and Strategies,Draft legislation or regulations.,Draft legislation or regulations.,"Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures."
Performing for or Working Directly with the Public,Respond to customer problems or inquiries.,Resolve customer complaints or problems.,Read and review concerns of constituents or the general public and determine if governmental action is necessary.
"Communicating with Supervisors, Peers, or Subordinates","Coordinate activities with clients, agencies, or organizations.",Represent the organization in external relations.,"Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media."
Providing Consultation and Advice to Others,Advise others on business or operational matters.,Recommend organizational process or policy changes.,"Review bills in committee, and make recommendations about their future."
Documenting/Recording Information,Prepare proposals or grant applications.,Prepare proposals or grant applications to obtain project funding.,Seek federal funding for local projects and programs.
"Communicating with Supervisors, Peers, or Subordinates","Coordinate activities with clients, agencies, or organizations.",Represent the organization in external relations.,"Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action."
"Guiding, Directing, and Motivating Subordinates",Serve on organizational committees.,Serve on institutional or departmental committees.,"Vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor."
Communicating with People Outside the Organization,Provide information or assistance to the public.,Present information to the public.,"Write, prepare, and deliver statements for the Congressional Record."
Communicating with People Outside the Organization,Provide information or assistance to the public.,Present information to the public.,"Alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings."
Establishing and Maintaining Interpersonal Relationships,Develop professional relationships or networks.,Establish interpersonal business relationships to facilitate work activities.,"Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships."
Processing Information,"Compile records, documentation, or other data.",Compile data or documentation.,"Conduct ""head counts"" to help predict the outcome of upcoming votes."
Thinking Creatively,Develop business or marketing plans.,Develop marketing plans or strategies.,"Determine campaign strategies for media advertising, positions on issues, and public appearances."
Coaching and Developing Others,Provide support or encouragement to others.,Support the professional development of others.,Encourage and support party candidates for political office.
"Guiding, Directing, and Motivating Subordinates",Supervise personnel activities.,Supervise employees.,"Establish personal offices in local districts or states, and manage office staff."
"Judging the Qualities of Objects, Services, or People","Evaluate programs, practices, or processes.",Evaluate program effectiveness.,"Evaluate the structure, efficiency, activities, and performance of government agencies."
"Guiding, Directing, and Motivating Subordinates","Coordinate group, community, or public activities.",Manage outreach activities.,"Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election."
Making Decisions and Solving Problems,Authorize business activities or transactions.,Approve expenditures.,"Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year."
Selling or Influencing Others,"Promote products, services, or programs.","Promote products, services, or programs.",Promote the industries and products of their electoral districts.
"Communicating with Supervisors, Peers, or Subordinates","Coordinate activities with clients, agencies, or organizations.",Represent the organization in external relations.,"Represent their government at local, national, and international meetings and conferences."
Coaching and Developing Others,Provide support or encouragement to others.,Support the professional development of others.,Speak to students to encourage and support the development of future political leaders.
"Judging the Qualities of Objects, Services, or People",Evaluate personnel capabilities or performance.,Evaluate employee performance.,"Manage sales team, including setting goals, providing incentives, and evaluating employee performance."
"Guiding, Directing, and Motivating Subordinates",Supervise personnel activities.,Supervise employees.,"Manage sales team, including setting goals, providing incentives, and evaluating employee performance."
Analyzing Data or Information,Analyze data to improve operations.,Analyze forecasting data to improve business decisions.,Analyze marketing or sales trends to forecast future conditions.
Analyzing Data or Information,Analyze market or industry conditions.,Analyze market research data.,Analyze the effectiveness of marketing tactics or channels.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Attend training sessions or professional meetings to develop or maintain professional knowledge.,"Attend or participate in conferences, community events, and promotional events related to products or technologies."
Getting Information,Collect data about consumer needs or opinions.,Conduct market research.,"Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies."
Analyzing Data or Information,Analyze market or industry conditions.,Analyze market research data.,"Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies."
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about operational plans or activities.,Confer with organizational members to accomplish work activities.,"Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs."
Thinking Creatively,Develop marketing or promotional materials.,Develop promotional materials.,"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services."
Thinking Creatively,Develop business or marketing plans.,Develop marketing plans or strategies for environmental initiatives.,"Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations."
"Judging the Qualities of Objects, Services, or People","Evaluate programs, practices, or processes.",Evaluate program effectiveness.,"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires."
Developing Objectives and Strategies,Develop operational or technical procedures or standards.,Develop procedures to evaluate organizational activities.,"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires."
Documenting/Recording Information,Maintain operational records.,Maintain operational records for green energy processes or other environmentally-sustainable activities.,"Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas."
"Guiding, Directing, and Motivating Subordinates",Manage budgets or finances.,Prepare operational budgets.,Prepare budgets and submit estimates for program costs as part of campaign plan development.
Thinking Creatively,Develop marketing or promotional materials.,Develop promotional materials.,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies."
Evaluating Information to Determine Compliance with Standards,Examine materials or documentation for accuracy or compliance.,Examine marketing materials to ensure compliance with policies or regulations.,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications."
"Guiding, Directing, and Motivating Subordinates",Manage budgets or finances.,Direct financial operations.,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Direct sales, marketing, or customer service activities.","Coordinate activities of departments, such as sales, graphic arts, media, finance, and research."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Direct organizational operations, projects, or services.","Coordinate activities of departments, such as sales, graphic arts, media, finance, and research."
Documenting/Recording Information,"Prepare financial documents, reports, or budgets.","Prepare financial documents, reports, or budgets.",Prepare and negotiate advertising and sales contracts.
Resolving Conflicts and Negotiating with Others,Negotiate contracts or agreements.,Negotiate sales or lease agreements for products or services.,Prepare and negotiate advertising and sales contracts.
Establishing and Maintaining Interpersonal Relationships,Develop professional relationships or networks.,Establish interpersonal business relationships to facilitate work activities.,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers."
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about operational plans or activities.,Confer with organizational members to accomplish work activities.,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised."
Analyzing Data or Information,Analyze data to improve operations.,Analyze data to assess operational or project effectiveness.,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.
Updating and Using Relevant Knowledge,Maintain current knowledge in area of expertise.,Maintain knowledge of current developments in area of expertise.,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning."
Thinking Creatively,Develop business or marketing plans.,Develop marketing plans or strategies.,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.
Providing Consultation and Advice to Others,Advise others on products or services.,Advise customers on technical or procedural issues.,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.
"Monitoring Processes, Materials, or Surroundings",Monitor individual behavior or performance.,Monitor performance of organizational members or partners.,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals."
"Guiding, Directing, and Motivating Subordinates","Coordinate group, community, or public activities.",Coordinate special events or programs.,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals."
Making Decisions and Solving Problems,Implement procedures or processes.,Implement organizational process or policy changes.,Plan and execute advertising policies and strategies for organizations.
Thinking Creatively,Develop business or marketing plans.,Develop marketing plans or strategies.,Plan and execute advertising policies and strategies for organizations.
"Guiding, Directing, and Motivating Subordinates",Manage budgets or finances.,Manage organizational or project budgets.,"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms."
Establishing and Maintaining Interpersonal Relationships,Develop professional relationships or networks.,Establish interpersonal business relationships to facilitate work activities.,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals."
Training and Teaching Others,Train others on operational or work procedures.,Conduct employee training programs.,Train and direct workers engaged in developing and producing advertisements.
"Communicating with Supervisors, Peers, or Subordinates","Coordinate activities with clients, agencies, or organizations.",Coordinate operational activities with external stakeholders.,Coordinate with the media to disseminate advertising.
Selling or Influencing Others,"Promote products, services, or programs.","Promote products, services, or programs.",Contact organizations to explain services and facilities offered.
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Manage operations, research, or logistics projects.",Direct and coordinate product research and development.
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Direct organizational operations, projects, or services.",Direct and coordinate product research and development.
"Communicating with Supervisors, Peers, or Subordinates","Coordinate activities with clients, agencies, or organizations.",Represent the organization in external relations.,Represent company at trade association meetings to promote products.
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about operational plans or activities.,Confer with organizational members to accomplish work activities.,Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.
Thinking Creatively,Develop business or marketing plans.,Develop marketing plans or strategies for environmental initiatives.,Develop business cases for environmental marketing strategies.
Thinking Creatively,Develop business or marketing plans.,Develop marketing plans or strategies for environmental initiatives.,"Integrate environmental information into product or company marketing strategies, policies, or activities."
Thinking Creatively,Develop sustainable organizational or business policies or practices.,Develop sustainable organizational policies or practices.,"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products."
Providing Consultation and Advice to Others,Advise others on business or operational matters.,Recommend organizational process or policy changes.,"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products."
Thinking Creatively,Develop business or marketing plans.,Develop marketing plans or strategies.,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Direct sales, marketing, or customer service activities.","Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers."
Developing Objectives and Strategies,"Develop organizational policies, systems, or processes.",Determine pricing or monetary policies.,"Develop pricing strategies, balancing firm objectives and customer satisfaction."
