task,task_normalized,soc_code_2019,title,freq_mean,importance,relevance,soc_code_2019_untrimmed,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category
"Perform personnel functions, such as selection, training, or evaluation.",perform personnel functions such as selection training or evaluation,11-1021,General and Operations Managers,0.4564530769230769,3.79,95.77,11-1021.00,3584420.0,45910.0,11,Management Occupations
"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",establish or implement departmental policies goals objectives or procedures in conjunction with board members organization officials or staff members,11-1021,General and Operations Managers,0.5437019230769231,3.74,88.62,11-1021.00,3584420.0,45910.0,11,Management Occupations
"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",direct or coordinate financial or budget activities to fund operations maximize investments or increase efficiency,11-1021,General and Operations Managers,0.6242342307692308,3.9,82.52,11-1021.00,3584420.0,45910.0,11,Management Occupations
Prepare staff work schedules and assign specific duties.,prepare staff work schedules and assign specific duties,11-1021,General and Operations Managers,2.185888846153846,3.98,86.29,11-1021.00,3584420.0,45910.0,11,Management Occupations
"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",perform sales floor work such as greeting or assisting customers stocking shelves or taking inventory,11-1021,General and Operations Managers,2.8891946153846155,3.87,59.07,11-1021.00,3584420.0,45910.0,11,Management Occupations
"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",review financial statements sales or activity reports or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement,11-1021,General and Operations Managers,0.7717453846153847,4.18,97.14,11-1021.00,3584420.0,45910.0,11,Management Occupations
"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",implement or oversee environmental management or sustainability programs addressing issues such as recycling conservation or waste management,11-1021,General and Operations Managers,0.3548980769230769,3.1,56.52,11-1021.00,3584420.0,45910.0,11,Management Occupations
Plan store layouts or design displays.,plan store layouts or design displays,11-1021,General and Operations Managers,0.3297715384615384,2.92,51.62,11-1021.00,3584420.0,45910.0,11,Management Occupations
"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.",recommend locations for new facilities or oversee the remodeling or renovating of current facilities,11-1021,General and Operations Managers,0.3645965384615385,2.79,49.78,11-1021.00,3584420.0,45910.0,11,Management Occupations
"Direct non-merchandising departments of businesses, such as advertising or purchasing.",direct nonmerchandising departments of businesses such as advertising or purchasing,11-1021,General and Operations Managers,0.9350434615384616,3.53,51.13,11-1021.00,3584420.0,45910.0,11,Management Occupations
"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",develop or implement productmarketing strategies including advertising campaigns or sales promotions,11-1021,General and Operations Managers,0.3697842307692308,3.57,51.98,11-1021.00,3584420.0,45910.0,11,Management Occupations
"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",direct and coordinate activities of businesses or departments concerned with the production pricing sales or distribution of products,11-1021,General and Operations Managers,2.6135892307692306,4.14,79.9,11-1021.00,3584420.0,45910.0,11,Management Occupations
Direct administrative activities directly related to making products or providing services.,direct administrative activities directly related to making products or providing services,11-1021,General and Operations Managers,2.0780569230769235,4.01,85.81,11-1021.00,3584420.0,45910.0,11,Management Occupations
"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.",track program budgets expenses and campaign response rates to evaluate each campaign based on program objectives and industry norms,11-2011,Advertising and Promotions Managers,0.3910765384615384,3.54,69.28,11-2011.00,21100.0,232.0,11,Management Occupations
"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.",assemble and communicate with a strong diverse coalition of organizations or public figures securing their cooperation support and action to further campaign goals,11-2011,Advertising and Promotions Managers,0.4887926923076923,3.61,62.26,11-2011.00,21100.0,232.0,11,Management Occupations
Train and direct workers engaged in developing and producing advertisements.,train and direct workers engaged in developing and producing advertisements,11-2011,Advertising and Promotions Managers,1.200956923076923,3.62,61.21,11-2011.00,21100.0,232.0,11,Management Occupations
Coordinate with the media to disseminate advertising.,coordinate with the media to disseminate advertising,11-2011,Advertising and Promotions Managers,0.4661757692307692,3.87,80.19,11-2011.00,21100.0,232.0,11,Management Occupations
"Manage sales team, including setting goals, providing incentives, and evaluating employee performance.",manage sales team including setting goals providing incentives and evaluating employee performance,11-2011,Advertising and Promotions Managers,1.5489903846153843,3.89,41.07,11-2011.00,21100.0,232.0,11,Management Occupations
Direct and coordinate product research and development.,direct and coordinate product research and development,11-2011,Advertising and Promotions Managers,0.55449,3.35,40.08,11-2011.00,21100.0,232.0,11,Management Occupations
Represent company at trade association meetings to promote products.,represent company at trade association meetings to promote products,11-2011,Advertising and Promotions Managers,0.1187926923076923,3.43,65.01,11-2011.00,21100.0,232.0,11,Management Occupations
Plan and execute advertising policies and strategies for organizations.,plan and execute advertising policies and strategies for organizations,11-2011,Advertising and Promotions Managers,1.2111876923076923,3.81,78.17,11-2011.00,21100.0,232.0,11,Management Occupations
Contact organizations to explain services and facilities offered.,contact organizations to explain services and facilities offered,11-2011,Advertising and Promotions Managers,0.8547223076923076,3.61,79.02,11-2011.00,21100.0,232.0,11,Management Occupations
"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",direct motivate and monitor the mobilization of a campaign team to advance campaign goals,11-2011,Advertising and Promotions Managers,1.0442600000000002,3.81,83.59,11-2011.00,21100.0,232.0,11,Management Occupations
"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",inspect layouts and advertising copy and edit scripts audio video and other promotional material for adherence to specifications,11-2011,Advertising and Promotions Managers,1.348083846153846,4.07,87.26,11-2011.00,21100.0,232.0,11,Management Occupations
Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,formulate plans to extend business with established accounts and to transact business as agent for advertising accounts,11-2011,Advertising and Promotions Managers,0.7014180769230769,3.68,58.64,11-2011.00,21100.0,232.0,11,Management Occupations
"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",plan and prepare advertising and promotional material to increase sales of products or services working with customers company officials sales departments and advertising agencies,11-2011,Advertising and Promotions Managers,1.524248846153846,4.13,96.37,11-2011.00,21100.0,232.0,11,Management Occupations
Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,provide presentation and product demonstration support during the introduction of new products and services to field staff and customers,11-2011,Advertising and Promotions Managers,0.7429357692307692,3.5,63.96,11-2011.00,21100.0,232.0,11,Management Occupations
"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",coordinate activities of departments such as sales graphic arts media finance and research,11-2011,Advertising and Promotions Managers,1.1875334615384616,3.84,78.64,11-2011.00,21100.0,232.0,11,Management Occupations
Prepare and negotiate advertising and sales contracts.,prepare and negotiate advertising and sales contracts,11-2011,Advertising and Promotions Managers,0.6037865384615384,3.81,63.17,11-2011.00,21100.0,232.0,11,Management Occupations
Prepare budgets and submit estimates for program costs as part of campaign plan development.,prepare budgets and submit estimates for program costs as part of campaign plan development,11-2011,Advertising and Promotions Managers,0.2022076923076923,3.67,81.73,11-2011.00,21100.0,232.0,11,Management Occupations
"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",confer with department heads or staff to discuss topics such as contracts selection of advertising media or product to be advertised,11-2011,Advertising and Promotions Managers,1.5732346153846155,3.9,97.19,11-2011.00,21100.0,232.0,11,Management Occupations
Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns,11-2011,Advertising and Promotions Managers,0.5486730769230769,3.59,77.04,11-2011.00,21100.0,232.0,11,Management Occupations
"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",read trade journals and professional literature to stay informed on trends innovations and changes that affect media planning,11-2011,Advertising and Promotions Managers,0.4956346153846154,3.25,86.55,11-2011.00,21100.0,232.0,11,Management Occupations
"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets such as dealers distributors or consumers,11-2011,Advertising and Promotions Managers,0.8480453846153846,3.55,78.24,11-2011.00,21100.0,232.0,11,Management Occupations
"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",advise business or other groups on local national or international factors affecting the buying or selling of products or services,11-2021,Marketing Managers,0.2764684615384615,3.06,66.15,11-2021.00,384980.0,6560.0,11,Management Occupations
"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",recommend modifications to products packaging production processes or other characteristics to improve the environmental soundness or sustainability of products,11-2021,Marketing Managers,0.16541,3.12,48.28,11-2021.00,384980.0,6560.0,11,Management Occupations
"Integrate environmental information into product or company marketing strategies, policies, or activities.",integrate environmental information into product or company marketing strategies policies or activities,11-2021,Marketing Managers,0.1074,2.59,46.94,11-2021.00,384980.0,6560.0,11,Management Occupations
Develop business cases for environmental marketing strategies.,develop business cases for environmental marketing strategies,11-2021,Marketing Managers,0.0976473076923076,2.68,36.66,11-2021.00,384980.0,6560.0,11,Management Occupations
Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.,consult with buying personnel to gain advice regarding environmentally sound or sustainable products,11-2021,Marketing Managers,0.335001923076923,3.41,63.56,11-2021.00,384980.0,6560.0,11,Management Occupations
Conduct economic or commercial surveys to identify potential markets for products or services.,conduct economic or commercial surveys to identify potential markets for products or services,11-2021,Marketing Managers,0.1806361538461538,3.17,63.31,11-2021.00,384980.0,6560.0,11,Management Occupations
Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,consult with buying personnel to gain advice regarding the types of products or services expected to be in demand,11-2021,Marketing Managers,0.335001923076923,3.41,63.56,11-2021.00,384980.0,6560.0,11,Management Occupations
"Initiate market research studies, or analyze their findings.",initiate market research studies or analyze their findings,11-2021,Marketing Managers,0.3218734615384615,3.4,88.47,11-2021.00,384980.0,6560.0,11,Management Occupations
"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",coordinate or participate in promotional activities or trade shows working with developers advertisers or production managers to market products or services,11-2021,Marketing Managers,0.3207361538461538,3.41,97.54,11-2021.00,384980.0,6560.0,11,Management Occupations
"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",formulate direct or coordinate marketing activities or policies to promote products or services working with advertising or promotion managers,11-2021,Marketing Managers,2.290420384615385,4.24,98.22,11-2021.00,384980.0,6560.0,11,Management Occupations
Select products or accessories to be displayed at trade or special production shows.,select products or accessories to be displayed at trade or special production shows,11-2021,Marketing Managers,0.1544534615384615,2.7,74.62,11-2021.00,384980.0,6560.0,11,Management Occupations
"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",confer with legal staff to resolve problems such as copyright infringement or royalty sharing with outside producers or distributors,11-2021,Marketing Managers,0.0865096153846153,3.14,67.35,11-2021.00,384980.0,6560.0,11,Management Occupations
"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",identify develop or evaluate marketing strategy based on knowledge of establishment objectives market characteristics and cost and markup factors,11-2021,Marketing Managers,1.5720896153846151,4.3,98.32,11-2021.00,384980.0,6560.0,11,Management Occupations
"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",evaluate the financial aspects of product development such as budgets expenditures research and development appropriations or returnoninvestment and profitloss projections,11-2021,Marketing Managers,0.6194011538461538,3.99,81.95,11-2021.00,384980.0,6560.0,11,Management Occupations
"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",direct the hiring training or performance evaluations of marketing or sales staff and oversee their daily activities,11-2021,Marketing Managers,1.28964,3.66,75.29,11-2021.00,384980.0,6560.0,11,Management Occupations
"Develop pricing strategies, balancing firm objectives and customer satisfaction.",develop pricing strategies balancing firm objectives and customer satisfaction,11-2021,Marketing Managers,0.4226676923076923,3.87,71.63,11-2021.00,384980.0,6560.0,11,Management Occupations
"Consult with product development personnel on product specifications, such as design, color, or packaging.",consult with product development personnel on product specifications such as design color or packaging,11-2021,Marketing Managers,0.4784865384615385,3.65,74.34,11-2021.00,384980.0,6560.0,11,Management Occupations
Compile lists describing product or service offerings.,compile lists describing product or service offerings,11-2021,Marketing Managers,0.5431592307692308,3.7,84.1,11-2021.00,384980.0,6560.0,11,Management Occupations
"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",use sales forecasting or strategic planning to ensure the sale and profitability of products lines or services analyzing business developments and monitoring market trends,11-2021,Marketing Managers,0.4814230769230769,3.56,87.23,11-2021.00,384980.0,6560.0,11,Management Occupations
"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",negotiate contracts with vendors or distributors to manage product distribution establishing distribution networks or developing distribution strategies,11-2021,Marketing Managers,0.1409653846153846,3.53,72.9,11-2021.00,384980.0,6560.0,11,Management Occupations
"Assess marketing potential of new and existing store locations, considering statistics and expenditures.",assess marketing potential of new and existing store locations considering statistics and expenditures,11-2022,Sales Managers,0.5366596153846154,3.55,50.0,11-2022.00,603710.0,8660.0,11,Management Occupations
Direct foreign sales and service outlets of an organization.,direct foreign sales and service outlets of an organization,11-2022,Sales Managers,0.1774038461538461,3.14,36.36,11-2022.00,603710.0,8660.0,11,Management Occupations
"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",direct clerical staff to keep records of export correspondence bid requests and credit collections and to maintain current information on tariffs licenses and restrictions,11-2022,Sales Managers,0.6177380769230769,3.38,91.3,11-2022.00,603710.0,8660.0,11,Management Occupations
Oversee regional and local sales managers and their staffs.,oversee regional and local sales managers and their staffs,11-2022,Sales Managers,0.8442307692307691,3.7,86.96,11-2022.00,603710.0,8660.0,11,Management Occupations
"Confer with potential customers regarding equipment needs, and advise customers on types of equipment to purchase.",confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase,11-2022,Sales Managers,1.308465769230769,4.07,65.22,11-2022.00,603710.0,8660.0,11,Management Occupations
Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,visit franchised dealers to stimulate interest in establishment or expansion of leasing programs,11-2022,Sales Managers,0.23331,3.44,39.13,11-2022.00,603710.0,8660.0,11,Management Occupations
"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",plan and direct staffing training and performance evaluations to develop and control sales and service programs,11-2022,Sales Managers,0.154031923076923,3.5,100.0,11-2022.00,603710.0,8660.0,11,Management Occupations
Prepare budgets and approve budget expenditures.,prepare budgets and approve budget expenditures,11-2022,Sales Managers,0.2694615384615384,3.59,100.0,11-2022.00,603710.0,8660.0,11,Management Occupations
Represent company at trade association meetings to promote products.,represent company at trade association meetings to promote products,11-2022,Sales Managers,0.0763826923076923,3.14,95.45,11-2022.00,603710.0,8660.0,11,Management Occupations
Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications,11-2022,Sales Managers,0.219951923076923,3.25,69.57,11-2022.00,603710.0,8660.0,11,Management Occupations
