task,task_normalized,soc_code_2010,title,title_normalized,task_type,n_responding,domain_source,n_occurrences,pct_weighted,pct_normalized,major_occ_category,broad_counts,h_med_nat_2024,a_med_nat_2024,h_med_ut_2024,a_med_ut_2024,emp_tot_nat_2024,emp_tot_ut_2024,h_med_nat_nominal_2015,a_med_nat_nominal_2015,h_med_nat_real_2015,a_med_nat_real_2015,h_med_ut_nominal_2015,a_med_ut_nominal_2015,h_med_ut_real_2015,a_med_ut_real_2015,emp_tot_nat_2015,emp_tot_ut_2015,emp_pct_nat_2024,emp_pct_ut_2024,emp_pct_nat_2015,emp_pct_ut_2015,freq_mean_2025,importance_2025,relevance_2025,imputed_rating_mean_2025,freq_mean_2015,importance_2015,relevance_2015,imputed_rating_mean_2015,feedback_loop,directive,task_iteration,validation,learning,filtered
Formulate or implement sustainability campaign or marketing strategies.,formulate or implement sustainability campaign or marketing strategies,11-1011.03,Chief Sustainability Officers,chief sustainability officers,Core,26.0,Occupational Expert,1.0,0.0039567758575302,0.0051239740287716,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,15839.0,595.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,35729.0,564.0,0.0102725657573272,0.0284487539923881,0.025909982156203,0.0299472736830367,0.3375715384615385,3.74,100.0,False,0.1293211538461538,3.54,92.31,False,0.0,0.0,0.4897959183673469,0.0,0.0,0.5102040816326531
"Research environmental sustainability issues, concerns, or stakeholder interests.",research environmental sustainability issues concerns or stakeholder interests,11-1011.03,Chief Sustainability Officers,chief sustainability officers,Core,26.0,Occupational Expert,1.0,0.0046027800791678,0.0059605412171425,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,15839.0,595.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,35729.0,564.0,0.0102725657573272,0.0284487539923881,0.025909982156203,0.0299472736830367,0.4857965384615385,3.74,100.0,False,1.021405,4.04,100.0,False,0.0,0.0,0.2807017543859649,0.0,0.5087719298245614,0.2105263157894736
"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",develop or oversee the development of marketing or outreach media for sustainability projects or events,11-1011.03,Chief Sustainability Officers,chief sustainability officers,Core,26.0,Occupational Expert,1.0,0.0032300211081879,0.0041828359418543,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,15839.0,595.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,35729.0,564.0,0.0102725657573272,0.0284487539923881,0.025909982156203,0.0299472736830367,0.39401,3.93,100.0,False,0.2827692307692308,3.88,96.15,False,0.0,0.0,0.575,0.0,0.0,0.425
"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",write project proposals grant applications or other documents to pursue funding for environmental initiatives,11-1011.03,Chief Sustainability Officers,chief sustainability officers,Core,26.0,Occupational Expert,1.0,0.0046027800791678,0.0059605412171425,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,15839.0,595.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,35729.0,564.0,0.0102725657573272,0.0284487539923881,0.025909982156203,0.0299472736830367,0.0964357692307692,3.33,100.0,False,0.0727207692307692,3.32,84.62,False,0.0,0.3684210526315789,0.5789473684210527,0.0,0.0,0.0526315789473684
"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",review financial statements sales or activity reports or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement,11-1021.00,General and Operations Managers,general and operations managers,Core,157.0,Incumbent,1.0,0.0258401688655035,0.0334626875348351,Management Occupations,1.0,49.5,102950.0,43.86,91230.0,3584420.0,45910.0,46.99,97730.0,63.906400000000005,132912.80000000002,33.72,70150.0,45.8592,95404.0,2145140.0,31180.0,2.3247168477731446,2.195096295446287,1.555614182388464,1.6555957330444804,0.7717453846153847,4.18,97.14,False,1.834952692307692,4.09,95.28,False,0.09375,0.35,0.2625,0.1,0.1625,0.03125
"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",develop or implement productmarketing strategies including advertising campaigns or sales promotions,11-1021.00,General and Operations Managers,general and operations managers,Supplemental,158.0,Incumbent,1.0,0.0014535094986845,0.0018822761738344,Management Occupations,1.0,49.5,102950.0,43.86,91230.0,3584420.0,45910.0,46.99,97730.0,63.906400000000005,132912.80000000002,33.72,70150.0,45.8592,95404.0,2145140.0,31180.0,2.3247168477731446,2.195096295446287,1.555614182388464,1.6555957330444804,0.3697842307692308,3.57,51.98,False,0.4617392307692308,3.34,45.75,False,0.0,0.0,0.0,0.0,0.0,1.0
Set prices or credit terms for goods or services based on forecasts of customer demand.,set prices or credit terms for goods or services based on forecasts of customer demand,11-1021.00,General and Operations Managers,general and operations managers,Supplemental,158.0,Incumbent,1.0,0.0030685200527785,0.0039736941447616,Management Occupations,1.0,49.5,102950.0,43.86,91230.0,3584420.0,45910.0,46.99,97730.0,63.906400000000005,132912.80000000002,33.72,70150.0,45.8592,95404.0,2145140.0,31180.0,2.3247168477731446,2.195096295446287,1.555614182388464,1.6555957330444804,1.4877734615384617,4.01,49.24,False,0.6367769230769231,3.93,48.48,False,0.0,0.0,0.3947368421052631,0.0,0.0,0.6052631578947368
"Write, prepare, and deliver statements for the Congressional Record.",write prepare and deliver statements for the congressional record,11-1031.00,Legislators,legislators,Core,,Analyst,1.0,0.0015342600263892,0.0019868470723808,Management Occupations,1.0,21.54326923076923,44810.0,24.32692307692308,50600.0,26510.0,300.0,9.85576923076923,20500.0,13.403846153846152,27880.000000000004,9.235576923076923,19210.0,12.560384615384615,26125.6,55820.0,670.0,0.0171933656308317,0.014343909575994,0.0404795881205534,0.0355756619993522,0.8348491062271063,3.8789047619047614,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True,0.0,0.0,0.7894736842105263,0.0,0.0,0.2105263157894736
"Determine campaign strategies for media advertising, positions on issues, and public appearances.",determine campaign strategies for media advertising positions on issues and public appearances,11-1031.00,Legislators,legislators,Core,,Analyst,1.0,0.0031492705804831,0.0040782650433079,Management Occupations,1.0,21.54326923076923,44810.0,24.32692307692308,50600.0,26510.0,300.0,9.85576923076923,20500.0,13.403846153846152,27880.000000000004,9.235576923076923,19210.0,12.560384615384615,26125.6,55820.0,670.0,0.0171933656308317,0.014343909575994,0.0404795881205534,0.0355756619993522,0.8348491062271063,3.8789047619047614,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True,0.0,0.0,0.4615384615384615,0.0,0.0,0.5384615384615384
"Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.",represent their parties in negotiations with political executives or members of other parties and when speaking with the media,11-1031.00,Legislators,legislators,Core,,Analyst,1.0,0.0013727589709798,0.001777705275288,Management Occupations,1.0,21.54326923076923,44810.0,24.32692307692308,50600.0,26510.0,300.0,9.85576923076923,20500.0,13.403846153846152,27880.000000000004,9.235576923076923,19210.0,12.560384615384615,26125.6,55820.0,670.0,0.0171933656308317,0.014343909575994,0.0404795881205534,0.0355756619993522,0.8348491062271063,3.8789047619047614,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True,0.0,0.0,0.0,0.0,0.0,1.0
"Represent their government at local, national, and international meetings and conferences.",represent their government at local national and international meetings and conferences,11-1031.00,Legislators,legislators,Core,,Analyst,1.0,0.0022610147757315,0.002927985159298,Management Occupations,1.0,21.54326923076923,44810.0,24.32692307692308,50600.0,26510.0,300.0,9.85576923076923,20500.0,13.403846153846152,27880.000000000004,9.235576923076923,19210.0,12.560384615384615,26125.6,55820.0,670.0,0.0171933656308317,0.014343909575994,0.0404795881205534,0.0355756619993522,0.8348491062271063,3.8789047619047614,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True,0.0,0.0,0.0,0.0,0.0,1.0
"Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.",prepare drafts of amendments government policies laws rules regulations budgets programs and procedures,11-1031.00,Legislators,legislators,Core,,Analyst,1.0,0.0100938159630872,0.0130713623182949,Management Occupations,1.0,21.54326923076923,44810.0,24.32692307692308,50600.0,26510.0,300.0,9.85576923076923,20500.0,13.403846153846152,27880.000000000004,9.235576923076923,19210.0,12.560384615384615,26125.6,55820.0,670.0,0.0171933656308317,0.014343909575994,0.0404795881205534,0.0355756619993522,0.8348491062271063,3.8789047619047614,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True,0.0,0.408,0.552,0.0,0.0,0.04
Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Supplemental,61.0,Incumbent,1.0,0.0359339848285908,0.0465340498531302,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5194.0,57.0,46.1,95890.0,62.696000000000005,130410.4,35.58,74010.0,48.3888,100653.6,14445.0,162.0,0.0033686284830833,0.0027253428194388,0.0104752355858365,0.0086018764834254,0.5486730769230769,3.59,77.04,False,0.7753492307692308,3.52,56.57,False,0.0764044943820224,0.2853932584269663,0.2719101123595505,0.0337078651685393,0.3078651685393258,0.0247191011235955
"Inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.",inspect layouts and advertising copy and edit scripts audio and video tapes and other promotional material for adherence to specifications,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Core,62.0,Incumbent,1.0,0.0020187631926174,0.0026142724636589,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5194.0,57.0,46.1,95890.0,62.696000000000005,130410.4,35.58,74010.0,48.3888,100653.6,14445.0,162.0,0.0033686284830833,0.0027253428194388,0.0104752355858365,0.0086018764834254,0.6718373076923078,3.6,81.2425,True,1.948657307692308,4.45,93.62,False,0.0,0.0,0.0,0.0,0.0,1.0
"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",read trade journals and professional literature to stay informed on trends innovations and changes that affect media planning,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Core,62.0,Incumbent,1.0,0.0016957610817986,0.0021959888694735,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5194.0,57.0,46.1,95890.0,62.696000000000005,130410.4,35.58,74010.0,48.3888,100653.6,14445.0,162.0,0.0033686284830833,0.0027253428194388,0.0104752355858365,0.0086018764834254,0.4956346153846154,3.25,86.55,False,0.8454996153846154,3.17,96.77,False,0.0,0.0,0.0,0.0,0.0,1.0
Gather and organize information to plan advertising campaigns.,gather and organize information to plan advertising campaigns,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Core,62.0,Incumbent,1.0,0.0033915221635973,0.004391977738947,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5194.0,57.0,46.1,95890.0,62.696000000000005,130410.4,35.58,74010.0,48.3888,100653.6,14445.0,162.0,0.0033686284830833,0.0027253428194388,0.0104752355858365,0.0086018764834254,0.6718373076923078,3.6,81.2425,True,1.278378846153846,4.12,87.98,False,0.0,0.4523809523809524,0.0,0.0,0.0,0.5476190476190477
"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",plan and prepare advertising and promotional material to increase sales of products or services working with customers company officials sales departments and advertising agencies,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Core,61.0,Incumbent,1.0,0.043928287071356,0.0568865688092198,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5194.0,57.0,46.1,95890.0,62.696000000000005,130410.4,35.58,74010.0,48.3888,100653.6,14445.0,162.0,0.0033686284830833,0.0027253428194388,0.0104752355858365,0.0086018764834254,1.524248846153846,4.13,96.37,False,1.114045,4.34,93.07,False,0.0294117647058823,0.2941176470588235,0.59375,0.0,0.0533088235294117,0.0294117647058823
"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",devise or evaluate methods and procedures for collecting data such as surveys opinion polls and questionnaires,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.0102553170184966,0.0132805041153876,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.4,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078,0.0028209688832788,0.010801566912498,0.0089204645013301,0.8348491062271063,3.8789047619047614,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True,0.0,0.4094488188976378,0.4330708661417323,0.0,0.0,0.1574803149606299
Analyze the effectiveness of marketing tactics or channels.,analyze the effectiveness of marketing tactics or channels,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.0319772089710606,0.0414100758243585,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.4,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078,0.0028209688832788,0.010801566912498,0.0089204645013301,0.8348491062271063,3.8789047619047614,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True,0.0479797979797979,0.3156565656565656,0.3005050505050505,0.0606060606060606,0.2449494949494949,0.0303030303030303
Generate or identify sales leads for green products and technologies.,generate or identify sales leads for green products and technologies,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.0071060464380134,0.0092022390720796,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.4,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078,0.0028209688832788,0.010801566912498,0.0089204645013301,0.8348491062271063,3.8789047619047614,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True,0.0,0.4431818181818182,0.4659090909090909,0.0,0.0,0.0909090909090909
"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of green products and technologies.",develop communications materials advertisements presentations or public relations initiatives to promote awareness of green products and technologies,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.028908688918282,0.0374363816795968,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.4,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078,0.0028209688832788,0.010801566912498,0.0089204645013301,0.8348491062271063,3.8789047619047614,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True,0.0,0.2932960893854748,0.61731843575419,0.0,0.0446927374301676,0.0446927374301676
"Analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.",analyze regional energy markets including energy pricing market structures energy generation competition and energy transmission constraints,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.0042797779683489,0.005542257622957,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.4,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078,0.0028209688832788,0.010801566912498,0.0089204645013301,0.8348491062271063,3.8789047619047614,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True,0.0,0.0,0.0,0.0,0.4716981132075472,0.5283018867924528
Analyze green product marketing or sales trends to forecast future conditions.,analyze green product marketing or sales trends to forecast future conditions,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.0020995137203221,0.0027188433622053,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.4,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078,0.0028209688832788,0.010801566912498,0.0089204645013301,0.8348491062271063,3.8789047619047614,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True,0.0,0.0,0.0,0.0,0.0,1.0
Identify marketing channels for green products or services.,identify marketing channels for green products or services,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.0012112579155704,0.0015685634781953,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.4,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078,0.0028209688832788,0.010801566912498,0.0089204645013301,0.8348491062271063,3.8789047619047614,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True,0.0,0.0,0.0,0.0,0.0,1.0
"Revise existing marketing plans or campaigns for green products, technologies, or services.",revise existing marketing plans or campaigns for green products technologies or services,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.0023417653034361,0.0030325560578443,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.4,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078,0.0028209688832788,0.010801566912498,0.0089204645013301,0.8348491062271063,3.8789047619047614,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True,0.0,0.0,0.0,0.0,0.0,1.0
"Write marketing content for green product web sites, brochures, or other communication media.",write marketing content for green product web sites brochures or other communication media,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.0028262684696644,0.0036599814491225,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.4,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078,0.0028209688832788,0.010801566912498,0.0089204645013301,0.8348491062271063,3.8789047619047614,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True,0.0,0.0,0.6,0.0,0.0,0.4
"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",advise business or other groups on local national or international factors affecting the buying or selling of products or services,11-2021.00,Marketing Managers,marketing managers,Supplemental,113.0,Incumbent,1.0,0.0118703275725906,0.0153719220863149,Management Occupations,2.0,77.42,161030.0,65.0,135190.0,384980.0,6560.0,61.9,128750.0,84.184,175100.0,52.68,109570.0,71.6448,149015.2,192890.0,1670.0,0.249683210130427,0.3136534893950695,0.1398801102216689,0.0886736649834599,0.2764684615384615,3.06,66.15,False,0.2764684615384615,3.06,66.15,False,0.0,0.2040816326530612,0.2312925170068027,0.0,0.4965986394557823,0.0680272108843537
"Develop pricing strategies, balancing firm objectives and customer satisfaction.",develop pricing strategies balancing firm objectives and customer satisfaction,11-2021.00,Marketing Managers,marketing managers,Core,117.0,Incumbent,1.0,0.0023417653034361,0.0030325560578443,Management Occupations,2.0,77.42,161030.0,65.0,135190.0,384980.0,6560.0,61.9,128750.0,84.184,175100.0,52.68,109570.0,71.6448,149015.2,192890.0,1670.0,0.249683210130427,0.3136534893950695,0.1398801102216689,0.0886736649834599,0.4226676923076923,3.87,71.63,False,0.4226676923076923,3.87,71.63,False,0.0,0.0,0.5172413793103449,0.0,0.0,0.4827586206896552
"Integrate environmental information into product or company marketing strategies, policies, or activities.",integrate environmental information into product or company marketing strategies policies or activities,11-2021.00,Marketing Managers,marketing managers,Supplemental,116.0,Incumbent,1.0,0.0024225158311409,0.0031371269563907,Management Occupations,2.0,77.42,161030.0,65.0,135190.0,384980.0,6560.0,61.9,128750.0,84.184,175100.0,52.68,109570.0,71.6448,149015.2,192890.0,1670.0,0.249683210130427,0.3136534893950695,0.1398801102216689,0.0886736649834599,0.1074,2.59,46.94,False,0.1074,2.59,46.94,False,0.0,0.0,0.5,0.0,0.0,0.5
Initiate market research studies or analyze their findings.,initiate market research studies or analyze their findings,11-2021.00,Marketing Managers,marketing managers,Core,116.0,Incumbent,1.0,0.0039567758575302,0.0051239740287716,Management Occupations,2.0,77.42,161030.0,65.0,135190.0,384980.0,6560.0,61.9,128750.0,84.184,175100.0,52.68,109570.0,71.6448,149015.2,192890.0,1670.0,0.249683210130427,0.3136534893950695,0.1398801102216689,0.0886736649834599,0.3218734615384615,3.4,88.47,False,0.3218734615384615,3.4,88.47,False,0.0,0.5510204081632653,0.0,0.0,0.0,0.4489795918367347
"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",confer with legal staff to resolve problems such as copyright infringement or royalty sharing with outside producers or distributors,11-2021.00,Marketing Managers,marketing managers,Core,115.0,Incumbent,1.0,0.0042797779683489,0.005542257622957,Management Occupations,2.0,77.42,161030.0,65.0,135190.0,384980.0,6560.0,61.9,128750.0,84.184,175100.0,52.68,109570.0,71.6448,149015.2,192890.0,1670.0,0.249683210130427,0.3136534893950695,0.1398801102216689,0.0886736649834599,0.0865096153846153,3.14,67.35,False,0.0865096153846153,3.14,67.35,False,0.0,0.0,0.3018867924528302,0.0,0.3584905660377358,0.3396226415094339
