O*NET-SOC Code,Title,Task ID,Task,freq_mean,freq_lower,freq_upper,importance,importance_lower,importance_upper,relevance,relevance_lower,relevance_upper,task_normalized
11-1011.00,Chief Executives,8850,Organize or approve promotional campaigns.,0.23134115384615384,0.09549704615384615,0.7324097346153846,3.55,3.2887,3.8199,82.46,70.4702,90.2538,organize or approve promotional campaigns.
11-1011.00,Chief Executives,8851,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",0.35953115384615386,0.07089243076923077,1.9597222076923078,3.98,3.6622,4.2882,56.65,39.5829,72.2747,"conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings."
11-1011.00,Chief Executives,8852,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",0.22178846153846155,0.07958269615384617,0.7258108038461538,3.42,2.9353,3.9089,63.86,47.4304,77.5842,"represent organizations or promote their objectives at official functions, or delegate representatives to do so."
11-1011.00,Chief Executives,8853,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",0.14444884615384618,0.04692096153846154,0.4229470076923077,3.88,3.379,4.3755,52.57,35.5606,69.0103,"prepare bylaws approved by elected officials, and ensure that bylaws are enforced."
11-1011.00,Chief Executives,20461,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",0.2683673076923077,0.07436459615384616,1.0937064884615384,3.81,3.4663,4.1603,62.05,42.4518,78.3781,"review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups."
11-1011.03,Chief Sustainability Officers,15367,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",0.14224423076923076,0.0,0.0,3.19,,,100.0,,,"identify educational, training, or other development opportunities for sustainability employees or volunteers."
11-1011.03,Chief Sustainability Officers,15368,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,0.19687923076923078,0.0,0.0,3.88,,,96.3,,,identify and evaluate pilot projects or programs to enhance the sustainability research agenda.
11-1011.03,Chief Sustainability Officers,15369,Conduct risk assessments related to sustainability and the environment.,0.06740346153846154,0.0,0.0,3.13,,,85.19,,,conduct risk assessments related to sustainability and the environment.
11-1011.03,Chief Sustainability Officers,15370,"Create and maintain sustainability program documents, such as schedules and budgets.",0.38033000000000006,0.0,0.0,3.85,,,100.0,,,"create and maintain sustainability program documents, such as schedules and budgets."
11-1011.03,Chief Sustainability Officers,15371,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",0.09643576923076923,0.0,0.0,3.33,,,100.0,,,"write project proposals, grant applications, or other documents to pursue funding for environmental initiatives."
11-1011.03,Chief Sustainability Officers,15372,Supervise employees or volunteers working on sustainability projects.,2.9258499999999996,0.0,0.0,4.22,,,100.0,,,supervise employees or volunteers working on sustainability projects.
11-1011.03,Chief Sustainability Officers,15373,Write and distribute financial or environmental impact reports.,0.03782653846153847,0.0,0.0,3.33,,,88.89,,,write and distribute financial or environmental impact reports.
11-1011.03,Chief Sustainability Officers,15374,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",0.20276923076923076,0.0,0.0,3.48,,,92.59,,,"review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws."
11-1011.03,Chief Sustainability Officers,15375,Formulate or implement sustainability campaign or marketing strategies.,0.3375715384615385,0.0,0.0,3.74,,,100.0,,,formulate or implement sustainability campaign or marketing strategies.
11-1011.03,Chief Sustainability Officers,15376,"Research environmental sustainability issues, concerns, or stakeholder interests.",0.4857965384615385,0.0,0.0,3.74,,,100.0,,,"research environmental sustainability issues, concerns, or stakeholder interests."
11-1011.03,Chief Sustainability Officers,15377,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",0.20492307692307693,0.0,0.0,3.52,,,92.59,,,"evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives."
11-1011.03,Chief Sustainability Officers,15378,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",0.18571615384615384,0.0,0.0,4.04,,,100.0,,,"develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups."
11-1011.03,Chief Sustainability Officers,15379,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",0.4396126923076923,0.0,0.0,4.33,,,100.0,,,"develop, or oversee the development of, sustainability evaluation or monitoring systems."
11-1011.03,Chief Sustainability Officers,15380,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",0.39401,0.0,0.0,3.93,,,100.0,,,"develop, or oversee the development of, marketing or outreach media for sustainability projects or events."
11-1011.03,Chief Sustainability Officers,15381,Develop methodologies to assess the viability or success of sustainability initiatives.,0.13489346153846155,0.0,0.0,3.52,,,100.0,,,develop methodologies to assess the viability or success of sustainability initiatives.
11-1011.03,Chief Sustainability Officers,15382,Monitor and evaluate effectiveness of sustainability programs.,0.34365730769230773,0.0,0.0,4.38,,,96.3,,,monitor and evaluate effectiveness of sustainability programs.
11-1011.03,Chief Sustainability Officers,15383,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,0.2482807692307692,0.0,0.0,3.65,,,85.19,,,direct sustainability program operations to ensure compliance with environmental or governmental regulations.
11-1011.03,Chief Sustainability Officers,15384,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",0.8151334615384616,0.0,0.0,4.37,,,100.0,,,"develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design."
11-1021.00,General and Operations Managers,933,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",2.6135892307692306,1.0968830846153845,5.516420103846154,4.14,3.8946,4.3789,79.9,63.1402,90.2203,"direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products."
11-1021.00,General and Operations Managers,944,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",2.8891946153846155,0.9272142153846155,7.155616642307693,3.87,3.3602,4.3784,59.07,42.4007,73.8926,"perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory."
11-1021.00,General and Operations Managers,945,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",0.3697842307692308,0.08566625769230769,1.5002456615384616,3.57,3.0941,4.0377,51.98,32.4315,70.9436,"develop or implement product-marketing strategies, including advertising campaigns or sales promotions."
11-1021.00,General and Operations Managers,947,"Direct non-merchandising departments of businesses, such as advertising or purchasing.",0.9350434615384615,0.2416475653846154,3.837933034615385,3.53,3.0371,4.0227,51.13,32.1716,69.7622,"direct non-merchandising departments of businesses, such as advertising or purchasing."
11-1021.00,General and Operations Managers,948,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.",0.3645965384615385,0.0453191,2.630294992307692,2.79,2.3965,3.1919,49.78,30.7506,68.8707,"recommend locations for new facilities, or oversee the remodeling or renovating of current facilities."
11-1021.00,General and Operations Managers,949,Plan store layouts or design displays.,0.32977153846153845,0.08496739615384616,1.1137809038461537,2.92,2.5382,3.3112,51.62,32.6373,70.1441,plan store layouts or design displays.
11-1021.00,General and Operations Managers,19501,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",0.35489807692307695,0.0882798,1.3016912423076925,3.1,2.6298,3.5732,56.52,38.6345,72.8527,"implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management."
11-1021.00,General and Operations Managers,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",0.7717453846153847,0.38545992307692306,1.62867985,4.18,3.8551,4.5023,97.14,83.7197,99.5562,"review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement."
11-1021.00,General and Operations Managers,20700,Direct administrative activities directly related to making products or providing services.,2.0780569230769235,0.7894921846153846,4.950430669230769,4.01,3.7969,4.2272,85.81,71.3131,93.6356,direct administrative activities directly related to making products or providing services.
11-1021.00,General and Operations Managers,20701,Prepare staff work schedules and assign specific duties.,2.185888846153846,0.9805626653846153,4.4902781269230765,3.98,3.7761,4.1771,86.29,72.0379,93.8903,prepare staff work schedules and assign specific duties.
11-1021.00,General and Operations Managers,20702,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,0.40607653846153846,0.16975060384615384,1.00664875,3.44,3.1315,3.7527,75.67,59.0345,87.0372,monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.
11-1021.00,General and Operations Managers,20703,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",0.6242342307692308,0.22482926923076924,1.8536753653846154,3.9,3.6579,4.1397,82.52,68.0175,91.2865,"direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency."
11-1021.00,General and Operations Managers,20704,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",0.5437019230769231,0.2310383961538462,1.193132323076923,3.74,3.4922,3.9885,88.62,75.8172,95.0856,"establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members."
11-1021.00,General and Operations Managers,20705,"Perform personnel functions, such as selection, training, or evaluation.",0.4564530769230769,0.17262503846153845,1.2981768576923076,3.79,3.5408,4.036,95.77,85.5512,98.8567,"perform personnel functions, such as selection, training, or evaluation."
11-1021.00,General and Operations Managers,20706,"Plan or direct activities, such as sales promotions, that require coordination with other department managers.",1.465323076923077,0.5480518461538462,3.80630345,3.83,3.4875,4.1677,71.86,49.5793,86.8999,"plan or direct activities, such as sales promotions, that require coordination with other department managers."
11-1021.00,General and Operations Managers,20707,"Set prices or credit terms for goods or services, based on forecasts of customer demand.",1.4877734615384615,0.4116182269230769,4.600134115384615,4.01,3.6743,4.3515,49.24,30.8784,67.8104,"set prices or credit terms for goods or services, based on forecasts of customer demand."
11-1021.00,General and Operations Managers,20708,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",1.6166442307692306,0.5107634961538461,4.740995984615385,4.03,3.7344,4.3294,46.73,30.1443,64.0671,"manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations."
11-2011.00,Advertising and Promotions Managers,3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.,0.2022076923076923,0.08887962692307691,0.6374772,3.67,3.424,3.9124,81.73,70.079,89.5246,prepare budgets and submit estimates for program costs as part of campaign plan development.
11-2011.00,Advertising and Promotions Managers,3224,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",1.5242488461538461,0.7103224076923077,3.2414827500000003,4.13,3.89,4.3616,96.37,87.7929,98.9874,"plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies."
11-2011.00,Advertising and Promotions Managers,3226,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",1.348083846153846,0.5889479769230769,3.1584782923076924,4.07,3.8005,4.3407,87.26,78.5187,92.7741,"inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications."
11-2011.00,Advertising and Promotions Managers,3227,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",1.1875334615384616,0.5773963653846154,3.0773200769230766,3.84,3.5663,4.1148,78.64,68.3341,86.2623,"coordinate activities of departments, such as sales, graphic arts, media, finance, and research."
11-2011.00,Advertising and Promotions Managers,3228,Prepare and negotiate advertising and sales contracts.,0.6037865384615384,0.1838474115384615,2.346586073076923,3.81,3.4966,4.127,63.17,49.2582,75.1853,prepare and negotiate advertising and sales contracts.
11-2011.00,Advertising and Promotions Managers,3229,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",0.8480453846153846,0.3341065961538462,2.8799263,3.55,3.2881,3.8079,78.24,65.5963,87.1525,"identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers."
11-2011.00,Advertising and Promotions Managers,3231,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",1.5732346153846155,0.7717242384615386,3.317429942307692,3.9,3.67,4.1203,97.19,90.6903,99.1901,"confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised."
11-2011.00,Advertising and Promotions Managers,3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,0.5486730769230769,0.21838921538461536,1.9443156423076924,3.59,3.3745,3.8035,77.04,61.9954,87.3464,monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.
11-2011.00,Advertising and Promotions Managers,3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",0.4956346153846154,0.2750963615384615,0.9499705923076924,3.25,2.985,3.5126,86.55,74.883,93.2835,"read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning."
11-2011.00,Advertising and Promotions Managers,3235,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,0.7014180769230769,0.30256335384615385,1.4722530115384616,3.68,3.3323,4.0243,58.64,47.0659,69.3339,formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.
11-2011.00,Advertising and Promotions Managers,3236,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,0.7429357692307692,0.34413863076923074,1.4621112038461537,3.5,3.2502,3.7473,63.96,50.7162,75.3722,provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.
11-2011.00,Advertising and Promotions Managers,3237,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",1.0442600000000002,0.4886359961538462,2.9785949307692308,3.81,3.5697,4.0545,83.59,73.8116,90.2066,"direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals."
11-2011.00,Advertising and Promotions Managers,3238,Plan and execute advertising policies and strategies for organizations.,1.2111876923076923,0.4686492769230769,3.36552165,3.81,3.5557,4.0701,78.17,66.8661,86.4025,plan and execute advertising policies and strategies for organizations.
11-2011.00,Advertising and Promotions Managers,3239,"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.",0.39107653846153845,0.17462565384615383,0.8728464923076924,3.54,3.2835,3.7917,69.28,55.6216,80.2312,"track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms."
11-2011.00,Advertising and Promotions Managers,3240,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.",0.4887926923076923,0.22126049615384616,1.1190137576923078,3.61,3.3381,3.8861,62.26,50.3859,72.8229,"assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals."
11-2011.00,Advertising and Promotions Managers,3241,Train and direct workers engaged in developing and producing advertisements.,1.200956923076923,0.44023905384615386,3.3825266038461534,3.62,3.3006,3.9439,61.21,47.6676,73.2138,train and direct workers engaged in developing and producing advertisements.
11-2011.00,Advertising and Promotions Managers,3242,Coordinate with the media to disseminate advertising.,0.4661757692307692,0.21947338846153847,1.0030980692307692,3.87,3.5962,4.1366,80.19,65.6225,89.5681,coordinate with the media to disseminate advertising.
11-2011.00,Advertising and Promotions Managers,3243,Contact organizations to explain services and facilities offered.,0.8547223076923076,0.37088124999999994,2.485129688461538,3.61,3.3279,3.8902,79.02,68.6646,86.6159,contact organizations to explain services and facilities offered.
11-2011.00,Advertising and Promotions Managers,3244,Direct and coordinate product research and development.,0.55449,0.15213733461538462,2.522595619230769,3.35,2.9921,3.7077,40.08,27.721,53.8523,direct and coordinate product research and development.
11-2011.00,Advertising and Promotions Managers,3245,Represent company at trade association meetings to promote products.,0.11879269230769231,0.03816918461538461,0.4734929,3.43,3.1098,3.7492,65.01,51.1122,76.7544,represent company at trade association meetings to promote products.
11-2011.00,Advertising and Promotions Managers,18586,"Manage sales team, including setting goals, providing incentives, and evaluating employee performance.",1.5489903846153845,0.45916760384615385,4.693937515384616,3.89,3.4764,4.295,41.07,29.3324,53.9247,"manage sales team, including setting goals, providing incentives, and evaluating employee performance."
11-2021.00,Marketing Managers,950,"Develop pricing strategies, balancing firm objectives and customer satisfaction.",0.4226676923076923,0.1829032,1.1074616461538462,3.87,3.5698,4.1764,71.63,60.6988,80.4973,"develop pricing strategies, balancing firm objectives and customer satisfaction."
11-2021.00,Marketing Managers,951,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",1.5720896153846153,0.7455290846153846,3.527289680769231,4.3,4.0663,4.527,98.32,93.8163,99.5604,"identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors."
11-2021.00,Marketing Managers,952,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",0.6194011538461538,0.2425809076923077,1.7346697846153845,3.99,3.7297,4.2569,81.95,72.0658,88.8785,"evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections."
11-2021.00,Marketing Managers,954,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",1.28964,0.36313192692307694,4.616183084615384,3.66,3.4199,3.8971,75.29,63.5451,84.1884,"direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities."
11-2021.00,Marketing Managers,955,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",0.1409653846153846,0.05148466153846153,0.39734585384615384,3.53,3.175,3.8764,72.9,63.7148,80.4749,"negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies."
11-2021.00,Marketing Managers,956,"Consult with product development personnel on product specifications, such as design, color, or packaging.",0.4784865384615385,0.23555232692307693,1.1854894884615383,3.65,3.3358,3.964,74.34,58.568,85.5822,"consult with product development personnel on product specifications, such as design, color, or packaging."
11-2021.00,Marketing Managers,957,Compile lists describing product or service offerings.,0.5431592307692308,0.18324801153846154,1.7267810576923077,3.7,3.3784,4.0247,84.1,68.7611,92.7013,compile lists describing product or service offerings.
11-2021.00,Marketing Managers,958,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",0.4814230769230769,0.18079005384615385,1.5524315076923076,3.56,3.3317,3.7846,87.23,75.4244,93.8281,"use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends."
11-2021.00,Marketing Managers,959,Select products or accessories to be displayed at trade or special production shows.,0.15445346153846154,0.054911742307692316,0.5994995038461539,2.7,2.4004,3.0089,74.62,64.9645,82.3355,select products or accessories to be displayed at trade or special production shows.
11-2021.00,Marketing Managers,960,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",0.08650961538461538,0.03010346923076923,0.22848371538461537,3.14,2.8986,3.3747,67.35,56.2636,76.7913,"confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors."
11-2021.00,Marketing Managers,961,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",0.32073615384615384,0.13735440384615386,0.8859747423076922,3.41,3.1238,3.6975,97.54,87.8235,99.5418,"coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services."
11-2021.00,Marketing Managers,962,"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.27646846153846155,0.09703226538461539,1.0270343192307692,3.06,2.6178,3.5056,66.15,56.3858,74.7158,"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services."
11-2021.00,Marketing Managers,963,"Initiate market research studies, or analyze their findings.",0.3218734615384615,0.11078775,1.0463251576923076,3.4,3.2063,3.5998,88.47,79.2492,93.9126,"initiate market research studies, or analyze their findings."
11-2021.00,Marketing Managers,964,Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,0.33500192307692306,0.11114047307692308,1.278087126923077,3.41,2.6669,4.1578,63.56,52.2483,73.5541,consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.
11-2021.00,Marketing Managers,965,Conduct economic or commercial surveys to identify potential markets for products or services.,0.18063615384615384,0.04954876538461538,0.8408400038461539,3.17,2.9341,3.4034,63.31,53.4173,72.1884,conduct economic or commercial surveys to identify potential markets for products or services.
11-2021.00,Marketing Managers,19502,Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.,0.33500192307692306,0.11114047307692308,1.278087126923077,3.41,2.6669,4.1578,63.56,52.2483,73.5541,consult with buying personnel to gain advice regarding environmentally sound or sustainable products.
