task,occupation,n_ratings,mean_rating,median_rating,max_rating,min_rating,p25_rating,p75_rating,task_normalized,soc_code_2010,title,title_normalized,task_type,n_responding,domain_source,n_occurrences,pct_weighted,pct_normalized,major_occ_category,broad_counts,h_med_nat_2024,a_med_nat_2024,h_med_ut_2024,a_med_ut_2024,emp_tot_nat_2024,emp_tot_ut_2024,h_med_nat_nominal_2015,a_med_nat_nominal_2015,h_med_nat_real_2015,a_med_nat_real_2015,h_med_ut_nominal_2015,a_med_ut_nominal_2015,h_med_ut_real_2015,a_med_ut_real_2015,emp_tot_nat_2015,emp_tot_ut_2015,emp_pct_nat_2024,emp_pct_ut_2024,emp_pct_nat_2015,emp_pct_ut_2015,freq_mean_2025,importance_2025,relevance_2025,imputed_rating_mean_2025,freq_mean_2015,importance_2015,relevance_2015,imputed_rating_mean_2015
"Create or maintain formal engineering documents, such as schematics, bills of materials, components or materials specifications, or packaging requirements.",Microsystems Engineers,3265,1.95,2.0,5,1,1.0,3.0,create or maintain formal engineering documents such as schematics bills of materials components or materials specifications or packaging requirements,17-2199.06,Microsystems Engineers,microsystems engineers,Core,,Analyst,1.0,0.0026590341749707,0.0032730481504658,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,21535.714285714286,1520.0,46.11,95900.0,62.7096,130424.0,44.14,91810.0,60.03040000000001,124861.6,14523.0,65.0,0.0139672353766659,0.0726758085183697,0.0105317996824578,0.003451370193967,0.3454823076923077,3.67,74.21,False,1.0048723817663816,3.6836296296296296,84.02237037037037,True
"Prepare information regarding design, structure specifications, materials, color, equipment, estimated costs, or construction time.","Architects, Except Landscape and Naval",3265,1.63,1.0,4,1,1.0,2.0,prepare information regarding design structure specifications materials color equipment estimated costs or construction time,17-1011.00,"Architects, Except Landscape and Naval",architects except landscape and naval,Core,27.0,Occupational Expert,1.0,0.0084025479929078,0.0103428321554724,Architecture and Engineering Occupations,2.0,46.49,96690.0,39.29,81710.0,111140.0,1300.0,36.59,76100.0,49.76240000000001,103496.0,34.21,71150.0,46.5256,96764.0,93720.0,620.0,0.0720811262244679,0.0621569414959741,0.0679639376327171,0.0329207618501468,2.2728192307692305,4.4,100.0,False,2.4989503846153847,4.38,100.0,False
Collaborate with software developers in the development and modification of commercial bioinformatics software.,Bioinformatics Scientists,2591,1.95,2.0,4,1,1.0,2.0,collaborate with software developers in the development and modification of commercial bioinformatics software,19-1029.01,Bioinformatics Scientists,bioinformatics scientists,Supplemental,80.0,Incumbent,1.0,0.0027653955419696,0.0034039700764845,"Life, Physical, and Social Science Occupations",5.0,44.87,93330.0,43.2,89860.0,10364.0,354.0,36.13,75150.0,49.13680000000001,102204.0,32.85,68320.0,44.676,92915.2,22252.0,153.0,0.006721691489926,0.0169258132996729,0.0161367215130518,0.0081239944565684,0.2796823076923077,2.81,56.12,False,0.2796823076923077,2.81,56.12,False
"Consult with researchers to analyze problems, recommend technology-based solutions, or determine computational strategies.",Bioinformatics Scientists,2396,1.61,2.0,3,1,1.0,2.0,consult with researchers to analyze problems recommend technologybased solutions or determine computational strategies,19-1029.01,Bioinformatics Scientists,bioinformatics scientists,Core,81.0,Incumbent,1.0,0.0238249462077386,0.0293265114281749,"Life, Physical, and Social Science Occupations",5.0,44.87,93330.0,43.2,89860.0,10364.0,354.0,36.13,75150.0,49.13680000000001,102204.0,32.85,68320.0,44.676,92915.2,22252.0,153.0,0.006721691489926,0.0169258132996729,0.0161367215130518,0.0081239944565684,1.0822173076923076,4.22,99.61,False,1.0822173076923076,4.22,99.61,False
Create or modify web-based bioinformatics tools.,Bioinformatics Scientists,2383,2.35,2.0,5,1,2.0,3.0,create or modify webbased bioinformatics tools,19-1029.01,Bioinformatics Scientists,bioinformatics scientists,Core,79.0,Incumbent,1.0,0.0055307910839392,0.0068079401529691,"Life, Physical, and Social Science Occupations",5.0,44.87,93330.0,43.2,89860.0,10364.0,354.0,36.13,75150.0,49.13680000000001,102204.0,32.85,68320.0,44.676,92915.2,22252.0,153.0,0.006721691489926,0.0169258132996729,0.0161367215130518,0.0081239944565684,0.3532334615384615,3.38,77.72,False,0.3532334615384615,3.38,77.72,False
Test new and updated bioinformatics tools and software.,Bioinformatics Scientists,2383,2.26,2.0,4,1,2.0,3.0,test new and updated bioinformatics tools and software,19-1029.01,Bioinformatics Scientists,bioinformatics scientists,Supplemental,79.0,Incumbent,1.0,0.0057435138179369,0.0070697840050064,"Life, Physical, and Social Science Occupations",5.0,44.87,93330.0,43.2,89860.0,10364.0,354.0,36.13,75150.0,49.13680000000001,102204.0,32.85,68320.0,44.676,92915.2,22252.0,153.0,0.006721691489926,0.0169258132996729,0.0161367215130518,0.0081239944565684,0.2160980769230769,2.78,81.12,False,0.2160980769230769,2.78,81.12,False
Design and create special programs for tasks such as statistical analysis and data entry and cleaning.,Social Science Research Assistants,2383,2.25,2.0,4,1,2.0,3.0,design and create special programs for tasks such as statistical analysis and data entry and cleaning,19-4061.00,Social Science Research Assistants,social science research assistants,Core,151.0,Incumbent,1.0,0.0157414823158272,0.0193764450507583,"Life, Physical, and Social Science Occupations",1.0,27.9,58040.0,27.9,58040.0,32940.0,1470.0,20.42,42480.0,27.771200000000004,57772.8,21.12,43930.0,28.7232,59744.8,14597.0,140.0,0.0213636161403092,0.0702851569223707,0.0105854630561755,0.007433720417775,1.681841153846154,4.46,70.84,False,0.7943950000000001,3.66,73.17,False
Develop new software applications or customize existing applications to meet specific scientific project needs.,Bioinformatics Scientists,2383,2.19,2.0,5,1,2.0,3.0,develop new software applications or customize existing applications to meet specific scientific project needs,19-1029.01,Bioinformatics Scientists,bioinformatics scientists,Core,80.0,Incumbent,1.0,0.0469053628464854,0.0577365693742194,"Life, Physical, and Social Science Occupations",5.0,44.87,93330.0,43.2,89860.0,10364.0,354.0,36.13,75150.0,49.13680000000001,102204.0,32.85,68320.0,44.676,92915.2,22252.0,153.0,0.006721691489926,0.0169258132996729,0.0161367215130518,0.0081239944565684,0.8745607692307692,4.3,84.9,False,0.8745607692307692,4.3,84.9,False
Develop specialized computer software routines to customize and integrate image analysis.,Remote Sensing Technicians,2383,2.07,2.0,4,1,1.0,3.0,develop specialized computer software routines to customize and integrate image analysis,19-4099.03,Remote Sensing Technicians,remote sensing technicians,Supplemental,68.0,Incumbent,1.0,0.0068071274879252,0.0083790032651927,"Life, Physical, and Social Science Occupations",4.0,28.91,60130.0,25.19,52400.0,35700.0,1420.0,21.78,45300.0,29.620800000000003,61608.00000000001,24.1,50130.0,32.776,68176.8,61215.0,255.0,0.0231536459079854,0.0678945053263717,0.0443919381368627,0.0135399907609474,0.5007380769230769,3.13,52.26,False,0.5007380769230769,3.13,52.26,False
"Design and apply bioinformatics algorithms including unsupervised and supervised machine learning, dynamic programming, or graphic algorithms.",Bioinformatics Scientists,2383,2.01,2.0,5,1,1.0,3.0,design and apply bioinformatics algorithms including unsupervised and supervised machine learning dynamic programming or graphic algorithms,19-1029.01,Bioinformatics Scientists,bioinformatics scientists,Core,79.0,Incumbent,1.0,0.0075516570569171,0.0092954567473232,"Life, Physical, and Social Science Occupations",5.0,44.87,93330.0,43.2,89860.0,10364.0,354.0,36.13,75150.0,49.13680000000001,102204.0,32.85,68320.0,44.676,92915.2,22252.0,153.0,0.006721691489926,0.0169258132996729,0.0161367215130518,0.0081239944565684,0.6139373076923077,3.73,67.13,False,0.6139373076923077,3.73,67.13,False
Create novel computational approaches and analytical tools as required by research goals.,Bioinformatics Scientists,2383,2.0,2.0,5,1,1.0,3.0,create novel computational approaches and analytical tools as required by research goals,19-1029.01,Bioinformatics Scientists,bioinformatics scientists,Core,80.0,Incumbent,1.0,0.0020208659729778,0.0024875165943541,"Life, Physical, and Social Science Occupations",5.0,44.87,93330.0,43.2,89860.0,10364.0,354.0,36.13,75150.0,49.13680000000001,102204.0,32.85,68320.0,44.676,92915.2,22252.0,153.0,0.006721691489926,0.0169258132996729,0.0161367215130518,0.0081239944565684,0.6563173076923077,4.24,76.84,False,0.6563173076923077,4.24,76.84,False
Develop applied software for the analysis and interpretation of geological data.,"Geoscientists, Except Hydrologists and Geographers",2383,1.9,2.0,4,1,1.0,2.0,develop applied software for the analysis and interpretation of geological data,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",geoscientists except hydrologists and geographers,Supplemental,24.0,Occupational Expert,1.0,0.0026590341749707,0.0032730481504658,"Life, Physical, and Social Science Occupations",3.0,47.71,99240.0,50.0,104000.0,22510.0,340.0,43.13,89700.0,58.65680000000001,121992.0,32.96,68560.0,44.8256,93241.6,31800.0,240.0,0.0145991195907213,0.0162564308527932,0.0230607470840845,0.0127435207161858,0.1158011538461538,2.84,59.38,False,0.973798076923077,3.06,66.67,False
Develop instrumentation and software for astronomical observation and analysis.,Astronomers,2383,1.7,2.0,4,1,1.0,2.0,develop instrumentation and software for astronomical observation and analysis,19-2011.00,Astronomers,astronomers,Core,33.0,Occupational Expert,1.0,0.0091470775618996,0.0112592856376028,"Life, Physical, and Social Science Occupations",2.0,63.54,132170.0,63.54,132170.0,1560.0,17.0,50.05,104100.0,68.068,141576.0,50.05,104100.0,68.068,141576.0,1760.0,17.0,0.001011755955643,0.0008128215426396,0.0012763180776097,0.0009026660507298,0.2678061538461538,3.95,95.65,False,1.0083592307692308,3.94,96.97,False
"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",Computer Systems Analysts,1929,2.46,3.0,4,1,2.0,3.0,test maintain and monitor computer programs and systems including coordinating the installation of computer programs and systems,15-1121.00,Computer Systems Analysts,computer systems analysts,Core,122.0,Incumbent,1.0,0.1955985539108546,0.2407654219482757,Computer and Mathematical Occupations,2.0,49.9,103790.0,44.87,93330.0,229346.0,2589.0,41.25,85800.0,56.1,116688.0,33.95,70610.0,46.172,96029.6,512927.0,3455.0,0.1487449880787908,0.1237879396408285,0.3719647742012025,0.1834536003100923,1.936189230769231,4.0,90.01,False,1.4818065384615384,3.92,91.64,False
Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,Computer Programmers,1808,2.14,2.0,4,1,1.0,3.0,correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced,15-1131.00,Computer Programmers,computer programmers,Core,112.0,Incumbent,1.0,2.446417802340167,3.011335220354699,Computer and Mathematical Occupations,4.0,47.44,98670.0,42.51,88410.0,109870.0,1200.0,38.24,79530.0,52.006400000000006,108160.8,37.28,77540.0,50.70080000000001,105454.4,289420.0,3670.0,0.0712574531067328,0.0573756383039761,0.2098818056942061,0.1948696709516755,3.208945769230769,4.38,93.87,False,3.35353423076923,4.32,96.03,False
"Design, configure, and test computer hardware, networking software and operating system software.",Network and Computer Systems Administrators,1500,2.22,2.0,5,1,2.0,3.0,design configure and test computer hardware networking software and operating system software,15-1142.00,Network and Computer Systems Administrators,network and computer systems administrators,Core,76.0,Incumbent,1.0,0.0191450460597899,0.0235659466833548,Computer and Mathematical Occupations,3.0,46.54,96800.0,42.47,88330.0,318570.0,2480.0,37.41,77810.0,50.8776,105821.6,35.16,73130.0,47.8176,99456.8,374480.0,3730.0,0.2066122402494938,0.1185763191615506,0.2715656782405027,0.1980555511307219,1.0790757692307693,3.56,90.87,False,0.7459880769230769,3.75,86.83,False
Provide user support by diagnosing network and device problems and implementing technical or procedural solutions.,Telecommunications Engineering Specialists,1460,1.85,2.0,4,1,1.0,2.0,provide user support by diagnosing network and device problems and implementing technical or procedural solutions,15-1143.01,Telecommunications Engineering Specialists,telecommunications engineering specialists,Core,23.0,Occupational Expert,1.0,0.0032972023769637,0.0040585797065777,Computer and Mathematical Occupations,3.0,62.69,130390.0,62.01,128990.0,41455.0,792.0,48.19,100240.0,65.5384,136326.40000000002,43.66,90810.0,59.3776,123501.6,68665.0,384.0,0.0268861173981943,0.0378679212806242,0.0497945345449266,0.0203896331458973,0.4973076923076923,3.75,95.24,False,0.4718176923076922,3.79,82.61,False
Test software systems or applications for software enhancements or new products.,Data Warehousing Specialists,1439,2.48,3.0,4,1,2.0,3.0,test software systems or applications for software enhancements or new products,15-1199.07,Data Warehousing Specialists,data warehousing specialists,Core,,Analyst,1.0,0.0041480933129544,0.0051059551147268,Computer and Mathematical Occupations,1.0,65.37,135980.0,61.43,127770.0,21590.0,630.0,40.98,85240.0,55.7328,115926.4,34.88,72540.0,47.436800000000005,98654.4,38838.0,456.0,0.0140024430014959,0.0301222101095874,0.0281645690330715,0.0242126893607531,0.235,3.15,86.96,False,0.8096436295313881,3.764971264367816,89.30807471264367,True
"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",Web Developers,1439,2.22,2.0,4,1,2.0,3.0,evaluate code to ensure that it is valid is properly structured meets industry standards and is compatible with browsers devices or operating systems,15-1134.00,Web Developers,web developers,Core,30.0,Occupational Expert,1.0,0.1150829990927377,0.1416575239521665,Computer and Mathematical Occupations,4.0,45.44,94510.0,43.185,89825.0,67280.0,1455.0,31.23,64970.0,42.47280000000001,88359.20000000001,26.88,55910.0,36.5568,76037.6,127070.0,1870.0,0.0436352183946572,0.069567961443571,0.0921487148419693,0.0992932655802815,1.1369707692307691,4.09,95.83,False,1.288305384615385,3.93,96.67,False
Enter commands and observe system functioning to verify correct operations and detect errors.,Computer User Support Specialists,1439,2.05,2.0,4,1,2.0,3.0,enter commands and observe system functioning to verify correct operations and detect errors,15-1151.00,Computer User Support Specialists,computer user support specialists,Core,139.0,Incumbent,1.0,0.0053180683499416,0.0065460963009318,Computer and Mathematical Occupations,2.0,29.01,60340.0,27.67,57560.0,697210.0,10750.0,23.38,48620.0,31.7968,66123.20000000001,20.39,42420.0,27.730400000000003,57691.2,585060.0,7760.0,0.4521835704063459,0.5139900931397862,0.424274235503601,0.4120405031566763,0.9343030769230768,3.57,83.18,False,2.570517307692308,4.39,94.12,False
Write supporting code for Web applications or Web sites.,Web Developers,1436,2.82,3.0,5,1,2.0,4.0,write supporting code for web applications or web sites,15-1134.00,Web Developers,web developers,Core,30.0,Occupational Expert,1.0,0.4905386245986196,0.6038119227979596,Computer and Mathematical Occupations,4.0,45.44,94510.0,43.185,89825.0,67280.0,1455.0,31.23,64970.0,42.47280000000001,88359.20000000001,26.88,55910.0,36.5568,76037.6,127070.0,1870.0,0.0436352183946572,0.069567961443571,0.0921487148419693,0.0992932655802815,4.329339615384616,4.58,100.0,False,1.6919484615384617,3.72,96.67,False
"Develop transactional Web applications, using Web programming software and knowledge of programming languages, such as hypertext markup language (HTML) and extensible markup language (XML).",Search Marketing Strategists,1436,2.68,3.0,5,1,2.0,3.0,develop transactional web applications using web programming software and knowledge of programming languages such as hypertext markup language html and extensible markup language xml,15-1199.10,Search Marketing Strategists,search marketing strategists,Supplemental,23.0,Occupational Expert,1.0,0.0839191185620795,0.1032973996287055,Computer and Mathematical Occupations,1.0,37.0,76950.0,31.2,64900.0,430570.0,13310.0,40.98,85240.0,55.7328,115926.4,34.88,72540.0,47.436800000000005,98654.4,8692.0,102.0,0.2792511293725855,0.6363914548549353,0.0063032708696497,0.0054159963043789,1.325,3.1,43.48,False,0.0745192307692307,3.12,34.78,False
"Perform system analysis, data analysis or programming, using a variety of computer languages and procedures.",Data Warehousing Specialists,1395,2.45,3.0,5,1,2.0,3.0,perform system analysis data analysis or programming using a variety of computer languages and procedures,15-1199.07,Data Warehousing Specialists,data warehousing specialists,Core,,Analyst,1.0,0.0135078936088517,0.0166270846043669,Computer and Mathematical Occupations,1.0,65.37,135980.0,61.43,127770.0,21590.0,630.0,40.98,85240.0,55.7328,115926.4,34.88,72540.0,47.436800000000005,98654.4,38838.0,456.0,0.0140024430014959,0.0301222101095874,0.0281645690330715,0.0242126893607531,0.7288584615384615,3.83,100.0,False,0.8096436295313881,3.764971264367816,89.30807471264367,True
"Prepare, manipulate, and manage extensive databases.",Social Science Research Assistants,1384,3.11,3.0,5,1,3.0,4.0,prepare manipulate and manage extensive databases,19-4061.00,Social Science Research Assistants,social science research assistants,Core,150.0,Incumbent,1.0,0.0269094258507047,0.0331232472827154,"Life, Physical, and Social Science Occupations",1.0,27.9,58040.0,27.9,58040.0,32940.0,1470.0,20.42,42480.0,27.771200000000004,57772.8,21.12,43930.0,28.7232,59744.8,14597.0,140.0,0.0213636161403092,0.0702851569223707,0.0105854630561755,0.007433720417775,2.129986923076923,3.91,70.2,False,1.719096153846154,4.24,74.19,False
Develop and maintain computer databases.,Forest and Conservation Technicians,1384,2.8,3.0,5,1,2.0,3.0,develop and maintain computer databases,19-4093.00,Forest and Conservation Technicians,forest and conservation technicians,Core,26.0,Occupational Expert,1.0,0.0224422484367537,0.0276245263899326,"Life, Physical, and Social Science Occupations",4.0,26.11,54310.0,21.53,44780.0,31080.0,1270.0,17.04,35430.0,23.1744,48184.8,13.73,28550.0,18.6728,38828.0,29810.0,1370.0,0.0201572917316579,0.0607225505383747,0.0216176374395144,0.0727442640882276,0.9967146153846154,3.42,59.54,False,0.6308942307692308,3.61,69.23,False
"Manipulate publicly accessible, commercial, or proprietary genomic, proteomic, or post-genomic databases.",Bioinformatics Scientists,1384,2.72,3.0,5,1,2.0,3.0,manipulate publicly accessible commercial or proprietary genomic proteomic or postgenomic databases,19-1029.01,Bioinformatics Scientists,bioinformatics scientists,Core,81.0,Incumbent,1.0,0.0166987346188168,0.0205547423849261,"Life, Physical, and Social Science Occupations",5.0,44.87,93330.0,43.2,89860.0,10364.0,354.0,36.13,75150.0,49.13680000000001,102204.0,32.85,68320.0,44.676,92915.2,22252.0,153.0,0.006721691489926,0.0169258132996729,0.0161367215130518,0.0081239944565684,1.1074123076923077,3.71,86.64,False,1.1074123076923077,3.71,86.64,False
Develop data models and databases.,Bioinformatics Scientists,1384,2.7,3.0,5,1,2.0,3.0,develop data models and databases,19-1029.01,Bioinformatics Scientists,bioinformatics scientists,Core,81.0,Incumbent,1.0,0.0285048463556872,0.0350870761729949,"Life, Physical, and Social Science Occupations",5.0,44.87,93330.0,43.2,89860.0,10364.0,354.0,36.13,75150.0,49.13680000000001,102204.0,32.85,68320.0,44.676,92915.2,22252.0,153.0,0.006721691489926,0.0169258132996729,0.0161367215130518,0.0081239944565684,0.4723480769230769,3.83,95.55,False,0.4723480769230769,3.83,95.55,False
"Write new programs or modify existing programs to meet customer requirements, using current programming languages and technologies.",Data Warehousing Specialists,1377,2.68,3.0,5,1,2.0,3.0,write new programs or modify existing programs to meet customer requirements using current programming languages and technologies,15-1199.07,Data Warehousing Specialists,data warehousing specialists,Core,,Analyst,1.0,1.191140949019935,1.4661946494827298,Computer and Mathematical Occupations,1.0,65.37,135980.0,61.43,127770.0,21590.0,630.0,40.98,85240.0,55.7328,115926.4,34.88,72540.0,47.436800000000005,98654.4,38838.0,456.0,0.0140024430014959,0.0301222101095874,0.0281645690330715,0.0242126893607531,0.6642765384615384,3.91,100.0,False,0.8096436295313881,3.764971264367816,89.30807471264367,True
Prepare system activity and performance reports.,Telecommunications Engineering Specialists,1356,2.63,3.0,5,1,2.0,3.0,prepare system activity and performance reports,15-1143.01,Telecommunications Engineering Specialists,telecommunications engineering specialists,Core,23.0,Occupational Expert,1.0,0.0015954205049824,0.0019638288902795,Computer and Mathematical Occupations,3.0,62.69,130390.0,62.01,128990.0,41455.0,792.0,48.19,100240.0,65.5384,136326.40000000002,43.66,90810.0,59.3776,123501.6,68665.0,384.0,0.0268861173981943,0.0378679212806242,0.0497945345449266,0.0203896331458973,0.2716346153846153,3.25,76.19,False,0.3169230769230769,3.25,86.96,False
Create or update technical documentation for network installations or changes to existing installations.,Computer Network Support Specialists,1356,2.62,3.0,5,1,2.0,3.0,create or update technical documentation for network installations or changes to existing installations,15-1152.00,Computer Network Support Specialists,computer network support specialists,Core,117.0,Incumbent,1.0,0.004360816046952,0.005367798966764,Computer and Mathematical Occupations,2.0,35.26,73340.0,33.31,69280.0,146450.0,1000.0,29.93,62250.0,40.704800000000006,84660.0,26.63,55390.0,36.2168,75330.40000000001,184570.0,1770.0,0.0949818331435426,0.0478130319199801,0.1338466065820593,0.0939834652818707,0.3086165384615384,3.61,84.53,False,0.3086165384615384,3.61,84.53,False
Develop network-related documentation.,Computer Network Architects,1356,2.5,3.0,5,1,2.0,3.0,develop networkrelated documentation,15-1143.00,Computer Network Architects,computer network architects,Core,,Analyst,1.0,0.0018081432389801,0.0022256727423168,Computer and Mathematical Occupations,3.0,62.69,130390.0,62.01,128990.0,47050.0,898.0,48.19,100240.0,65.5384,136326.40000000002,43.66,90810.0,59.3776,123501.6,77935.0,436.0,0.0305148190467987,0.0429361026641421,0.056516959874155,0.0231507293010709,0.3250953846153846,3.89,100.0,False,0.8096436295313881,3.764971264367816,89.30807471264367,True
