task,task_normalized,soc_code_2010,title,title_normalized,task_type,n_responding,domain_source,n_occurrences,pct_weighted,pct_normalized,major_occ_category,broad_counts,h_med_nat_2024,a_med_nat_2024,h_med_ut_2024,a_med_ut_2024,emp_tot_nat_2024,emp_tot_ut_2024,h_med_nat_nominal_2015,a_med_nat_nominal_2015,h_med_nat_real_2015,a_med_nat_real_2015,h_med_ut_nominal_2015,a_med_ut_nominal_2015,h_med_ut_real_2015,a_med_ut_real_2015,emp_tot_nat_2015,emp_tot_ut_2015,emp_pct_nat_2024,emp_pct_ut_2024,emp_pct_nat_2015,emp_pct_ut_2015,freq_mean_2025,importance_2025,relevance_2025,imputed_rating_mean_2025,freq_mean_2015,importance_2015,relevance_2015,imputed_rating_mean_2015
"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",deliver speeches write articles or present information at meetings or conventions to promote services exchange ideas or accomplish objectives,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.006594404753927591,0.008117159413155474,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,208306.0,3913.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,234943.0,3707.0,0.1350992539078101,0.18709239390288218,0.17037613528855594,0.1968342970620875,0.4302734615384615,3.94,92.7,False,0.26726230769230774,3.73,85.82,False
"Research environmental sustainability issues, concerns, or stakeholder interests.",research environmental sustainability issues concerns or stakeholder interests,11-1011.03,Chief Sustainability Officers,chief sustainability officers,Core,26.0,Occupational Expert,1.0,0.002233588706975422,0.002749360446391306,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,3544.0,67.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,3997.0,63.0,0.0022985019915378285,0.0032034731386386675,0.0028985473614806913,0.003345174187998789,0.4857965384615385,3.74,100.0,False,1.0214050000000001,4.04,100.0,False
Formulate or implement sustainability campaign or marketing strategies.,formulate or implement sustainability campaign or marketing strategies,11-1011.03,Chief Sustainability Officers,chief sustainability officers,Core,26.0,Occupational Expert,1.0,0.0030844796429661215,0.0037967358545404513,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,3544.0,67.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,3997.0,63.0,0.0022985019915378285,0.0032034731386386675,0.0028985473614806913,0.003345174187998789,0.3375715384615385,3.74,100.0,False,0.12932115384615384,3.54,92.31,False
"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",review financial statements sales or activity reports or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement,11-1021.00,General and Operations Managers,general and operations managers,Core,157.0,Incumbent,1.0,0.08806721187503402,0.10840335474343243,Management Occupations,1.0,49.5,102950.0,43.86,91230.0,3584420.0,45910.0,46.99,97730.0,63.906400000000005,132912.80000000002,33.72,70150.0,45.8592,95404.0,2145140.0,31180.0,2.3247168477731446,2.195096295446287,1.555614182388464,1.6555957330444804,0.7717453846153847,4.18,97.14,False,1.8349526923076922,4.09,95.28,False
Plan store layouts or design displays.,plan store layouts or design displays,11-1021.00,General and Operations Managers,general and operations managers,Supplemental,158.0,Incumbent,1.0,0.003722647844959146,0.004582267410652311,Management Occupations,1.0,49.5,102950.0,43.86,91230.0,3584420.0,45910.0,46.99,97730.0,63.906400000000005,132912.80000000002,33.72,70150.0,45.8592,95404.0,2145140.0,31180.0,2.3247168477731446,2.195096295446287,1.555614182388464,1.6555957330444804,0.32977153846153845,2.92,51.62,False,0.2880403846153846,2.97,23.58,False
Set prices or credit terms for goods or services based on forecasts of customer demand.,set prices or credit terms for goods or services based on forecasts of customer demand,11-1021.00,General and Operations Managers,general and operations managers,Supplemental,158.0,Incumbent,1.0,0.007126211588921778,0.00877176904324869,Management Occupations,1.0,49.5,102950.0,43.86,91230.0,3584420.0,45910.0,46.99,97730.0,63.906400000000005,132912.80000000002,33.72,70150.0,45.8592,95404.0,2145140.0,31180.0,2.3247168477731446,2.195096295446287,1.555614182388464,1.6555957330444804,1.4877734615384615,4.01,49.24,False,0.6367769230769231,3.93,48.48,False
"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",develop or implement productmarketing strategies including advertising campaigns or sales promotions,11-1021.00,General and Operations Managers,general and operations managers,Supplemental,158.0,Incumbent,1.0,0.0025526728079719343,0.0031421262244472354,Management Occupations,1.0,49.5,102950.0,43.86,91230.0,3584420.0,45910.0,46.99,97730.0,63.906400000000005,132912.80000000002,33.72,70150.0,45.8592,95404.0,2145140.0,31180.0,2.3247168477731446,2.195096295446287,1.555614182388464,1.6555957330444804,0.3697842307692308,3.57,51.98,False,0.4617392307692308,3.34,45.75,False
"Evaluate the structure, efficiency, activities, and performance of government agencies.",evaluate the structure efficiency activities and performance of government agencies,11-1031.00,Legislators,legislators,Core,,Analyst,1.0,0.002871756908968446,0.0035348920025031648,Management Occupations,1.0,21.54326923076923,44810.0,24.326923076923077,50600.0,26510.0,300.0,9.85576923076923,20500.0,13.403846153846153,27880.000000000004,9.235576923076923,19210.0,12.560384615384617,26125.600000000002,55820.0,670.0,0.017193365630831785,0.014343909575994032,0.04047958812055347,0.03557566199935221,0.8774502662721894,3.930890688259109,84.69781376518219,True,0.8754638244313826,3.8429235880398673,84.81920265780731,True
"Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.",prepare drafts of amendments government policies laws rules regulations budgets programs and procedures,11-1031.00,Legislators,legislators,Core,,Analyst,1.0,0.00510534561594395,0.006284252448894571,Management Occupations,1.0,21.54326923076923,44810.0,24.326923076923077,50600.0,26510.0,300.0,9.85576923076923,20500.0,13.403846153846153,27880.000000000004,9.235576923076923,19210.0,12.560384615384617,26125.600000000002,55820.0,670.0,0.017193365630831785,0.014343909575994032,0.04047958812055347,0.03557566199935221,0.8774502662721894,3.930890688259109,84.69781376518219,True,0.8754638244313826,3.8429235880398673,84.81920265780731,True
"Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.",represent their parties in negotiations with political executives or members of other parties and when speaking with the media,11-1031.00,Legislators,legislators,Core,,Analyst,1.0,0.003722647844959146,0.004582267410652311,Management Occupations,1.0,21.54326923076923,44810.0,24.326923076923077,50600.0,26510.0,300.0,9.85576923076923,20500.0,13.403846153846153,27880.000000000004,9.235576923076923,19210.0,12.560384615384617,26125.600000000002,55820.0,670.0,0.017193365630831785,0.014343909575994032,0.04047958812055347,0.03557566199935221,0.8774502662721894,3.930890688259109,84.69781376518219,True,0.8754638244313826,3.8429235880398673,84.81920265780731,True
"Determine campaign strategies for media advertising, positions on issues, and public appearances.",determine campaign strategies for media advertising positions on issues and public appearances,11-1031.00,Legislators,legislators,Core,,Analyst,1.0,0.005318068349941626,0.006546096300931858,Management Occupations,1.0,21.54326923076923,44810.0,24.326923076923077,50600.0,26510.0,300.0,9.85576923076923,20500.0,13.403846153846153,27880.000000000004,9.235576923076923,19210.0,12.560384615384617,26125.600000000002,55820.0,670.0,0.017193365630831785,0.014343909575994032,0.04047958812055347,0.03557566199935221,0.8774502662721894,3.930890688259109,84.69781376518219,True,0.8754638244313826,3.8429235880398673,84.81920265780731,True
"Represent their government at local, national, and international meetings and conferences.",represent their government at local national and international meetings and conferences,11-1031.00,Legislators,legislators,Core,,Analyst,1.0,0.004148093312954495,0.005105955114726883,Management Occupations,1.0,21.54326923076923,44810.0,24.326923076923077,50600.0,26510.0,300.0,9.85576923076923,20500.0,13.403846153846153,27880.000000000004,9.235576923076923,19210.0,12.560384615384617,26125.600000000002,55820.0,670.0,0.017193365630831785,0.014343909575994032,0.04047958812055347,0.03557566199935221,0.8774502662721894,3.930890688259109,84.69781376518219,True,0.8754638244313826,3.8429235880398673,84.81920265780731,True
Confer with colleagues to formulate positions and strategies pertaining to pending issues.,confer with colleagues to formulate positions and strategies pertaining to pending issues,11-1031.00,Legislators,legislators,Core,,Analyst,1.0,0.004467177413950925,0.005498720892782712,Management Occupations,1.0,21.54326923076923,44810.0,24.326923076923077,50600.0,26510.0,300.0,9.85576923076923,20500.0,13.403846153846153,27880.000000000004,9.235576923076923,19210.0,12.560384615384617,26125.600000000002,55820.0,670.0,0.017193365630831785,0.014343909575994032,0.04047958812055347,0.03557566199935221,0.8774502662721894,3.930890688259109,84.69781376518219,True,0.8754638244313826,3.8429235880398673,84.81920265780731,True
Contact organizations to explain services and facilities offered.,contact organizations to explain services and facilities offered,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Supplemental,61.0,Incumbent,1.0,0.004148093312954495,0.005105955114726883,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,13585.0,149.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,18890.0,212.0,0.008810708113725,0.0071241417560770365,0.01369866391252696,0.011256776632630847,0.8547223076923076,3.61,79.02,False,1.0313376923076922,3.4,46.04,False
"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",confer with department heads or staff to discuss topics such as contracts selection of advertising media or product to be advertised,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Core,62.0,Incumbent,1.0,0.0017017818719813169,0.0020947508162981908,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,13585.0,149.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,18890.0,212.0,0.008810708113725,0.0071241417560770365,0.01369866391252696,0.011256776632630847,1.5732346153846155,3.9,97.19,False,0.7157534615384615,3.96,98.52,False
Plan and execute advertising policies and strategies for organizations.,plan and execute advertising policies and strategies for organizations,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Core,62.0,Incumbent,1.0,0.0076580184239159665,0.009426378673341907,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,13585.0,149.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,18890.0,212.0,0.008810708113725,0.0071241417560770365,0.01369866391252696,0.011256776632630847,1.2111876923076923,3.81,78.17,False,0.6694396153846154,3.72,74.65,False
"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support and action, to further campaign goals.",assemble and communicate with a strong diverse coalition of organizations or public figures securing their cooperation support and action to further campaign goals,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Supplemental,62.0,Incumbent,1.0,0.0017017818719813169,0.0020947508162981908,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,13585.0,149.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,18890.0,212.0,0.008810708113725,0.0071241417560770365,0.01369866391252696,0.011256776632630847,0.4887926923076923,3.61,62.26,False,0.4982611538461539,3.08,60.91,False
Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Supplemental,61.0,Incumbent,1.0,0.047118085580483166,0.05799841322625672,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,13585.0,149.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,18890.0,212.0,0.008810708113725,0.0071241417560770365,0.01369866391252696,0.011256776632630847,0.5486730769230769,3.59,77.04,False,0.7753492307692308,3.52,56.57,False
"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",plan and prepare advertising and promotional material to increase sales of products or services working with customers company officials sales departments and advertising agencies,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Core,61.0,Incumbent,1.0,0.06775219077825681,0.0833972668738725,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,13585.0,149.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,18890.0,212.0,0.008810708113725,0.0071241417560770365,0.01369866391252696,0.011256776632630847,1.5242488461538461,4.13,96.37,False,1.114045,4.34,93.07,False
Confer with clients to provide marketing or technical advice.,confer with clients to provide marketing or technical advice,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Core,61.0,Incumbent,1.0,0.0031908410099649584,0.003927657780559094,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,13585.0,149.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,18890.0,212.0,0.008810708113725,0.0071241417560770365,0.01369866391252696,0.011256776632630847,0.956641978021978,3.6999999999999997,82.37142857142858,True,1.383576923076923,4.0,82.03,False
"Inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.",inspect layouts and advertising copy and edit scripts audio and video tapes and other promotional material for adherence to specifications,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Core,62.0,Incumbent,1.0,0.00829618662590899,0.010211910229453766,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,13585.0,149.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,18890.0,212.0,0.008810708113725,0.0071241417560770365,0.01369866391252696,0.011256776632630847,0.956641978021978,3.6999999999999997,82.37142857142858,True,1.948657307692308,4.45,93.62,False
"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",read trade journals and professional literature to stay informed on trends innovations and changes that affect media planning,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Core,62.0,Incumbent,1.0,0.0020208659729778287,0.0024875165943541197,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,13585.0,149.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,18890.0,212.0,0.008810708113725,0.0071241417560770365,0.01369866391252696,0.011256776632630847,0.4956346153846154,3.25,86.55,False,0.8454996153846154,3.17,96.77,False
Gather and organize information to plan advertising campaigns.,gather and organize information to plan advertising campaigns,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Core,62.0,Incumbent,1.0,0.00935980029589728,0.011521129489640096,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,13585.0,149.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,18890.0,212.0,0.008810708113725,0.0071241417560770365,0.01369866391252696,0.011256776632630847,0.956641978021978,3.6999999999999997,82.37142857142858,True,1.2783788461538461,4.12,87.98,False
Track program budgets and expenses and campaign response rates to evaluate each campaign based on program objectives and industry norms.,track program budgets and expenses and campaign response rates to evaluate each campaign based on program objectives and industry norms,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Supplemental,61.0,Incumbent,1.0,0.00510534561594395,0.006284252448894571,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,13585.0,149.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,18890.0,212.0,0.008810708113725,0.0071241417560770365,0.01369866391252696,0.011256776632630847,0.956641978021978,3.6999999999999997,82.37142857142858,True,0.7525819230769231,3.8,63.99,False
"Analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.",analyze regional energy markets including energy pricing market structures energy generation competition and energy transmission constraints,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.007232572955920616,0.008902690969267334,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,7515.0,83.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,10450.0,118.0,0.004873939747857444,0.0039684816493583495,0.007578138585807662,0.006265564352124717,0.8774502662721894,3.930890688259109,84.69781376518219,True,0.8754638244313826,3.8429235880398673,84.81920265780731,True
"Write marketing content for green product web sites, brochures, or other communication media.",write marketing content for green product web sites brochures or other communication media,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.002233588706975422,0.002749360446391306,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,7515.0,83.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,10450.0,118.0,0.004873939747857444,0.0039684816493583495,0.007578138585807662,0.006265564352124717,0.8774502662721894,3.930890688259109,84.69781376518219,True,0.8754638244313826,3.8429235880398673,84.81920265780731,True
"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",devise or evaluate methods and procedures for collecting data such as surveys opinion polls and questionnaires,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.016805095985815657,0.02068566431094482,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,7515.0,83.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,10450.0,118.0,0.004873939747857444,0.0039684816493583495,0.007578138585807662,0.006265564352124717,0.8774502662721894,3.930890688259109,84.69781376518219,True,0.8754638244313826,3.8429235880398673,84.81920265780731,True
"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of green products and technologies.",develop communications materials advertisements presentations or public relations initiatives to promote awareness of green products and technologies,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.025633089446718833,0.031552184170491805,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,7515.0,83.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,10450.0,118.0,0.004873939747857444,0.0039684816493583495,0.007578138585807662,0.006265564352124717,0.8774502662721894,3.930890688259109,84.69781376518219,True,0.8754638244313826,3.8429235880398673,84.81920265780731,True
Generate or identify sales leads for green products and technologies.,generate or identify sales leads for green products and technologies,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.001808143238980154,0.0022256727423168336,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,7515.0,83.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,10450.0,118.0,0.004873939747857444,0.0039684816493583495,0.007578138585807662,0.006265564352124717,0.8774502662721894,3.930890688259109,84.69781376518219,True,0.8754638244313826,3.8429235880398673,84.81920265780731,True
Coordinate with other marketing team members and workers such as graphic artists to develop and implement marketing programs.,coordinate with other marketing team members and workers such as graphic artists to develop and implement marketing programs,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.002765395541969609,0.003403970076484522,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,7515.0,83.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,10450.0,118.0,0.004873939747857444,0.0039684816493583495,0.007578138585807662,0.006265564352124717,0.8774502662721894,3.930890688259109,84.69781376518219,True,0.8754638244313826,3.8429235880398673,84.81920265780731,True
"Revise existing marketing plans or campaigns for green products, technologies, or services.",revise existing marketing plans or campaigns for green products technologies or services,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.005637152450938136,0.006938862078987786,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,7515.0,83.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,10450.0,118.0,0.004873939747857444,0.0039684816493583495,0.007578138585807662,0.006265564352124717,0.8774502662721894,3.930890688259109,84.69781376518219,True,0.8754638244313826,3.8429235880398673,84.81920265780731,True
Analyze the effectiveness of marketing tactics or channels.,analyze the effectiveness of marketing tactics or channels,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.02329313937274449,0.02867190179808175,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,7515.0,83.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,10450.0,118.0,0.004873939747857444,0.0039684816493583495,0.007578138585807662,0.006265564352124717,0.8774502662721894,3.930890688259109,84.69781376518219,True,0.8754638244313826,3.8429235880398673,84.81920265780731,True
Analyze green product marketing or sales trends to forecast future conditions.,analyze green product marketing or sales trends to forecast future conditions,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.0020208659729778287,0.0024875165943541197,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,7515.0,83.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,10450.0,118.0,0.004873939747857444,0.0039684816493583495,0.007578138585807662,0.006265564352124717,0.8774502662721894,3.930890688259109,84.69781376518219,True,0.8754638244313826,3.8429235880398673,84.81920265780731,True
"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",identify develop or evaluate marketing strategy based on knowledge of establishment objectives market characteristics and cost and markup factors,11-2021.00,Marketing Managers,marketing managers,Core,117.0,Incumbent,1.0,0.0068071274879252675,0.008379003265192763,Management Occupations,2.0,77.42,161030.0,65.0,135190.0,384980.0,6560.0,61.9,128750.0,84.184,175100.0,52.68,109570.0,71.6448,149015.2,192890.0,1670.0,0.24968321013042702,0.3136534893950695,0.1398801102216689,0.08867366498345997,1.5720896153846153,4.3,98.32,False,1.5720896153846153,4.3,98.32,False
