task,task_normalized,soc_code_2010,title,freq_mean,importance,relevance,tot_emp_nat,tot_emp_ut
Attend and participate in meetings of municipal councils or council committees.,attend and participate in meetings of municipal councils or council committees,11-1011,Chief Executives,0.1957680769230769,3.37,45.98,238940.0,3770.0
"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",review sustainability program objectives progress or status to ensure compliance with policies standards regulations or laws,11-1011,Chief Sustainability Officers,0.2098461538461538,3.56,96.15,238940.0,3770.0
Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,direct or coordinate activities of businesses involved with buying or selling investment products or financial services,11-1011,Chief Executives,0.5793615384615385,3.86,40.27,238940.0,3770.0
Direct or conduct studies or research on issues affecting areas of responsibility.,direct or conduct studies or research on issues affecting areas of responsibility,11-1011,Chief Executives,0.2271142307692308,3.33,75.11,238940.0,3770.0
"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",confer with board members organization officials or staff members to discuss issues coordinate activities or resolve problems,11-1011,Chief Executives,1.3860496153846154,4.15,98.79,238940.0,3770.0
"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction program improvement or policy change,11-1011,Chief Executives,1.2357769230769229,4.4,100.0,238940.0,3770.0
"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",direct plan or implement policies objectives or activities of organizations or businesses to ensure continuing operations to maximize returns on investments or to increase productivity,11-1011,Chief Executives,1.5504353846153849,4.39,95.84,238940.0,3770.0
"Prepare budgets for approval, including those for funding or implementation of programs.",prepare budgets for approval including those for funding or implementation of programs,11-1011,Chief Executives,0.2472584615384615,4.17,90.47,238940.0,3770.0
"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",direct or coordinate activities of businesses or departments concerned with production pricing sales or distribution of products,11-1011,Chief Executives,3.2648523076923075,4.25,59.37,238940.0,3770.0
"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",negotiate or approve contracts or agreements with suppliers distributors federal or state agencies or other organizational entities,11-1011,Chief Executives,0.4715626923076923,3.95,87.1,238940.0,3770.0
Review reports submitted by staff members to recommend approval or to suggest changes.,review reports submitted by staff members to recommend approval or to suggest changes,11-1011,Chief Executives,0.6107373076923077,3.82,98.87,238940.0,3770.0
Appoint department heads or managers and assign or delegate responsibilities to them.,appoint department heads or managers and assign or delegate responsibilities to them,11-1011,Chief Executives,0.8822211538461538,4.48,94.26,238940.0,3770.0
"Preside over or serve on boards of directors, management committees, or other governing boards.",preside over or serve on boards of directors management committees or other governing boards,11-1011,Chief Executives,0.2799634615384615,3.96,72.72,238940.0,3770.0
"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",prepare or present reports concerning activities expenses budgets government statutes or rulings or other items affecting businesses or program services,11-1011,Chief Executives,0.2474546153846153,3.65,81.8,238940.0,3770.0
"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",direct human resources activities including the approval of human resource plans or activities the selection of directors or other highlevel staff or establishment or organization of major departments,11-1011,Chief Executives,0.9782173076923076,4.02,78.78,238940.0,3770.0
"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",make presentations to legislative or other government committees regarding policies programs or budgets,11-1011,Chief Executives,0.063761923076923,3.93,37.3,238940.0,3770.0
Implement corrective action plans to solve organizational or departmental problems.,implement corrective action plans to solve organizational or departmental problems,11-1011,Chief Executives,0.4480849999999999,4.12,97.56,238940.0,3770.0
"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",coordinate the development or implementation of budgetary control systems recordkeeping systems or other administrative control processes,11-1011,Chief Executives,0.4301196153846154,3.87,78.35,238940.0,3770.0
"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",direct nonmerchandising departments such as advertising purchasing credit or accounting,11-1011,Chief Executives,0.8201207692307693,3.74,52.49,238940.0,3770.0
"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",deliver speeches write articles or present information at meetings or conventions to promote services exchange ideas or accomplish objectives,11-1011,Chief Executives,0.2672623076923077,3.73,85.82,238940.0,3770.0
"Serve as liaisons between organizations, shareholders, and outside organizations.",serve as liaisons between organizations shareholders and outside organizations,11-1011,Chief Executives,0.1973496153846154,3.56,56.76,238940.0,3770.0
Nominate citizens to boards or commissions.,nominate citizens to boards or commissions,11-1011,Chief Executives,0.0720807692307692,2.81,26.95,238940.0,3770.0
"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",interpret and explain policies rules regulations or laws to organizations government or corporate officials or individuals,11-1011,Chief Executives,0.6570684615384615,3.69,83.82,238940.0,3770.0
Establish departmental responsibilities and coordinate functions among departments and sites.,establish departmental responsibilities and coordinate functions among departments and sites,11-1011,Chief Executives,0.453766923076923,3.96,84.86,238940.0,3770.0
Refer major policy matters to elected representatives for final decisions.,refer major policy matters to elected representatives for final decisions,11-1011,Chief Executives,0.1840396153846153,3.92,46.48,238940.0,3770.0
"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",administer programs for selection of sites construction of buildings or provision of equipment or supplies,11-1011,Chief Executives,0.590258846153846,3.62,70.2,238940.0,3770.0
"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",direct or coordinate financial or budget activities to fund operations maximize investments or increase efficiency,11-1021,General and Operations Managers,0.7285711538461539,3.84,80.8,2145140.0,31180.0
"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",establish or implement departmental policies goals objectives or procedures in conjunction with board members organization officials or staff members,11-1021,General and Operations Managers,0.805023076923077,3.75,92.91,2145140.0,31180.0
"Perform personnel functions such as selection, training, or evaluation.",perform personnel functions such as selection training or evaluation,11-1021,General and Operations Managers,0.5421361538461539,3.73,93.6,2145140.0,31180.0
"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",manage the movement of goods into and out of production facilities to ensure efficiency effectiveness or sustainability of operations,11-1021,General and Operations Managers,1.1975403846153845,3.83,53.53,2145140.0,31180.0
Set prices or credit terms for goods or services based on forecasts of customer demand.,set prices or credit terms for goods or services based on forecasts of customer demand,11-1021,General and Operations Managers,0.6367769230769231,3.93,48.48,2145140.0,31180.0
Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits,11-1021,General and Operations Managers,0.7115861538461539,3.89,77.15,2145140.0,31180.0
Plan or direct activities such as sales promotions that require coordination with other department managers.,plan or direct activities such as sales promotions that require coordination with other department managers,11-1021,General and Operations Managers,0.4851261538461539,3.51,73.46,2145140.0,31180.0
Prepare staff work schedules and assign specific duties.,prepare staff work schedules and assign specific duties,11-1021,General and Operations Managers,1.6826853846153846,3.93,96.78,2145140.0,31180.0
"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",develop or implement productmarketing strategies including advertising campaigns or sales promotions,11-1021,General and Operations Managers,0.4617392307692308,3.34,45.75,2145140.0,31180.0
"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",review financial statements sales or activity reports or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement,11-1021,General and Operations Managers,1.834952692307692,4.09,95.28,2145140.0,31180.0
"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",implement or oversee environmental management or sustainability programs addressing issues such as recycling conservation or waste management,11-1021,General and Operations Managers,0.4831276923076923,3.25,52.57,2145140.0,31180.0
Plan store layouts or design displays.,plan store layouts or design displays,11-1021,General and Operations Managers,0.2880403846153846,2.97,23.58,2145140.0,31180.0
Recommend locations for new facilities or oversee the remodeling or renovating of current facilities.,recommend locations for new facilities or oversee the remodeling or renovating of current facilities,11-1021,General and Operations Managers,0.097186923076923,3.28,39.91,2145140.0,31180.0
"Direct non-merchandising departments of businesses, such as advertising or purchasing.",direct nonmerchandising departments of businesses such as advertising or purchasing,11-1021,General and Operations Managers,0.4236742307692308,3.24,42.57,2145140.0,31180.0
"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",perform sales floor work such as greeting or assisting customers stocking shelves or taking inventory,11-1021,General and Operations Managers,3.690200384615385,3.82,58.83,2145140.0,31180.0
"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",direct and coordinate activities of businesses or departments concerned with the production pricing sales or distribution of products,11-1021,General and Operations Managers,2.795452692307692,4.04,84.65,2145140.0,31180.0
Direct administrative activities directly related to making products or providing services.,direct administrative activities directly related to making products or providing services,11-1021,General and Operations Managers,3.2781876923076925,4.0,88.88,2145140.0,31180.0
Plan and execute advertising policies and strategies for organizations.,plan and execute advertising policies and strategies for organizations,11-2011,Advertising and Promotions Managers,0.6694396153846154,3.72,74.65,29340.0,330.0
Track program budgets and expenses and campaign response rates to evaluate each campaign based on program objectives and industry norms.,track program budgets and expenses and campaign response rates to evaluate each campaign based on program objectives and industry norms,11-2011,Advertising and Promotions Managers,0.7525819230769231,3.8,63.99,29340.0,330.0
"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support and action, to further campaign goals.",assemble and communicate with a strong diverse coalition of organizations or public figures securing their cooperation support and action to further campaign goals,11-2011,Advertising and Promotions Managers,0.4982611538461539,3.08,60.91,29340.0,330.0
Train and direct workers engaged in developing and producing advertisements.,train and direct workers engaged in developing and producing advertisements,11-2011,Advertising and Promotions Managers,1.4197873076923078,3.83,65.9,29340.0,330.0
Coordinate with the media to disseminate advertising.,coordinate with the media to disseminate advertising,11-2011,Advertising and Promotions Managers,0.6618915384615385,3.4,65.18,29340.0,330.0
Consult publications to learn about conventions and social functions and to organize prospect files for promotional purposes.,consult publications to learn about conventions and social functions and to organize prospect files for promotional purposes,11-2011,Advertising and Promotions Managers,0.3418042307692308,3.08,81.5,29340.0,330.0
Direct and coordinate product research and development.,direct and coordinate product research and development,11-2011,Advertising and Promotions Managers,0.8827688461538463,3.37,68.52,29340.0,330.0
Represent company at trade association meetings to promote products.,represent company at trade association meetings to promote products,11-2011,Advertising and Promotions Managers,0.3652057692307693,3.17,73.98,29340.0,330.0
"Manage sales team including setting goals, providing incentives, and evaluating employee performance.",manage sales team including setting goals providing incentives and evaluating employee performance,11-2011,Advertising and Promotions Managers,0.8963511538461538,3.1,25.68,29340.0,330.0
"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",direct motivate and monitor the mobilization of a campaign team to advance campaign goals,11-2011,Advertising and Promotions Managers,0.8277003846153846,3.97,73.83,29340.0,330.0
Contact organizations to explain services and facilities offered.,contact organizations to explain services and facilities offered,11-2011,Advertising and Promotions Managers,1.0313376923076922,3.4,46.04,29340.0,330.0
Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,provide presentation and product demonstration support during the introduction of new products and services to field staff and customers,11-2011,Advertising and Promotions Managers,0.7324030769230769,3.42,78.6,29340.0,330.0
Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns,11-2011,Advertising and Promotions Managers,0.7753492307692308,3.52,56.57,29340.0,330.0
"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",read trade journals and professional literature to stay informed on trends innovations and changes that affect media planning,11-2011,Advertising and Promotions Managers,0.8454996153846154,3.17,96.77,29340.0,330.0
Prepare budgets and submit estimates for program costs as part of campaign plan development.,prepare budgets and submit estimates for program costs as part of campaign plan development,11-2011,Advertising and Promotions Managers,0.190101923076923,3.74,80.88,29340.0,330.0
Assist with annual budget development.,assist with annual budget development,11-2011,Advertising and Promotions Managers,0.0635688461538461,3.56,72.45,29340.0,330.0
"Inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.",inspect layouts and advertising copy and edit scripts audio and video tapes and other promotional material for adherence to specifications,11-2011,Advertising and Promotions Managers,1.948657307692308,4.45,93.62,29340.0,330.0
"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",coordinate activities of departments such as sales graphic arts media finance and research,11-2011,Advertising and Promotions Managers,1.4570273076923077,3.94,66.41,29340.0,330.0
Prepare and negotiate advertising and sales contracts.,prepare and negotiate advertising and sales contracts,11-2011,Advertising and Promotions Managers,0.4078088461538461,3.74,77.26,29340.0,330.0
"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",plan and prepare advertising and promotional material to increase sales of products or services working with customers company officials sales departments and advertising agencies,11-2011,Advertising and Promotions Managers,1.114045,4.34,93.07,29340.0,330.0
Gather and organize information to plan advertising campaigns.,gather and organize information to plan advertising campaigns,11-2011,Advertising and Promotions Managers,1.278378846153846,4.12,87.98,29340.0,330.0
"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",confer with department heads or staff to discuss topics such as contracts selection of advertising media or product to be advertised,11-2011,Advertising and Promotions Managers,0.7157534615384615,3.96,98.52,29340.0,330.0
Confer with clients to provide marketing or technical advice.,confer with clients to provide marketing or technical advice,11-2011,Advertising and Promotions Managers,1.383576923076923,4.0,82.03,29340.0,330.0
Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,formulate plans to extend business with established accounts and to transact business as agent for advertising accounts,11-2011,Advertising and Promotions Managers,1.0195719230769231,3.41,68.07,29340.0,330.0
"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets such as dealers distributors or consumers,11-2011,Advertising and Promotions Managers,0.7016984615384615,3.28,75.89,29340.0,330.0
"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",advise business or other groups on local national or international factors affecting the buying or selling of products or services,11-2021,Marketing Managers,0.2764684615384615,3.06,66.15,192890.0,1670.0
"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",formulate direct or coordinate marketing activities or policies to promote products or services working with advertising or promotion managers,11-2021,Marketing Managers,2.290420384615385,4.24,98.22,192890.0,1670.0
"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",recommend modifications to products packaging production processes or other characteristics to improve the environmental soundness or sustainability of products,11-2021,Marketing Managers,0.16541,3.12,48.28,192890.0,1670.0
"Integrate environmental information into product or company marketing strategies, policies, or activities.",integrate environmental information into product or company marketing strategies policies or activities,11-2021,Marketing Managers,0.1074,2.59,46.94,192890.0,1670.0
Develop business cases for environmental marketing strategies.,develop business cases for environmental marketing strategies,11-2021,Marketing Managers,0.0976473076923076,2.68,36.66,192890.0,1670.0
Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.,consult with buying personnel to gain advice regarding environmentally sound or sustainable products,11-2021,Marketing Managers,0.335001923076923,3.41,63.56,192890.0,1670.0
Conduct economic or commercial surveys to identify potential markets for products or services.,conduct economic or commercial surveys to identify potential markets for products or services,11-2021,Marketing Managers,0.1806361538461538,3.17,63.31,192890.0,1670.0
Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,consult with buying personnel to gain advice regarding the types of products or services expected to be in demand,11-2021,Marketing Managers,0.335001923076923,3.41,63.56,192890.0,1670.0
Initiate market research studies or analyze their findings.,initiate market research studies or analyze their findings,11-2021,Marketing Managers,0.3218734615384615,3.4,88.47,192890.0,1670.0
"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",coordinate or participate in promotional activities or trade shows working with developers advertisers or production managers to market products or services,11-2021,Marketing Managers,0.3207361538461538,3.41,97.54,192890.0,1670.0
"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",use sales forecasting or strategic planning to ensure the sale and profitability of products lines or services analyzing business developments and monitoring market trends,11-2021,Marketing Managers,0.4814230769230769,3.56,87.23,192890.0,1670.0
Select products or accessories to be displayed at trade or special production shows.,select products or accessories to be displayed at trade or special production shows,11-2021,Marketing Managers,0.1544534615384615,2.7,74.62,192890.0,1670.0
"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",confer with legal staff to resolve problems such as copyright infringement or royalty sharing with outside producers or distributors,11-2021,Marketing Managers,0.0865096153846153,3.14,67.35,192890.0,1670.0
"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",identify develop or evaluate marketing strategy based on knowledge of establishment objectives market characteristics and cost and markup factors,11-2021,Marketing Managers,1.5720896153846151,4.3,98.32,192890.0,1670.0
"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",evaluate the financial aspects of product development such as budgets expenditures research and development appropriations or returnoninvestment and profitloss projections,11-2021,Marketing Managers,0.6194011538461538,3.99,81.95,192890.0,1670.0
"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",direct the hiring training or performance evaluations of marketing or sales staff and oversee their daily activities,11-2021,Marketing Managers,1.28964,3.66,75.29,192890.0,1670.0
"Develop pricing strategies, balancing firm objectives and customer satisfaction.",develop pricing strategies balancing firm objectives and customer satisfaction,11-2021,Marketing Managers,0.4226676923076923,3.87,71.63,192890.0,1670.0
"Consult with product development personnel on product specifications such as design, color, or packaging.",consult with product development personnel on product specifications such as design color or packaging,11-2021,Marketing Managers,0.4784865384615385,3.65,74.34,192890.0,1670.0
Compile lists describing product or service offerings.,compile lists describing product or service offerings,11-2021,Marketing Managers,0.5431592307692308,3.7,84.1,192890.0,1670.0
"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",negotiate contracts with vendors or distributors to manage product distribution establishing distribution networks or developing distribution strategies,11-2021,Marketing Managers,0.1409653846153846,3.53,72.9,192890.0,1670.0
"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",plan and direct staffing training and performance evaluations to develop and control sales and service programs,11-2022,Sales Managers,0.7717399999999999,4.0,100.0,364750.0,3080.0
Direct foreign sales and service outlets of an organization.,direct foreign sales and service outlets of an organization,11-2022,Sales Managers,0.2634615384615384,3.75,19.05,364750.0,3080.0
"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",direct clerical staff to keep records of export correspondence bid requests and credit collections and to maintain current information on tariffs licenses and restrictions,11-2022,Sales Managers,0.5576923076923077,3.3,47.62,364750.0,3080.0
Oversee regional and local sales managers and their staffs.,oversee regional and local sales managers and their staffs,11-2022,Sales Managers,1.378123846153846,4.18,80.95,364750.0,3080.0
Confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase.,confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase,11-2022,Sales Managers,0.5527446153846154,3.79,66.67,364750.0,3080.0
Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,visit franchised dealers to stimulate interest in establishment or expansion of leasing programs,11-2022,Sales Managers,0.3746153846153846,3.4,23.81,364750.0,3080.0
"Assess marketing potential of new and existing store locations, considering statistics and expenditures.",assess marketing potential of new and existing store locations considering statistics and expenditures,11-2022,Sales Managers,0.1397307692307692,3.0,42.86,364750.0,3080.0
Represent company at trade association meetings to promote products.,represent company at trade association meetings to promote products,11-2022,Sales Managers,0.0495684615384615,2.89,85.71,364750.0,3080.0
"Direct, coordinate, and review activities in sales and service accounting and record-keeping, and in receiving and shipping operations.",direct coordinate and review activities in sales and service accounting and recordkeeping and in receiving and shipping operations,11-2022,Sales Managers,1.0916657692307692,3.14,66.67,364750.0,3080.0
Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business,11-2022,Sales Managers,0.2179323076923077,3.55,57.14,364750.0,3080.0
Resolve customer complaints regarding sales and service.,resolve customer complaints regarding sales and service,11-2022,Sales Managers,0.7746153846153847,4.45,95.24,364750.0,3080.0
Monitor customer preferences to determine focus of sales efforts.,monitor customer preferences to determine focus of sales efforts,11-2022,Sales Managers,0.2560111538461538,3.55,100.0,364750.0,3080.0
"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate or other subjects of sale.",direct and coordinate activities involving sales of manufactured products services commodities real estate or other subjects of sale,11-2022,Sales Managers,1.7893130769230767,4.07,66.67,364750.0,3080.0
Prepare budgets and approve budget expenditures.,prepare budgets and approve budget expenditures,11-2022,Sales Managers,0.0765384615384615,3.4,95.24,364750.0,3080.0
Review operational records and reports to project sales and determine profitability.,review operational records and reports to project sales and determine profitability,11-2022,Sales Managers,0.523786923076923,3.76,100.0,364750.0,3080.0
Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications,11-2022,Sales Managers,0.153255,3.17,90.48,364750.0,3080.0
Determine price schedules and discount rates.,determine price schedules and discount rates,11-2022,Sales Managers,1.0398634615384614,3.8,100.0,364750.0,3080.0
"Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.",identify main client groups and audiences determine the best way to communicate publicity information to them and develop and implement a communication plan,11-2031,Public Relations and Fundraising Managers,1.7762684615384616,4.24,89.37,60380.0,330.0
Respond to requests for information about employers' activities or status.,respond to requests for information about employers activities or status,11-2031,Public Relations and Fundraising Managers,1.597005769230769,3.96,87.57,60380.0,330.0
"Observe and report on social, economic, and political trends that might affect employers.",observe and report on social economic and political trends that might affect employers,11-2031,Public Relations and Fundraising Managers,0.2780780769230769,3.2,58.03,60380.0,330.0
"Produce films and other video products, regulate their distribution, and operate film library.",produce films and other video products regulate their distribution and operate film library,11-2031,Public Relations and Fundraising Managers,0.1045673076923077,3.28,65.91,60380.0,330.0
Manage in-house communication courses.,manage inhouse communication courses,11-2031,Public Relations and Fundraising Managers,1.2285384615384616,2.81,60.34,60380.0,330.0
Maintain company archives.,maintain company archives,11-2031,Public Relations and Fundraising Managers,0.9269792307692308,3.1,63.38,60380.0,330.0
"Facilitate consumer relations or the relationship between parts of the company, such as the managers and employees, or different branch offices.",facilitate consumer relations or the relationship between parts of the company such as the managers and employees or different branch offices,11-2031,Public Relations and Fundraising Managers,1.0246292307692308,3.49,73.48,60380.0,330.0
"Establish goals for soliciting funds, develop policies for collection and safeguarding of contributions, and coordinate disbursement of funds.",establish goals for soliciting funds develop policies for collection and safeguarding of contributions and coordinate disbursement of funds,11-2031,Public Relations and Fundraising Managers,0.7710546153846154,3.65,24.98,60380.0,330.0
"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities.",establish and maintain effective working relationships with clients government officials and media representatives and use these relationships to develop new business opportunities,11-2031,Public Relations and Fundraising Managers,2.547312692307692,4.39,96.49,60380.0,330.0
"Direct activities of external agencies, establishments, and departments that develop and implement communication strategies and information programs.",direct activities of external agencies establishments and departments that develop and implement communication strategies and information programs,11-2031,Public Relations and Fundraising Managers,0.8799615384615385,3.84,69.73,60380.0,330.0
