task,task_normalized,soc_code_2019_full,soc_code_2010,title_current,title,title_normalized,task_type,n_responding,domain_source,n_occurrences,pct_weighted,pct_normalized,major_occ_category,broad_counts,soc_code_2019,h_med_nat_2024,a_med_nat_2024,h_med_ut_2024,a_med_ut_2024,emp_tot_nat_2024,emp_tot_ut_2024,h_med_nat_nominal_2015,a_med_nat_nominal_2015,h_med_nat_real_2015,a_med_nat_real_2015,h_med_ut_nominal_2015,a_med_ut_nominal_2015,h_med_ut_real_2015,a_med_ut_real_2015,emp_tot_nat_2015,emp_tot_ut_2015,emp_pct_nat_2024,emp_pct_ut_2024,emp_pct_nat_2015,emp_pct_ut_2015,freq_mean_2025,importance_2025,relevance_2025,imputed_rating_mean_2025,freq_mean_2015,importance_2015,relevance_2015,imputed_rating_mean_2015,title_current_normalized,n_ratings,mean_rating,median_rating,max_rating,min_rating,p25_rating,p75_rating
Provide technical expertise in Geographic Information Systems (GIS) technology to clients or users.,provide technical expertise in geographic information systems gis technology to clients or users,15-1299.02,15-1199.04,Geographic Information Systems Technologists and Technicians,Geospatial Information Scientists and Technologists,geospatial information scientists and technologists,Core,,Analyst - Transition,1,0.013349690339535852,0.0003110546378653113,Computer and Mathematical Occupations,1,15-1299,52.39,108970.0,45.98,95640.0,73230.0,4970.0,40.98,85240.0,55.7328,115926.40000000001,34.88,72540.0,47.436800000000005,98654.40000000001,26813.0,314.0,0.04749415937932144,0.23763076864230115,0.019444270803948404,0.01667277293700984,1.7506065384615384,4.26,100.0,False,1.5153842307692307,4.18,100.0,False,geographic information systems technologists and technicians,4082,1.58,2.0,4,1,1.0,2.0
"Consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance.",consult with customers or other departments on project status proposals or technical issues such as software system design or maintenance,15-1252.00,15-1132.00,Software Developers,"Software Developers, Applications",software developers applications,Core,72.0,Incumbent,1,0.013349690339535852,0.0003110546378653113,Computer and Mathematical Occupations,4,15-1252,54.42565217391304,113208.26086956522,54.904347826086955,114203.04347826086,705761.7391304347,12946.95652173913,47.24,98260.0,64.24640000000001,133633.6,43.96,91440.0,59.7856,124358.40000000001,747730.0,8820.0,0.4577298992501427,0.6190332454405076,0.5422393841881304,0.46832438631983053,1.4610168518518518,3.9307407407407404,95.53407407407407,True,0.5264242307692307,3.86,95.24,False,software developers,4082,1.52,2.0,3,1,1.0,2.0
Create or review technical design documentation to ensure the accurate development of reporting solutions.,create or review technical design documentation to ensure the accurate development of reporting solutions,15-2051.01,15-1199.08,Business Intelligence Analysts,Business Intelligence Analysts,business intelligence analysts,Core,22.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Computer and Mathematical Occupations,1,15-2051,54.13,112590.0,55.97,116420.0,77813.33333333333,4830.0,40.98,85240.0,55.7328,115926.40000000001,34.88,72540.0,47.436800000000005,98654.40000000001,13262.0,156.0,0.050466732966947966,0.2309369441735039,0.009617346787079543,0.008283288465520813,0.22397923076923076,3.36,100.0,False,0.07544538461538461,2.72,75.0,False,business intelligence analysts,3976,2.19,2.0,5,1,2.0,3.0
"Document design specifications, installation instructions, and other system-related information.",document design specifications installation instructions and other systemrelated information,15-1299.08,15-1199.02,Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,computer systems engineersarchitects,Core,22.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Computer and Mathematical Occupations,1,15-1299,52.39,108970.0,45.98,95640.0,73230.0,4970.0,40.98,85240.0,55.7328,115926.40000000001,34.88,72540.0,47.436800000000005,98654.40000000001,22577.0,265.0,0.04749415937932144,0.23763076864230115,0.016372405248974122,0.014070970790788558,0.2996553846153846,3.73,100.0,False,0.39526,3.96,100.0,False,computer systems engineersarchitects,3976,2.15,2.0,5,1,1.0,3.0
Document technical functions and specifications for new or proposed content management systems.,document technical functions and specifications for new or proposed content management systems,15-1299.03,15-1199.12,Document Management Specialists,Document Management Specialists,document management specialists,Core,19.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Computer and Mathematical Occupations,1,15-1299,52.39,108970.0,45.98,95640.0,73230.0,4970.0,40.98,85240.0,55.7328,115926.40000000001,34.88,72540.0,47.436800000000005,98654.40000000001,15600.0,183.0,0.04749415937932144,0.23763076864230115,0.011312819324267897,0.009716934546091722,0.8511923076923076,3.67,78.95,False,0.2698423076923077,3.45,84.0,False,document management specialists,3976,2.12,2.0,5,1,1.0,3.0
Document technical specifications and operating standards for telecommunications equipment.,document technical specifications and operating standards for telecommunications equipment,15-1241.01,15-1143.01,Telecommunications Engineering Specialists,Telecommunications Engineering Specialists,telecommunications engineering specialists,Core,20.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Computer and Mathematical Occupations,3,15-1241,62.690000000000005,130390.0,62.01,128990.0,36769.0,702.0,48.19,100240.0,65.5384,136326.40000000002,43.66,90810.0,59.3776,123501.6,60904.0,341.0,0.023846958162204977,0.03356474840782604,0.04416640693110333,0.018106419017580748,0.14883,3.76,85.0,False,0.13659653846153846,3.38,91.3,False,telecommunications engineering specialists,3976,1.92,2.0,5,1,1.0,3.0
"Prepare, review, or maintain maintenance schedules, design documentation, or operational reports or charts.",prepare review or maintain maintenance schedules design documentation or operational reports or charts,17-2072.00,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",electronics engineers except computer,Core,50.0,Incumbent,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,2,17-2072,61.339999999999996,127590.0,53.07,110390.0,24549.0,580.0,47.24,98270.0,64.24640000000001,133647.2,40.49,84230.0,55.06640000000001,114552.8,70763.0,946.0,0.015921536509667655,0.027731558513588467,0.05131596370789546,0.05023071082296595,0.6544780769230769,3.26,86.03,False,0.5841530769230769,3.5,61.08,False,electronics engineers except computer,3379,1.93,2.0,5,1,1.0,3.0
"Prepare reports, sketches, working drawings, specifications, proposals, and budgets for proposed sites or systems.",prepare reports sketches working drawings specifications proposals and budgets for proposed sites or systems,17-2021.00,17-2021.00,Agricultural Engineers,Agricultural Engineers,agricultural engineers,Core,20.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,1,17-2021,40.69,84630.0,40.69,84630.0,1680.0,19.0,36.1,75090.0,49.096000000000004,102122.40000000001,25.09,52190.0,34.1224,70978.40000000001,2330.0,60.0,0.0010895833368463749,0.0009084476064796221,0.0016896710913810386,0.0031858801790464663,1.6219230769230768,4.05,100.0,False,1.1628046153846152,4.04,95.83,False,agricultural engineers,3322,1.73,2.0,4,1,1.0,2.0
"Prepare specifications, designs, or sketches for machines, components, or systems related to the generation, transmission, or use of mechanical or fluid energy.",prepare specifications designs or sketches for machines components or systems related to the generation transmission or use of mechanical or fluid energy,17-3027.00,17-3027.00,Mechanical Engineering Technologists and Technicians,Mechanical Engineering Technicians,mechanical engineering technicians,Core,39.0,Incumbent,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,8,17-3027,33.04,68730.0,29.25,60830.0,11908.0,750.0,25.92,53910.0,35.251200000000004,73317.6,23.42,48710.0,31.851200000000006,66245.6,31103.0,312.0,0.007723070461408709,0.03585977393998508,0.022555296118122077,0.016566576931041625,0.6700942307692308,3.5,70.52,False,2.0764646153846154,3.87,79.58,False,mechanical engineering technologists and technicians,3318,1.7,2.0,4,1,1.0,2.0
"Prepare, maintain, or review validation and compliance documentation, such as engineering change notices, schematics, or protocols.",prepare maintain or review validation and compliance documentation such as engineering change notices schematics or protocols,17-2112.02,17-2199.02,Validation Engineers,Validation Engineers,validation engineers,Core,20.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,1,17-2112,48.63,101140.0,48.42,100710.0,87557.5,4580.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,16801.0,75.0,0.05678642441424195,0.2189836861935089,0.012183761376091342,0.003982350223808082,1.0157692307692308,4.1,100.0,False,0.8729123076923075,4.0,100.0,False,validation engineers,3282,1.94,2.0,5,1,1.0,3.0
"Compile and maintain records documenting engineering schematics, installed equipment, installation or operational problems, resources used, repairs, or corrective action performed.",compile and maintain records documenting engineering schematics installed equipment installation or operational problems resources used repairs or corrective action performed,17-3023.00,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Electrical and Electronic Engineering Technicians,electrical and electronic engineering technicians,Core,,Analyst - Transition,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,8,17-3023,37.11,77180.0,31.65,65830.0,92710.0,1190.0,29.39,61130.0,39.970400000000005,83136.8,28.08,58410.0,38.1888,79437.6,139080.0,1490.0,0.060128137594659174,0.05689750798477633,0.1008581353602038,0.07911602444632057,1.19565,3.59,92.21,False,1.19565,3.59,92.21,False,electrical and electronic engineering technologists and technicians,3282,1.91,2.0,5,1,1.0,3.0
Create or maintain photonic design histories.,create or maintain photonic design histories,17-2199.07,17-2199.07,Photonics Engineers,Photonics Engineers,photonics engineers,Core,23.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,1,17-2199,56.61,117750.0,54.47,113290.0,18843.75,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,16829.0,75.0,0.012221330954582664,0.07267580851836976,0.012204066436416952,0.003982350223808082,0.42747153846153846,3.24,91.3,False,0.1600303846153846,2.81,87.5,False,photonics engineers,3282,1.7,2.0,5,1,1.0,2.0
Assemble documentation packages and produce drawing sets to be checked by an engineer or an architect.,assemble documentation packages and produce drawing sets to be checked by an engineer or an architect,17-3012.00,17-3012.00,Electrical and Electronics Drafters,Electrical and Electronics Drafters,electrical and electronics drafters,Core,141.0,Incumbent,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,4,17-3012,35.44,73720.0,30.87,64200.0,20020.0,210.0,28.62,59520.0,38.9232,80947.20000000001,28.99,60300.0,39.4264,82008.0,29200.0,180.0,0.012984201430752632,0.010040736703195823,0.021175277196706577,0.009557640537139398,2.6845523076923077,4.34,97.73,False,1.4741515897435897,3.715333333333333,67.694,True,electrical and electronics drafters,3281,1.91,2.0,5,1,1.0,3.0
Design electrical and mechanical systems for avionic instrumentation applications.,design electrical and mechanical systems for avionic instrumentation applications,17-3021.00,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Aerospace Engineering and Operations Technicians,aerospace engineering and operations technicians,Supplemental,49.0,Incumbent,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,8,17-3021,38.38,79830.0,37.79,78610.0,9060.0,250.0,31.82,66180.0,43.275200000000005,90004.8,29.33,61000.0,39.8888,82960.0,12890.0,100.0,0.0058759672808500925,0.011953257979995028,0.009347579557039307,0.005309800298410777,0.2399826923076923,3.88,53.1,False,1.8353108119658121,4.224444444444445,64.02222222222223,True,aerospace engineering and operations technologists and technicians,3267,1.3,1.0,3,1,1.0,2.0
"Create or maintain formal engineering documents, such as schematics, bills of materials, components or materials specifications, or packaging requirements.",create or maintain formal engineering documents such as schematics bills of materials components or materials specifications or packaging requirements,17-2199.06,17-2199.06,Microsystems Engineers,Microsystems Engineers,microsystems engineers,Core,58.0,Incumbent,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,1,17-2199,56.61,117750.0,54.47,113290.0,18843.75,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,15337.0,68.0,0.012221330954582664,0.07267580851836976,0.011122096793352356,0.003610664202919328,0.3454823076923077,3.67,74.21,False,0.9181610028008403,3.699180754226268,82.51052015604681,True,microsystems engineers,3265,1.95,2.0,5,1,1.0,3.0
"Prepare detailed reports or design statements, based on results of validation and qualification tests or reviews of procedures and protocols.",prepare detailed reports or design statements based on results of validation and qualification tests or reviews of procedures and protocols,17-2112.02,17-2199.02,Validation Engineers,Validation Engineers,validation engineers,Core,20.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,1,17-2112,48.63,101140.0,48.42,100710.0,87557.5,4580.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,16801.0,75.0,0.05678642441424195,0.2189836861935089,0.012183761376091342,0.003982350223808082,0.8263461538461538,4.3,100.0,False,0.4230830769230769,3.96,96.55,False,validation engineers,3265,1.89,2.0,5,1,1.0,3.0
Record or oversee recording of information to ensure currency of engineering drawings and documentation of production problems.,record or oversee recording of information to ensure currency of engineering drawings and documentation of production problems,17-2112.00,17-2112.00,Industrial Engineers,Industrial Engineers,industrial engineers,Core,84.0,Incumbent,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,2,17-2112,48.63,101140.0,48.42,100710.0,43735.0,2288.0,40.13,83470.0,54.576800000000006,113519.20000000001,37.17,77310.0,50.55120000000001,105141.6,123662.0,964.0,0.028364837641057263,0.10939621703291448,0.08967729892805235,0.05118647487667989,0.9057438461538461,3.66,85.75,False,0.7328657692307692,3.37,77.8,False,industrial engineers,3265,1.88,2.0,5,1,1.0,3.0
Document equipment or process details of radio frequency identification device (RFID) technology.,document equipment or process details of radio frequency identification device rfid technology,17-2072.01,17-2072.01,Radio Frequency Identification Device Specialists,Radio Frequency Identification Device Specialists,radio frequency identification device specialists,Core,74.0,Incumbent,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,2,17-2072,61.34,127590.0,53.07,110390.0,22421.0,530.0,47.24,98270.0,64.24640000000001,133647.2,40.49,84230.0,55.06640000000001,114552.8,64627.0,864.0,0.01454139761632891,0.025340906917589456,0.046866254773683426,0.04587667457826911,0.6043034615384615,3.63,92.04,False,0.6043034615384615,3.63,92.04,False,radio frequency identification device specialists,3265,1.87,2.0,5,1,1.0,3.0
Assist nanoscientists or engineers in writing process specifications or documentation.,assist nanoscientists or engineers in writing process specifications or documentation,17-3026.01,17-3029.11,Nanotechnology Engineering Technologists and Technicians,Nanotechnology Engineering Technologists,nanotechnology engineering technologists,Core,20.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,8,17-3026,31.15,64790.0,31.41,65330.0,36705.0,1320.0,29.45,61260.0,40.052,83313.6,22.06,45870.0,30.0016,62383.200000000004,18513.0,215.0,0.023805450225563206,0.06311320213437376,0.013425270778857152,0.01141607064158317,0.9935366208791209,3.862142857142857,93.42285714285715,True,0.9181610028008403,3.699180754226268,82.51052015604681,True,nanotechnology engineering technologists and technicians,3265,1.84,2.0,4,1,1.0,2.0
"Prepare documentation containing information such as confidential descriptions or specifications of proprietary hardware or software, product development or introduction schedules, product costs, or information about product performance weaknesses.",prepare documentation containing information such as confidential descriptions or specifications of proprietary hardware or software product development or introduction schedules product costs or information about product performance weaknesses,17-2072.00,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",electronics engineers except computer,Core,49.0,Incumbent,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,2,17-2072,61.339999999999996,127590.0,53.07,110390.0,24549.0,580.0,47.24,98270.0,64.24640000000001,133647.2,40.49,84230.0,55.06640000000001,114552.8,70763.0,946.0,0.015921536509667655,0.027731558513588467,0.05131596370789546,0.05023071082296595,0.9040769230769232,3.6,97.11,False,0.5420061538461538,4.0,79.53,False,electronics engineers except computer,3265,1.83,2.0,4,1,1.0,2.0
"Prepare, or supervise preparation of, all data, charts, plots, maps, records, and documents related to surveys.",prepare or supervise preparation of all data charts plots maps records and documents related to surveys,17-1022.00,17-1022.00,Surveyors,Surveyors,surveyors,Core,20.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,2,17-1022,34.97,72740.0,30.9,64260.0,26539.999999999996,422.0,27.89,58020.0,37.930400000000006,78907.20000000001,29.27,60880.0,39.8072,82796.8,27600.0,390.0,0.01721282247613261,0.020177099470231604,0.020014988035243205,0.02070822116380203,2.2276923076923074,4.47,100.0,False,1.3863249999999998,4.58,100.0,False,surveyors,3265,1.79,2.0,5,1,1.0,2.0
Write performance requirements for product development or engineering projects.,write performance requirements for product development or engineering projects,17-2141.00,17-2141.00,Mechanical Engineers,Mechanical Engineers,mechanical engineers,Core,83.0,Incumbent,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,1,17-2141,49.19,102320.0,47.62,99050.0,95586.66666666667,3540.0,40.19,83590.0,54.6584,113682.40000000001,36.89,76740.0,50.17040000000001,104366.40000000001,146709.0,1708.0,0.061993832871838586,0.1692581329967296,0.10639053911820635,0.09069138909685608,0.9324280769230769,3.29,69.19,False,0.5978626923076924,3.6,65.14,False,mechanical engineers,3265,1.74,2.0,4,1,1.0,2.0
Make system device lists or event timing charts.,make system device lists or event timing charts,17-2199.08,17-2199.08,Robotics Engineers,Robotics Engineers,robotics engineers,Core,30.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,1,17-2199,56.61000000000001,117750.0,54.47,113290.0,18843.75,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,14166.0,63.0,0.012221330954582664,0.07267580851836976,0.010272910163306347,0.003345174187998789,0.20339076923076926,3.18,93.33,False,0.8253846153846154,3.58,100.0,False,robotics engineers,3265,1.69,2.0,5,1,1.0,2.0
"Prepare information regarding design, structure specifications, materials, color, equipment, estimated costs, or construction time.",prepare information regarding design structure specifications materials color equipment estimated costs or construction time,17-1011.00,17-1011.00,"Architects, Except Landscape and Naval","Architects, Except Landscape and Naval",architects except landscape and naval,Core,21.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,2,17-1011,46.49,96690.0,39.29,81710.0,111140.0,1300.0,36.59,76100.0,49.76240000000001,103496.00000000001,34.21,71150.0,46.525600000000004,96764.0,93720.0,620.0,0.07208112622446791,0.062156941495974144,0.06796393763271713,0.03292076185014682,2.2728192307692305,4.4,100.0,False,2.4989503846153847,4.38,100.0,False,architects except landscape and naval,3265,1.63,1.0,4,1,1.0,2.0
Complete detailed source and method notes describing the location of routine or complex land parcels.,complete detailed source and method notes describing the location of routine or complex land parcels,17-3031.00,17-3031.00,Surveying and Mapping Technicians,Surveying and Mapping Technicians,surveying and mapping technicians,Supplemental,,Analyst - Transition,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,1,17-3031,24.97,51940.0,23.42,48720.0,56720.0,470.0,20.2,42010.0,27.472,57133.600000000006,21.74,45220.0,29.5664,61499.200000000004,53620.0,370.0,0.0367864088487657,0.022472125002390653,0.03888419052354132,0.019646261104119874,0.699071923076923,3.42,45.16,False,0.699071923076923,3.42,45.16,False,surveying and mapping technicians,3265,1.61,1.0,5,1,1.0,2.0
"Write descriptions of property boundary surveys for use in deeds, leases, or other legal documents.",write descriptions of property boundary surveys for use in deeds leases or other legal documents,17-1022.00,17-1022.00,Surveyors,Surveyors,surveyors,Core,20.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Architecture and Engineering Occupations,2,17-1022,34.97,72740.0,30.9,64260.0,26539.999999999996,422.0,27.89,58020.0,37.930400000000006,78907.20000000001,29.27,60880.0,39.8072,82796.8,27600.0,390.0,0.01721282247613261,0.020177099470231604,0.020014988035243205,0.02070822116380203,0.6543976923076924,4.63,95.0,False,0.7128657692307692,4.58,100.0,False,surveyors,3265,1.55,1.0,4,1,1.0,2.0
